,Fold selected features,Fold nb of features
Fold 0,"['ACP5', 'ADAMTS15', 'ADGRG1', 'ALDH3A1', 'ALPP', 'AMY2B', 'ANGPTL2', 'ANGPTL3', 'AOC1', 'BAIAP2', 'CCL20', 'CD164', 'CD276', 'CD63', 'CDHR1', 'CEACAM5', 'CES2', 'CPA2', 'CRTAC1', 'DKKL1', 'DSG2', 'ENPP7', 'FABP1', 'FABP4', 'FASLG', 'FBP1', 'FCGR2B', 'FCN2', 'FCRL5', 'FGF21', 'FOSB', 'GFRA2', 'GGT5', 'GH2', 'GPA33', 'HCLS1', 'HDGF', 'IGF2R', 'IL11', 'IL17A', 'IL17C', 'IL1RAP', 'IL22RA1', 'IL33', 'IL5RA', 'ISM1', 'KIR2DL3', 'KLB', 'LGALS1', 'LRP11', 'LRPAP1', 'LY96', 'LYPD8', 'MARCO', 'MDGA1', 'MET', 'MUC13', 'MZB1', 'NCLN', 'NEFL', 'NINJ1', 'NOMO1', 'NOS1', 'NPTN', 'NPTXR', 'PCOLCE', 'PDGFC', 'PDGFRA', 'PLIN1', 'PM20D1', 'PON3', 'PRSS8', 'S100A16', 'SCARB1', 'SCGN', 'SCP2', 'SMOC2', 'SMPDL3A', 'SOST', 'SPINT1', 'SRP14', 'SSC5D', 'TDGF1', 'THPO', 'TLR3', 'TMPRSS5', 'TNFRSF11A', 'TNFRSF4', 'TP53INP1', 'TPT1', 'XPNPEP2']",91
Fold 1,"['CCL7', 'MZB1']",2
Fold 2,"['ANGPTL2', 'CRTAC1', 'FOSB', 'KIR2DL3', 'LGALS1', 'MDGA1', 'MSR1', 'MZB1', 'PON3', 'SIGLEC9', 'TNFRSF8']",11
Fold 3,"['ADAM15', 'ADAMTS13', 'AMY2A', 'AMY2B', 'AOC1', 'ARNT', 'ASAH2', 'B4GAT1', 'BAIAP2', 'BCAN', 'CAPG', 'CASP1', 'CCL15', 'CCL19', 'CCL20', 'CD300C', 'CD5', 'CD63', 'CDHR1', 'CEACAM3', 'CEACAM5', 'CELA3A', 'CES2', 'CHIT1', 'CHL1', 'CNTN1', 'CPA2', 'CRTAC1', 'CTRB1', 'CTSH', 'CXCL8', 'DDC', 'DKKL1', 'DPP6', 'DSG4', 'ERBB4', 'FCGR2B', 'FGF21', 'FOSB', 'FUCA1', 'GDF15', 'GFRA2', 'GNLY', 'GPC5', 'GZMH', 'HLA-DRA', 'ICAM1', 'IFNGR2', 'IGF2R', 'IL13', 'IL15RA', 'IL16', 'IL1RAP', 'IL2', 'IL2RA', 'IL33', 'IL3RA', 'ISM1', 'KCNIP4', 'KLK12', 'KLK14', 'LGALS1', 'LY96', 'MDGA1', 'MET', 'MME', 'MMP13', 'MSLN', 'MTPN', 'MUC13', 'MZB1', 'NCLN', 'NINJ1', 'NPM1', 'NPTN', 'OMG', 'PCSK9', 'PDCD6', 'PDGFC', 'PIGR', 'PM20D1', 'POLR2F', 'PPY', 'QPCT', 'RANGAP1', 'RBP2', 'RELT', 'SFTPA2', 'SMOC2', 'SPINK6', 'SPINT1', 'SPOCK1', 'SRP14', 'TDGF1', 'THBS2', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF8', 'TSHB', 'XPNPEP2']",101
Fold 4,"['ACP6', 'ADAM15', 'B4GAT1', 'C19orf12', 'CCL20', 'CES2', 'CRTAC1', 'FGF21', 'HLA-DRA', 'IL22RA1', 'LYPD3', 'MDGA1', 'MZB1', 'NDRG1', 'NPTN', 'PDGFC', 'PPY', 'RANGAP1', 'SRP14', 'TCL1A', 'TFPI2', 'WIF1', 'XPNPEP2', 'XRCC4']",24
Fold 5,"['CCL7', 'LGALS9']",2
Fold 6,"['ACTN4', 'ADAMTS13', 'AMN', 'AMY2A', 'AMY2B', 'AOC1', 'BAIAP2', 'CAMKK1', 'CCL19', 'CCL20', 'CD63', 'CDH17', 'CHIT1', 'CPA2', 'CRELD2', 'CRTAC1', 'CSTB', 'CTRB1', 'CTSH', 'CXCL13', 'DKKL1', 'ENAH', 'EPCAM', 'FABP4', 'FBP1', 'FCGR2B', 'FCRL5', 'FGF21', 'GGT5', 'GH2', 'GPA33', 'HBQ1', 'HCLS1', 'HDGF', 'HLA-DRA', 'IGF2R', 'IGFBPL1', 'IL10', 'IL11', 'IL13', 'IL1A', 'IL33', 'ISLR2', 'JUN', 'KCNIP4', 'KLB', 'KLK1', 'KLK12', 'LAMA4', 'LY96', 'LYPD1', 'MAGED1', 'MARCO', 'MDGA1', 'MET', 'MMP13', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NPTN', 'NPTXR', 'PAEP', 'PDGFC', 'PIGR', 'PLA2G10', 'PLAUR', 'PM20D1', 'PON3', 'PPY', 'PRKRA', 'PRSS8', 'PSIP1', 'PSPN', 'RARRES1', 'S100A16', 'SELPLG', 'SIGLEC9', 'SOD2', 'SPINT1', 'SRP14', 'SSC5D', 'TDGF1', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF13B', 'TNFRSF4', 'TNFRSF8', 'TPT1', 'TSLP', 'ULBP2', 'XPNPEP2']",94
Fold 7,"['ADAM15', 'ANGPTL2', 'BAIAP2', 'CCL20', 'CD5', 'CES2', 'COPE', 'CRTAC1', 'CXCL14', 'DSG4', 'FCAR', 'FCN2', 'FCRL5', 'FOSB', 'ICAM4', 'IL5', 'KIR2DL3', 'MDGA1', 'MZB1', 'NFATC3', 'NRP1', 'PCSK9', 'RANGAP1', 'SIGLEC9', 'SIT1', 'SMOC2', 'SRP14', 'SSB', 'TFRC', 'TMPRSS5', 'TNFRSF13C', 'VEGFD', 'XPNPEP2']",33
Fold 8,"['ACAN', 'ACP5', 'ADAM15', 'ADAMTS16', 'ADCYAP1R1', 'ADGRG2', 'AHSP', 'AMY2A', 'AMY2B', 'ANXA3', 'ATP6V1D', 'B4GAT1', 'CALB2', 'CCL15', 'CCL19', 'CD276', 'CD300LG', 'CD48', 'CD5', 'CD63', 'CD70', 'CDHR1', 'CEACAM5', 'CES2', 'CHIT1', 'CHL1', 'CLEC4G', 'CPA1', 'CPA2', 'CRTAC1', 'CTRB1', 'CTSH', 'CTSL', 'CXCL8', 'DDX58', 'DKK4', 'DLL1', 'DPT', 'DSG4', 'ERBB3', 'ERBB4', 'FCGR2B', 'FCRL5', 'FCRLB', 'FOSB', 'GDF15', 'GFOD2', 'GGT5', 'GNLY', 'GPA33', 'GPKOW', 'HLA-DRA', 'IGF2R', 'IGFBPL1', 'IL13', 'IL16', 'IL2RA', 'IL3RA', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK12', 'KLK14', 'LAMA4', 'LGALS1', 'LGALS9', 'LILRB1', 'MAGED1', 'MDGA1', 'MICB_MICA', 'MILR1', 'MMP1', 'MMP13', 'MUC13', 'MZB1', 'NINJ1', 'NPTN', 'NRP1', 'NTRK3', 'PDGFC', 'PM20D1', 'PON3', 'PRTG', 'PSPN', 'RANGAP1', 'RASSF2', 'RBP2', 'SCARB1', 'SIGLEC9', 'SLIT2', 'SMOC2', 'SPINK1', 'SPINT1', 'SRP14', 'TDGF1', 'THPO', 'TLR3', 'TMSB10', 'TNC', 'TNFRSF11A', 'TNFRSF8', 'TSHB', 'WFIKKN1', 'XPNPEP2']",104
Fold 9,"['CCL20', 'FOSB', 'GDF15', 'LGALS1', 'LILRB1', 'MZB1', 'PON3']",7
Fold 10,"['ACE2', 'ACP5', 'ADAM15', 'ADAMTS13', 'ADCYAP1R1', 'AMIGO2', 'AMY2A', 'AMY2B', 'ANGPTL2', 'AOC1', 'CASP1', 'CBLIF', 'CCL20', 'CCL27', 'CD164', 'CD63', 'CDH17', 'CEACAM3', 'CES2', 'CNTN2', 'COL4A1', 'CPA2', 'CRTAC1', 'CRX', 'CTSF', 'CTSV', 'CXCL13', 'DDR1', 'DKKL1', 'DLL1', 'DPT', 'DSG2', 'ENPP7', 'FCGR2A', 'FCN2', 'FCRL5', 'FCRL6', 'FUCA1', 'GFRA1', 'GFRA2', 'GGT5', 'GNLY', 'GPA33', 'GPC5', 'HDGF', 'HLA-DRA', 'HMBS', 'ICAM1', 'IFNGR2', 'IGF2R', 'IL13', 'IL17C', 'IL17D', 'IL18RAP', 'IL2RA', 'IL5', 'IL5RA', 'ITGB6', 'JCHAIN', 'KCNIP4', 'KIR2DL3', 'KLB', 'KLK1', 'KLK10', 'KLRD1', 'LEFTY2', 'LYPD1', 'MARCO', 'MDGA1', 'MFAP3', 'MILR1', 'MMP13', 'MSLN', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NFATC3', 'NOMO1', 'NPTN', 'NTF4', 'PCOLCE', 'PCSK9', 'PDGFC', 'PDGFRA', 'PM20D1', 'PODXL2', 'PON3', 'PRTG', 'PSIP1', 'PSPN', 'RANGAP1', 'SCARB1', 'SCGN', 'SCP2', 'SIGLEC9', 'SMOC2', 'SMPDL3A', 'SPINK1', 'SPINT1', 'SRP14', 'SSB', 'TDGF1', 'TEK', 'THPO', 'TIMP3', 'TMPRSS5', 'TNC', 'TNFRSF4', 'TNFRSF8', 'TSHB', 'ULBP2', 'VNN2', 'XPNPEP2', 'XRCC4']",115
Fold 11,['MZB1'],1
