,Fold selected features,Fold nb of features
Fold 0,"['ACE2', 'ACP5', 'ADAMTS15', 'ADGRG1', 'ANGPTL2', 'ANGPTL3', 'BAIAP2', 'CCL20', 'CCL7', 'CD164', 'CD276', 'CD63', 'CDHR1', 'CES2', 'CPA2', 'CRELD2', 'CRTAC1', 'DKKL1', 'ENPP7', 'EREG', 'FABP1', 'FABP4', 'FASLG', 'FBP1', 'FCAR', 'FCGR2B', 'FCN2', 'FCRL5', 'FGF21', 'GFRA2', 'GGT5', 'GH2', 'GPA33', 'HCLS1', 'HDGF', 'IGF2R', 'IL11', 'IL17A', 'IL1RAP', 'IL2RB', 'IL33', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLB', 'LAMA4', 'LRP11', 'LRPAP1', 'MARCO', 'MDGA1', 'MET', 'MUC13', 'MZB1', 'NCLN', 'NEFL', 'NINJ1', 'NOS1', 'NPTN', 'NPTXR', 'NPY', 'PDGFRA', 'PLIN1', 'PM20D1', 'PPY', 'PRSS8', 'S100A16', 'SCARB1', 'SCGN', 'SCP2', 'SMOC2', 'SMPDL3A', 'SOST', 'SPINT1', 'SRP14', 'TDGF1', 'THBS2', 'THPO', 'TLR3', 'TMPRSS5', 'TNFRSF11A', 'TNFRSF4', 'TNFRSF8', 'TP53INP1', 'TPT1', 'WISP1', 'XPNPEP2']",86
Fold 1,"['CCL7', 'JUN', 'LGALS1', 'MZB1', 'PON3', 'SDC1', 'TNFRSF8']",7
Fold 2,"['ANGPTL2', 'CRTAC1', 'FOSB', 'KIR2DL3', 'LGALS1', 'LRPAP1', 'MDGA1', 'MSR1', 'MUC13', 'MZB1', 'PON3', 'SIGLEC9', 'SRP14', 'TNFRSF8']",14
Fold 3,"['ADAM15', 'ADAMTS13', 'AMY2A', 'AMY2B', 'AOC1', 'APEX1', 'ASAH2', 'B4GAT1', 'BAIAP2', 'CAPG', 'CASP1', 'CCL15', 'CCL19', 'CCL20', 'CD300C', 'CD63', 'CDH17', 'CDHR1', 'CDHR2', 'CEACAM5', 'CELA3A', 'CHIT1', 'CHL1', 'CLEC10A', 'CNTN1', 'CPA2', 'CRTAC1', 'CSF1', 'CTRB1', 'CTSF', 'CTSH', 'CXCL8', 'DCXR', 'DDC', 'DKKL1', 'DPP6', 'DSG4', 'ENPP7', 'ERBB4', 'FCGR2B', 'FCRL5', 'FGF21', 'FOSB', 'FUCA1', 'GCG', 'GFRA2', 'GH2', 'GHRHR', 'GNLY', 'GPC5', 'HAVCR1', 'HCLS1', 'HLA-DRA', 'IGF2R', 'IL13', 'IL13RA1', 'IL16', 'IL2RA', 'IL33', 'ILKAP', 'ISM1', 'KCNIP4', 'KLK12', 'KLK14', 'LAMA4', 'LGALS1', 'LILRB1', 'LTA', 'LY96', 'MDGA1', 'MET', 'MMP13', 'MSLN', 'MTPN', 'MUC13', 'MZB1', 'NCLN', 'NPTN', 'NXPH1', 'PCOLCE', 'PCSK9', 'PDGFC', 'PIGR', 'PODXL2', 'PPY', 'QPCT', 'RANGAP1', 'RBP2', 'SERPINA12', 'SIGLEC7', 'SIGLEC9', 'SMOC2', 'SPINK6', 'SPINT1', 'SRP14', 'TDGF1', 'THBS2', 'THPO', 'TMPRSS5', 'TNC', 'TNFRSF4', 'TNFSF12', 'TSHB', 'XPNPEP2']",104
Fold 4,"['ACP6', 'ADAM15', 'ADAMTS13', 'B4GAT1', 'C19orf12', 'CCL20', 'CES2', 'CRTAC1', 'CTSF', 'FGF21', 'HLA-DRA', 'IL22RA1', 'LYPD3', 'MDGA1', 'MUC13', 'MZB1', 'NDRG1', 'NPTN', 'PDGFC', 'PPY', 'RANGAP1', 'SRP14', 'TCL1A', 'TFPI2', 'WIF1', 'XPNPEP2', 'XRCC4']",27
Fold 5,"['CCL7', 'FBP1', 'LGALS9', 'MZB1', 'NOMO1']",5
Fold 6,"['ACTN4', 'ADAM15', 'ADAMTS15', 'AMN', 'AMY2B', 'AOC1', 'BAIAP2', 'CAMKK1', 'CCL19', 'CCL20', 'CDH17', 'CDHR1', 'CHIT1', 'CNDP1', 'CPA2', 'CRTAC1', 'CSTB', 'CTRB1', 'CTSH', 'CXCL13', 'DKKL1', 'ENPP7', 'EPCAM', 'FABP4', 'FBP1', 'FCGR2B', 'FOSB', 'GFRA2', 'GGT1', 'GGT5', 'GH2', 'GPA33', 'HBQ1', 'HDGF', 'HLA-DRA', 'IGF2R', 'IL11', 'IL13', 'ISLR2', 'KCNIP4', 'KLB', 'KLK1', 'KLK12', 'LY96', 'LYPD1', 'MDGA1', 'MET', 'MSR1', 'MUC13', 'MZB1', 'NCLN', 'NDRG1', 'NPTN', 'NPTXR', 'OXT', 'PAEP', 'PDGFC', 'PIGR', 'PM20D1', 'PON3', 'PPY', 'PRKRA', 'PRSS8', 'PSIP1', 'S100A16', 'SELPLG', 'SIGLEC9', 'SPINK6', 'SPINT1', 'SRP14', 'SSC5D', 'TDGF1', 'THPO', 'TMPRSS5', 'TMSB10', 'TNFRSF13B', 'TNFRSF4', 'TSLP', 'XPNPEP2']",79
Fold 7,"['ADAM15', 'ANGPTL2', 'BAIAP2', 'CCL20', 'CD5', 'CES2', 'COPE', 'CRTAC1', 'CXCL14', 'FCRL5', 'FOSB', 'ICAM4', 'IL5', 'KIR2DL3', 'LEP', 'MDGA1', 'MZB1', 'NFATC3', 'NRP1', 'S100A11', 'SIGLEC9', 'SIT1', 'SMOC2', 'SRP14', 'SSB', 'TFRC', 'TMPRSS5', 'TNFRSF13C', 'VEGFD', 'XPNPEP2']",30
Fold 8,"['ACAN', 'ACP6', 'ADAM15', 'ADAMTS15', 'ADAMTS16', 'ADCYAP1R1', 'ADGRG2', 'AHSP', 'AMY2A', 'AMY2B', 'ANXA3', 'AOC1', 'C4BPB', 'CALB2', 'CAPG', 'CASP1', 'CCL15', 'CCL19', 'CCL7', 'CD300C', 'CD300LG', 'CD38', 'CD5', 'CD63', 'CDHR1', 'CEACAM5', 'CES2', 'CHIT1', 'CHL1', 'CLEC4G', 'CPA2', 'CRTAC1', 'CTSH', 'CXCL8', 'DDX58', 'DKK4', 'DPT', 'DPY30', 'DSG4', 'ERBB3', 'ERBB4', 'FCGR2B', 'FCRL5', 'FCRLB', 'FGF21', 'FOSB', 'GDF15', 'GFOD2', 'GFRA2', 'HLA-DRA', 'HMBS', 'IGF2R', 'IL11', 'IL13', 'IL16', 'IL33', 'ISM1', 'KCNIP4', 'KIR2DL3', 'KLK12', 'LGALS1', 'LGALS9', 'LILRB1', 'LYPD8', 'MAGED1', 'MARCO', 'MDGA1', 'MICB_MICA', 'MMP1', 'MUC13', 'MZB1', 'NCAM2', 'NINJ1', 'NPTN', 'NRP1', 'NTRK3', 'PDGFC', 'PIGR', 'PLAUR', 'PM20D1', 'PON3', 'PPY', 'PRTG', 'RANGAP1', 'RASSF2', 'SCARB1', 'SERPINB8', 'SIGLEC9', 'SMOC2', 'SPINK1', 'SPINT1', 'SRP14', 'TDGF1', 'TFRC', 'TNC', 'TNFRSF11A', 'TNFRSF8', 'TPSAB1', 'TSHB', 'WFIKKN1', 'WIF1', 'XPNPEP2']",102
Fold 9,"['CCL20', 'FOSB', 'GDF15', 'LGALS1', 'LILRB1', 'MZB1', 'PON3', 'TFPI2']",8
