"","Tumor.non.proliferating_intratumor_area","Tumor.non.proliferating_stromal_area","Tumor.non.proliferating_tumorfront_area","Tumor.proliferating_intratumor_area","Tumor.proliferating_tumorfront_area","Vessel_stromal_area","Vessel_tumorfront_area","Fibroblasts_stromal_area","Fibroblasts_tumorfront_area","CD4.T.cells.naive_stromal_area","CD4.T.cells.naive_tumorfront_area","CD4.T.cells.memory_stromal_area","CD4.T.cells.memory_tumorfront_area","CD4.T.cells.regulatory_stromal_area","CD4.T.cells.regulatory_tumorfront_area","B.cells_stromal_area","B.cells_tumorfront_area","CD8.T.cells_intratumor_area","CD8.T.cells_stromal_area","CD8.T.cells_tumorfront_area","Myeloid.M1.macrophages_stromal_area","Myeloid.M1.macrophages_tumorfront_area","Myeloid.M2.macrophages_stromal_area","Myeloid.M2.macrophages_tumorfront_area","Myeloid.Granulocytes_stromal_area","Myeloid.Granulocytes_tumorfront_area","Myeloid.DCs_stromal_area","Myeloid.DCs_tumorfront_area","Myeloid.Monocytes_stromal_area","Myeloid.Monocytes_tumorfront_area","Tumor.non.proliferating_intratumor_eccentricity","Tumor.non.proliferating_stromal_eccentricity","Tumor.non.proliferating_tumorfront_eccentricity","Tumor.proliferating_intratumor_eccentricity","Tumor.proliferating_tumorfront_eccentricity","Vessel_stromal_eccentricity","Vessel_tumorfront_eccentricity","Fibroblasts_stromal_eccentricity","Fibroblasts_tumorfront_eccentricity","CD4.T.cells.naive_stromal_eccentricity","CD4.T.cells.naive_tumorfront_eccentricity","CD4.T.cells.memory_stromal_eccentricity","CD4.T.cells.memory_tumorfront_eccentricity","CD4.T.cells.regulatory_stromal_eccentricity","CD4.T.cells.regulatory_tumorfront_eccentricity","B.cells_stromal_eccentricity","B.cells_tumorfront_eccentricity","CD8.T.cells_intratumor_eccentricity","CD8.T.cells_stromal_eccentricity","CD8.T.cells_tumorfront_eccentricity","Myeloid.M1.macrophages_stromal_eccentricity","Myeloid.M1.macrophages_tumorfront_eccentricity","Myeloid.M2.macrophages_stromal_eccentricity","Myeloid.M2.macrophages_tumorfront_eccentricity","Myeloid.Granulocytes_stromal_eccentricity","Myeloid.Granulocytes_tumorfront_eccentricity","Myeloid.DCs_stromal_eccentricity","Myeloid.DCs_tumorfront_eccentricity","Myeloid.Monocytes_stromal_eccentricity","Myeloid.Monocytes_tumorfront_eccentricity","Tumor.non.proliferating_tumorfront_celldistance","Tumor.proliferating_tumorfront_celldistance","Vessel_tumorfront_celldistance","Fibroblasts_tumorfront_celldistance","CD4.T.cells.naive_tumorfront_celldistance","CD4.T.cells.memory_tumorfront_celldistance","CD4.T.cells.regulatory_tumorfront_celldistance","B.cells_tumorfront_celldistance","CD8.T.cells_tumorfront_celldistance","Myeloid.M1.macrophages_tumorfront_celldistance","Myeloid.M2.macrophages_tumorfront_celldistance","Myeloid.Granulocytes_tumorfront_celldistance","Myeloid.DCs_tumorfront_celldistance","Myeloid.Monocytes_tumorfront_celldistance"
"OC01_001",126.829977336851,66.5812733168502,91.3619309707223,67.7683342219027,76.9747665755241,73.2138112340043,78.3839658983072,58.6099535059671,63.1671880386755,44.421104944504,98.1741757677594,60.8125592947826,44.5529363135907,5.36467986759025,8.74513945206104,52.3073553997594,62.1211194000618,-4.76335540069517,44.3481911589094,53.6308671773646,69.9548651266609,49.8708352182871,59.8425514228086,51.872215239671,63.3955421344549,68.8547080226892,65.4167377568094,9.28683357840233,70.7642450126625,51.3323111423638,0.642167397084673,0.635139253784474,0.654387404241763,0.730790195525846,0.739516737584914,0.636220061859741,0.659882438367887,0.628536142341784,0.642803900881496,0.624789155003187,0.244044984338075,0.647253017251955,0.637072686639139,0.0201985651370386,0.0407955578516391,0.486699217463216,0.710730845497037,-0.0507166134902344,0.545983948659649,0.524909880170659,0.631793912127563,0.510851667625457,0.604294337258646,0.675150002179921,0.589310703225073,0.70778891903134,0.834761434740784,0.0963643927294597,0.578686068914119,0.471972191208276,5.73221098426676,16.6990048549795,-8.65952577065519,-10.9741430502273,-3.95351331175432,-9.30186697536027,-1.10323363843839,-11.0812638587493,-10.2175485315963,-10.6742402477489,-9.1953050369375,-11.2919042893217,0.494292151772576,-8.53869443120332
"OC01_002",148.121217471737,64.4361541316272,94.3717430195729,162.793095388459,88.303334914396,65.4766414922731,71.6189128122524,55.7325675191624,56.9811562834731,60.5674654602179,65.8537853279995,63.6849073397925,37.5361807775707,5.35766801614484,8.78579963882934,56.6556037652397,46.8033366062489,-4.76964923199461,54.449583548663,59.0904572157638,62.6856662323297,42.2345046210557,43.2480519614756,47.9811489083514,58.2815897871844,73.5528293106121,126.386756236656,69.7981918045829,56.0086850452615,62.8083349212244,0.654151761410867,0.642619881518542,0.668382452509593,0.770918815496132,0.668423461603486,0.656414352473393,0.679706307893645,0.632689446802272,0.646598773864804,0.576746619020335,0.536749729859094,0.645630835976483,0.586492553997632,0.0201228481790509,0.0407843107134123,0.568228670703749,0.462258410334461,-0.0507724524457046,0.619130478481364,0.56611492475981,0.603889469140993,0.643001740664924,0.445672238273519,0.706675368175322,0.704702216013344,0.692043402586848,0.663582592084402,0.71155367904387,0.673583899543087,0.402028548039904,6.35126660236519,-20.0861990849261,-9.68555970220435,-10.4049851962572,-16.3402450771011,-8.83789625055554,-1.11054064348528,-13.3263400268033,-13.1724977217923,-7.23724267676025,-13.8674674133269,-13.7136442284372,-12.4156946935844,-16.009444275519
"OC01_003",113.833830624635,56.1972821130877,100.416737054859,67.8282181429518,80.5823904299684,65.1048586811685,67.851321639141,56.9772811886767,62.4370535476725,45.2236080326633,42.6818541588569,61.2358923659601,57.5429956872359,5.36051957808349,8.76926100635178,52.4631195404879,84.4636782205141,-4.76708907957261,56.5144996897994,57.8600020955679,58.8226419133868,52.0580054130199,62.3958146553477,57.7003046676521,58.1724531727931,66.3307103408848,67.39895086683,49.5435719437766,56.7609462662447,47.568087044341,0.642470420715964,0.552873343732413,0.647914253631646,0.743449205686191,0.696680465553266,0.624022516200026,0.64689234976605,0.623458448314621,0.632849558135683,0.509879239069505,0.510551769706525,0.619786252214664,0.63444839883367,0.0201536416801002,0.0407888864487944,0.554198535580994,0.697224664073954,-0.050749738823159,0.587514741874524,0.600353658432667,0.586353032589697,0.599594437528422,0.614331882322418,0.599827559989495,0.612285143799997,0.672274169178802,0.618868052970731,0.500194661658296,0.598644053262231,0.509934876576785,9.38075170504493,7.05579961939705,-7.30546760814933,-9.87291533110689,-6.29610208510649,-18.8086528405167,-1.10756850022282,-9.90473351820509,-11.6525647333507,-6.66612056635367,-5.50754697511454,-9.90153246306587,-3.02996807972235,-6.46991010096632
"OC02_001",94.3653483327107,43.3497223081765,94.2488127165375,67.6079326371983,75.7683412459746,71.2916340769053,75.0029668366184,56.8037886634404,43.0911395612821,58.7051602248643,50.9134598265409,61.3793018884169,70.3279701702658,49.6042307035847,159.805719809058,60.2329027454095,65.4776224320659,76.1746362030629,57.1462195557107,73.1587842366642,66.7042768577356,72.159067103343,56.7095705097566,46.6073869464144,64.2108605940061,5.01924777813637,80.0863517646089,79.8037569054818,67.0416741781306,64.5743652636727,0.6138278435525,0.5433125434431,0.636659775569815,0.60352519581178,0.710392067846983,0.603070997879435,0.581212658498587,0.61875252778636,0.542280648910854,0.542768870285663,0.492641985553378,0.591539537389356,0.580557288380842,0.633094944617493,0.818629513942151,0.59614621974886,0.751930386721281,0.60751410497102,0.583238970629847,0.579329761665565,0.575479795371417,0.574142414831813,0.619211711569928,0.497098522330188,0.611472700231816,0.0670021075864742,0.558912364137823,0.890082505995521,0.562545155784016,0.661336973147766,10.5258054632882,16.1655742327934,-9.59884318775334,-13.7618169278644,-9.06743620849503,-10.8800572550696,-3.44223567583431,-12.8587276394482,-2.73027163733835,-9.15029860981299,-10.4455424290299,0.798648903510476,-3.12695451123207,-3.84654272396115
"OC02_002",83.6386999800234,16.769723499635,80.8513473311003,90.3029381900816,88.4358097970287,72.4523905225129,70.5374030159777,55.8969145349103,54.045980035718,54.1730557548571,61.1513841123145,22.9686881672354,65.0437967220811,5.36085417302439,8.76731517217427,59.1263958880686,-0.537065657635728,41.4150305213235,46.7786004513462,72.4841498697105,52.2953552307297,61.5209917172625,53.7884086591533,62.5838728448359,105.695014035358,42.4173240306132,93.400384878264,65.2930286154383,55.311211776604,63.569233965444,0.624736159412633,0.48488030644544,0.627796455306225,0.667081493938841,0.616094269696571,0.624575323529736,0.60054699785439,0.604623669450631,0.620959737000485,0.523204373885135,0.501976977380552,0.458157399292569,0.686560563894138,0.0201572568329916,0.0407894264033652,0.343946525682558,-0.0162839662089235,0.499185762389483,0.488089838490804,0.559037010600094,0.562243950208313,0.722912575951963,0.721768333270213,0.559528525097821,0.673797139313587,0.402840484422584,0.549750610200423,0.62505435089375,0.535015673358294,0.619906392178366,11.8049770158082,17.3565857601295,-6.19750810630758,-8.32428249031541,-7.42815211047377,-5.88621252023782,-1.10721881482419,0.80159447322642,3.64811931704946,-4.71766220193153,-4.07072621700206,-11.1443241239653,-1.41681671800358,-4.17159359825192
"OC03_001",66.49049737958,24.7464443662045,63.8117235178046,72.7374222716446,74.0572826559245,53.9632427677449,43.5611151774102,40.480288582419,26.516479735662,34.6247520338155,32.6240348909062,38.0657039553534,40.6225987998709,30.5531455726049,35.212014356933,32.0647789396984,33.105029673279,53.106293358973,35.3815745214749,41.9435516537822,39.7196585567543,42.1347734906211,45.4894363132598,45.9354685233406,21.5134581952935,38.6753030102838,22.0340916151026,47.555515169695,36.814623185298,42.5128759431027,0.612622278622997,0.545713441436051,0.612394190691341,0.520463090659669,0.695214758670994,0.65119552089397,0.63541764431594,0.649250225104338,0.62231146083854,0.52637352022541,0.493733475724709,0.593475980089799,0.583914912411329,0.635177207429633,0.641965434730255,0.498525623756527,0.592524651803655,0.561245608787229,0.535334443851228,0.587410087940171,0.601833572697039,0.561532850433815,0.670141849243486,0.577400231154687,0.611939777140931,0.572619703432811,0.714639693516139,0.739034876913128,0.603556426912889,0.603328734045144,11.2918717507373,11.9928452894635,-7.20381980935143,-12.7099448996941,-9.14191593396099,-10.601133004388,-14.8156016074567,-12.2124462075727,-2.2973080809016,-6.82702062167797,-2.38120612467526,-5.53674235589279,-8.19392647461683,-3.60059494688895
"OC03_002",73.5612072079853,2.7346576667819,54.5923237276109,75.6893581921881,69.5508556751034,56.0226312803845,49.9294617230251,47.7377817881263,40.0066322241076,36.6120488581722,35.7498375426808,41.8676699042271,45.2444452011326,39.4325760011395,49.2346466259441,25.5592133805932,32.8220187363375,45.8255298060909,39.2096714441479,45.8179027296829,48.3751011133212,49.4708658122561,50.4671601816238,45.6665860331869,29.7227970219796,4.97048262032928,58.3507366631575,56.6118373769092,47.6270046056701,43.5690040012633,0.688921164777811,0.00832494090029462,0.638943798888611,0.798357037912477,0.630838341517945,0.640465058634265,0.661134663692795,0.647369691858025,0.655800586895906,0.536129619073117,0.46526640545867,0.589027699811862,0.576441949328929,0.595804512517697,0.591001723529549,0.573181845016503,0.598586212767003,0.540915108603082,0.572782114506856,0.567566332250614,0.608522858156126,0.594368328489839,0.562823862319142,0.518196395151458,0.72900889219565,0.0663910340225634,0.729781855136398,0.686946161389662,0.58353190027787,0.65528438204847,10.6051582086846,13.2933435817947,-8.90326630211654,-11.2318038319226,-9.52598619013591,-10.4789026180502,-10.763157405957,-14.1481122772492,-1.39383939549943,-5.07297224462476,-5.33856985135814,0.808818318989774,-2.71470124567573,-0.498918262056537
"OC03_003",83.8737020076236,70.449247277354,84.427164682011,44.822992710642,11.3280682961567,59.4541838523168,61.1154715152678,52.4246328606899,51.6006284756343,37.7839714293636,62.1826373974971,44.2407918307808,55.0419814641958,51.5600949115623,8.77172144318894,42.891718783014,-0.535380665825145,-4.76746984946644,50.9404746721083,84.6262403856256,53.7775406251746,53.0966592533509,55.186688081292,89.1357519937905,44.8843326464488,81.0765625283153,56.5221363233223,91.2942593421034,53.5323487366432,53.3166360076105,0.645623032717927,0.681681501620444,0.638022155912945,0.718595765456424,0.0167352580682478,0.639326071347615,0.625884106364688,0.637819611892061,0.622871917079832,0.500296111128509,0.7322273867056,0.614113726735172,0.416154089258387,0.543012831600447,0.0407882065060037,0.57637043249597,-0.016266535898515,-0.0507531170768618,0.591465353910509,0.594651529636925,0.645494278310878,0.661477576734449,0.591538744117817,0.551910242282145,0.593276538000167,0.485141208837853,0.659506219056617,0.796842193916232,0.605095820041803,0.650132360271122,8.79976322347347,-0.313803787364266,-9.25260850079048,-10.6270774662192,0.789227262671275,-13.7167977656145,-1.10801066258436,0.801745495398696,-15.8879719265199,-10.2683564828765,-6.12661995643919,-6.11599200380083,-2.76226219991475,-4.04616405491732
"OC04_001",92.6537184843614,12.6674652271893,76.9078629546273,89.3439348219415,98.9908673984588,45.1048835317685,54.747590225863,35.1807809875598,41.9666858172739,36.6411249275916,37.9202071106052,43.1638174137962,44.4306239603998,40.6469915347907,44.9636638568642,36.2080417216943,53.5380288785281,60.0851727972878,42.1144330326117,46.6261662223301,44.6477427694888,52.1661199932654,37.8236290817073,42.9756120997731,45.2175905831767,45.1279840947041,36.6306017751438,49.3478782194611,38.8448263707534,43.2916865532043,0.638383813643397,0.620298965956639,0.630513943736279,0.655625100272607,0.657176240275733,0.648095008267483,0.616206830466498,0.608122209749116,0.617709158950791,0.534064695708001,0.566477036984582,0.598571877800719,0.655426227206584,0.614181189998683,0.795998919837136,0.536890685901392,0.561626761813898,0.553634706420638,0.588802660437127,0.593970064831884,0.609991480080497,0.613784994396815,0.614031236098719,0.753405265632087,0.599729613874987,0.628257106311874,0.686641934732227,0.667914325686725,0.621242716286558,0.563645612127968,10.6555248683716,12.7825086183826,-8.61441846759578,-8.23146395499725,-6.95182680266429,-10.0533941461921,-6.5600344544557,-5.57639054161581,-0.00149838329498658,-5.93370603680221,-3.48704276206148,-7.404146758292,-0.160083838275281,-1.93221261553759
"OC04_002",91.6567424434661,36.3955118388052,83.8516514365645,84.0476837217295,113.153280427507,44.3399878513565,51.0648755127571,41.0140733187934,53.6235035070338,49.54466505353,36.0696422061816,56.7349365891841,50.4015638313214,68.8611161800584,59.7658027763509,28.9584320234083,-0.537644457504201,50.2334461705113,20.4173231316931,40.6272707411123,40.2960697698044,69.7421185785601,117.645346800955,58.1406898574564,32.9443908508572,52.207752371789,4.40150104204566,9.29260584887395,18.0114192879329,60.3201263854989,0.645209214122372,0.729340679701151,0.649039731547215,0.601095401512966,0.672059249134793,0.682430753254706,0.665060994484684,0.694405034884581,0.663764757871343,0.451703107601962,0.529876629773592,0.683824112073736,0.639244994714986,0.44290803364515,0.560204084970702,0.56879565987457,-0.0162899568012982,0.445055469298998,0.475255377128174,0.657126940830635,0.652563188418845,0.644185172487614,0.864905985486816,0.874143949886799,0.618871874489665,0.691743326692524,0.0441821113585536,0.0963770500756192,0.496404515692407,0.657903771625439,11.1983853921883,12.0337073320001,-9.86321961396523,-9.65084131754682,-4.53895417846116,-6.79358351006345,-20.11928240269,0.801542814890395,-8.32384880777113,1.69007999266481,-1.80134210179948,5.81556021096878,0.497833812095765,-4.24161470841405
