"","Tumor.non.proliferating_intratumor_area","Tumor.non.proliferating_stromal_area","Tumor.non.proliferating_tumorfront_area","Tumor.proliferating_intratumor_area","Tumor.proliferating_tumorfront_area","Vessel_stromal_area","Vessel_tumorfront_area","Fibroblasts_stromal_area","Fibroblasts_tumorfront_area","CD4.T.cells.naive_stromal_area","CD4.T.cells.naive_tumorfront_area","CD4.T.cells.memory_stromal_area","CD4.T.cells.memory_tumorfront_area","CD4.T.cells.regulatory_stromal_area","CD4.T.cells.regulatory_tumorfront_area","B.cells_stromal_area","B.cells_tumorfront_area","CD8.T.cells_intratumor_area","CD8.T.cells_stromal_area","CD8.T.cells_tumorfront_area","Myeloid.M1.macrophages_stromal_area","Myeloid.M1.macrophages_tumorfront_area","Myeloid.M2.macrophages_stromal_area","Myeloid.M2.macrophages_tumorfront_area","Myeloid.Granulocytes_stromal_area","Myeloid.Granulocytes_tumorfront_area","Myeloid.DCs_stromal_area","Myeloid.DCs_tumorfront_area","Myeloid.Monocytes_stromal_area","Myeloid.Monocytes_tumorfront_area","Tumor.non.proliferating_intratumor_eccentricity","Tumor.non.proliferating_stromal_eccentricity","Tumor.non.proliferating_tumorfront_eccentricity","Tumor.proliferating_intratumor_eccentricity","Tumor.proliferating_tumorfront_eccentricity","Vessel_stromal_eccentricity","Vessel_tumorfront_eccentricity","Fibroblasts_stromal_eccentricity","Fibroblasts_tumorfront_eccentricity","CD4.T.cells.naive_stromal_eccentricity","CD4.T.cells.naive_tumorfront_eccentricity","CD4.T.cells.memory_stromal_eccentricity","CD4.T.cells.memory_tumorfront_eccentricity","CD4.T.cells.regulatory_stromal_eccentricity","CD4.T.cells.regulatory_tumorfront_eccentricity","B.cells_stromal_eccentricity","B.cells_tumorfront_eccentricity","CD8.T.cells_intratumor_eccentricity","CD8.T.cells_stromal_eccentricity","CD8.T.cells_tumorfront_eccentricity","Myeloid.M1.macrophages_stromal_eccentricity","Myeloid.M1.macrophages_tumorfront_eccentricity","Myeloid.M2.macrophages_stromal_eccentricity","Myeloid.M2.macrophages_tumorfront_eccentricity","Myeloid.Granulocytes_stromal_eccentricity","Myeloid.Granulocytes_tumorfront_eccentricity","Myeloid.DCs_stromal_eccentricity","Myeloid.DCs_tumorfront_eccentricity","Myeloid.Monocytes_stromal_eccentricity","Myeloid.Monocytes_tumorfront_eccentricity","Tumor.non.proliferating_tumorfront_celldistance","Tumor.proliferating_tumorfront_celldistance","Vessel_tumorfront_celldistance","Fibroblasts_tumorfront_celldistance","CD4.T.cells.naive_tumorfront_celldistance","CD4.T.cells.memory_tumorfront_celldistance","CD4.T.cells.regulatory_tumorfront_celldistance","B.cells_tumorfront_celldistance","CD8.T.cells_tumorfront_celldistance","Myeloid.M1.macrophages_tumorfront_celldistance","Myeloid.M2.macrophages_tumorfront_celldistance","Myeloid.Granulocytes_tumorfront_celldistance","Myeloid.DCs_tumorfront_celldistance","Myeloid.Monocytes_tumorfront_celldistance"
"OC01_001",131.557454512703,70.7721989099197,91.5418318805358,64.7046884818375,76.0797040437588,73.3373976146293,77.7084393735615,58.9554720374822,62.6459314651823,44.7527573769039,118.67884951767,61.5340979762774,44.5004621066356,6.58056819552949,10.849812656364,54.9069451632606,64.4582014775589,-11.8719822183409,43.451823923441,52.8836572319536,68.9873923724148,49.9422623339276,59.5643696490787,52.2368208553532,63.3365074086961,65.200232828645,62.8386139003936,17.4516830332501,70.8688408013514,50.7077831457719,0.65484128007132,0.646884704065383,0.658349766320982,0.742377807542676,0.721579210643125,0.636942098027975,0.66443322305845,0.616167244473853,0.645895740225591,0.704059412065113,0.0950411447558239,0.651969476658882,0.63283604436331,0.0660206093628162,0.0924376788902937,0.496613792841502,0.726037754933478,-0.109344795615522,0.536167674535908,0.513998218173454,0.630339267175838,0.515170879107969,0.608510306402528,0.652885164559963,0.597101806035323,0.666329965791116,0.777278739100039,0.195547814419977,0.57735552589776,0.457395772152516,5.25835940008263,15.674953209705,-8.596431101494,-10.8992248547417,-2.42926496708156,-9.23577388544163,-1.51589144835707,-10.9735715092986,-10.5550387902704,-11.2776216408415,-8.99349164339357,-10.7391018556977,0.849850304033621,-9.46959118157212
"OC01_002",157.672703112934,68.2849450166753,94.717917715867,167.115835630854,87.3329308528032,65.5160016188352,71.141978845958,56.0768805765341,56.8927596917563,66.1136746417319,73.2026848914211,64.4604801002611,37.5755391594029,6.58056819552949,10.849812656364,59.8660264161783,48.2542522045115,-11.8719822183409,55.4231464073387,59.3959909031448,62.0875089597252,42.7498928427604,44.333241535636,49.0853778731864,58.3910855164207,69.4370737910205,115.745907015415,65.8698291150817,56.1477735787484,63.868329369541,0.677852019348605,0.655232664250719,0.676815735442545,0.785435714540341,0.660817978923353,0.660308594998635,0.687762805282555,0.623493763769934,0.648875560905967,0.614306743898579,0.558793449450288,0.65021145581689,0.585818083829268,0.0660206093628162,0.0924376788902937,0.59610541737285,0.472216844752371,-0.109344795615522,0.635447442312508,0.567368664302804,0.606947831382854,0.643726356741104,0.456316403010739,0.676415147268274,0.707419137376607,0.653782089453742,0.642978918778985,0.665109472836536,0.700321301759286,0.380614088819763,5.98019653835549,-15.2298328919636,-9.7645480056024,-10.3692222177126,-19.8937356983976,-8.78206446367249,-1.51589144835707,-13.2231112004231,-13.652960207036,-7.35663702303371,-13.5782791210855,-13.0667022187025,-12.4676121372261,-19.3882566026298
"OC01_003",115.654668147554,58.6266902720664,101.062949693598,64.8243276724321,79.6827108729704,65.134358560239,67.4630239104795,57.3219439701204,61.9637566649202,45.7810002887202,40.6192473499337,61.9602701302557,57.3610332943535,6.58056819552949,10.849812656364,55.0622152386599,88.0596058535191,-11.8719822183409,57.86704026693,57.9267448919614,58.4036056893869,52.0274543469966,61.9040911363847,57.0150503769257,58.2924688907986,62.9929275720228,64.5732792484271,49.6637554265348,56.8963024205757,46.4163006814994,0.65541073784756,0.556677816213067,0.649829986191882,0.755991604080982,0.684967178406144,0.622851317267824,0.649161031823737,0.607263707156073,0.637568076822566,0.490754710752553,0.517551495395438,0.624152978849157,0.630480889905311,0.0660206093628162,0.0924376788902937,0.579142710309198,0.712152341596234,-0.109344795615522,0.592533068600197,0.611830155990621,0.592301080991767,0.601500763552883,0.618070605228313,0.597127728511498,0.618945195964614,0.636824144323946,0.607953185522933,0.503784566922492,0.603180268225357,0.499368201403191,9.55031634921015,7.57349746954643,-7.05789810991034,-9.87864188641089,-5.72619005185715,-18.5320956747372,-1.51589144835707,-9.79626040367046,-12.0590781785626,-6.70647496786037,-5.38221372613105,-9.41872134407698,-2.78794663403209,-6.73046636039487
"OC02_001",91.8322340017911,43.6037333067878,94.5956485339545,64.6705058559533,74.9938663692019,71.4101651273692,74.4492597794292,57.1428139584782,43.9862438130251,63.6126994128116,52.1805073466686,62.0966452195287,70.0237495407219,49.5894152951498,157.594373403788,63.9592184476916,67.9807991456126,78.9220496658623,58.6201673894712,76.1594464319896,65.9210054217695,71.0608930709407,56.6822213809787,47.9765368239054,64.0982856651006,8.55100261842152,75.6007946752114,73.8728284674505,67.1618408227783,65.9028099451962,0.600343620510232,0.546308191374721,0.635014436418549,0.60633811749593,0.696825391990838,0.598645490400046,0.571917273970467,0.599022305866026,0.562514898847868,0.550995235962714,0.488374805507229,0.595512393188004,0.580358851987478,0.627119940507174,0.786982703761602,0.630074044457463,0.767852199665725,0.626792362665473,0.586609430088379,0.584469479126556,0.5831601751381,0.576727247370714,0.622653125458219,0.521096120885646,0.617891545618235,0.127290475367843,0.560869088536504,0.801373141863884,0.556283609307071,0.66637603873156,10.8922524454697,15.2277035854114,-9.66673358784993,-13.4718573572874,-9.62364664094061,-10.7790118079847,-3.70016231668392,-12.7555427233556,-2.69022138754717,-9.53655651192171,-10.2269922022105,0.792922384420344,-2.89438294942813,-3.25830891219197
"OC02_002",78.6613346963145,12.4536822273348,80.507292273655,89.0195945703375,87.431643368672,72.5734019882157,70.0782128049681,56.243941747381,54.1690890708401,57.6577587389677,66.5971302819151,22.8206195088971,64.78059359496,6.58056819552949,10.849812656364,62.724971249777,-1.76663468185205,39.9275210176403,46.3337731618689,75.34780473885,52.1906602716298,60.9743828681882,54.0067118865144,61.0037980403113,104.099417373849,41.7346521139499,87.1239287728624,62.2684794065157,55.4491466597096,64.7266258623955,0.621328655634968,0.482047369180662,0.623313317621112,0.674254345808494,0.615941551042503,0.623489528867857,0.594647531232407,0.574171259899564,0.627741467402947,0.515473931285994,0.503981370797542,0.460888532172637,0.679075996112579,0.0660206093628162,0.0924376788902937,0.320859807144905,-0.0162354092276156,0.505598899884856,0.457421279538991,0.558227148061999,0.572138308028945,0.721476986405026,0.721085603315973,0.567239797923439,0.677930295570168,0.409684272618991,0.553763990989888,0.599092228438296,0.520673624936914,0.620491407714433,12.4051910997233,16.2277610348181,-5.79814653187975,-8.44663055112803,-7.32436232472011,-5.89572860456395,-1.51589144835707,0.924768589666852,4.00139047621338,-4.48512568022869,-3.97367473584169,-10.6055395225245,-1.12443359099194,-3.68131682326894
"OC03_001",57.6878439724021,21.8221186422079,62.6212587445446,70.2080912491911,73.3157535994321,53.8664901382575,43.8280023712378,40.8491931943644,28.5880061461836,31.6541331339349,26.4539913581051,38.2494110505159,40.6395427650237,31.0737421370082,36.5058153300858,31.5678378755718,33.7675692946404,53.0487022704081,32.8388991267763,38.9746518959883,40.24235527411,42.6740417466501,46.3865424275166,47.4318429751358,22.9404947262201,38.4755436813534,25.2541980263348,48.063155556061,36.9949403561204,40.6599922027552,0.598023302482928,0.548964564392491,0.603034983130621,0.517458638821155,0.683846311766201,0.654287172285446,0.635676827042441,0.652608626457501,0.628684738599484,0.520507503913625,0.489977798977369,0.597450020786737,0.583514457358832,0.629036602582272,0.629240419801279,0.510033011270331,0.605095127380307,0.575063856178005,0.521487989132148,0.594939248538821,0.605194920966673,0.564457499695628,0.671468226400775,0.580661388571902,0.618291887774515,0.553586812349491,0.682957938333825,0.686073904910862,0.609451022111494,0.602519483868717,11.7931988044633,11.7220451235787,-6.94399802916738,-12.4985156152656,-9.72646019304638,-10.5062607712411,-14.3697550683273,-12.1085938842824,-2.23516537788681,-6.88738039159392,-2.32369148404826,-5.26257957760589,-8.11957510339102,-2.93339688834708
"OC03_002",66.3676570708749,-3.94108149869312,52.9433673348965,73.4383493952466,68.9065945572918,55.9588137791645,50.0435438953475,48.089240166979,41.1161692816001,34.2565716677545,30.8402354856432,42.131714510021,45.2210449177233,39.7079099351617,50.1112712934232,24.0659819616719,33.4593419986856,44.8862157778531,37.376589296102,43.5947834039634,48.4899800964419,49.6270588900916,50.9509831933592,47.2275827818472,30.844332798792,8.55100261842152,56.7672851822764,55.3058699699548,47.7892015116772,41.8838928858992,0.744648468456814,-0.0407543916466763,0.638039190085546,0.814934080600634,0.62878115240047,0.641891848951556,0.665932761436485,0.649321134152128,0.656295515160872,0.538155505351358,0.444328683183115,0.592890127279978,0.576631465399095,0.593036580496064,0.583740372727647,0.60137961504677,0.611191745453569,0.552364720662852,0.572309056171,0.569141109350211,0.610761183741184,0.596395916558732,0.568512199488121,0.536849740450136,0.730353371323761,0.127290475367843,0.694784310798803,0.646303442340416,0.58343123119713,0.659895811968228,10.9806371169943,12.8150121206821,-8.8770370451383,-11.129494196459,-10.2602095090698,-10.3867307552288,-10.563878221535,-14.0476821310549,-1.28470932583742,-4.88622075107314,-5.22533402679239,0.792922384420344,-2.47445902247805,1.17618524508552
"OC03_003",78.9526487995019,75.3180197612275,84.2654920999676,40.0590152193404,11.3242936338191,59.4136095304691,60.9035947540807,52.777513801496,51.8967382402182,35.9066285601682,68.0455940575166,44.5767619153269,54.8878465274847,51.4847204215738,10.849812656364,44.0554542038085,-1.76663468185205,-11.8719822183409,51.2644515546986,89.813354269806,53.6032479295449,53.0113484975942,55.2891392896558,82.7007696829666,45.4833011801561,76.1034319486043,55.141036418495,83.0762777226747,53.6743739274931,52.9965737933839,0.661468359166656,0.698055931741448,0.63679320428653,0.729399086981473,0.102623571103376,0.640545537171741,0.624451179568967,0.632496785887207,0.629305829524158,0.472957366665961,0.869350139355297,0.618415627212257,0.426897525738699,0.544608059239225,0.0924376788902937,0.606342201912076,-0.0162354092276156,-0.109344795615522,0.597894307203225,0.604426196577048,0.641764695928947,0.661705800427639,0.596210092486073,0.561607856417144,0.600703443800605,0.47913388248332,0.639811479436803,0.730217699128333,0.611540983649975,0.653814354325416,8.8657703468817,1.38189992627038,-9.27176262771377,-10.5758754567568,4.27299827480072,-13.5529618287566,-1.51589144835707,0.924768589666852,-16.5046230701361,-10.8132891914841,-5.98931807191939,-5.80251094408578,-2.51237497432572,-3.51587122830419
"OC04_001",89.8577368356442,7.76946401989823,76.4321541441239,88.4359765019325,98.1913075983723,44.9447385567533,54.8087868495819,35.5349038937733,42.9160803703511,34.0999762934941,33.8350529908936,43.4209618703691,44.4685500193212,40.909889767475,45.8352708478029,36.1816729637142,55.2994475406191,60.9028409361473,40.8345160255561,44.5844027363502,45.0006011726698,52.2665451197793,39.334050526514,45.116894117865,45.7281837146741,44.4382307000811,38.0112161066644,49.4636804427255,39.0418586507888,41.6535966133067,0.647452673906289,0.631337783699369,0.626992507009849,0.662527093921539,0.651744504214464,0.650773593936307,0.613125557106366,0.580460499150233,0.624285227059309,0.531915301034998,0.602319447664616,0.60215246837834,0.650790552056662,0.610077039507895,0.766814792089636,0.554649584291611,0.572940028209887,0.566786100191259,0.593681378123811,0.603106891758735,0.611825561771185,0.615246060258712,0.617269130599576,0.711741438302559,0.605443326939625,0.603183740131586,0.660696082029146,0.631715909682953,0.632033251061403,0.559787188431519,11.0174051489714,12.3877815941217,-8.55366599363635,-8.34320486204249,-6.58087313329404,-9.97061044625585,-6.59869532300101,-5.46866951220307,0.188834218075227,-5.85989328625325,-3.42783368864209,-7.0978007853966,0.136568527616971,-0.75255381222638
"OC04_002",88.4830055814479,35.4356278075703,83.6588262075979,82.2807732091963,111.828258864693,44.1080518661552,51.1108614086821,41.3895292452181,53.7768698783746,51.5192591191786,31.3208563009241,57.357610867291,50.294785389014,68.2994787226683,60.4125450942357,28.042061405182,-1.76663468185205,49.8183710449831,15.1063698822354,37.3970100870478,40.7701635885572,68.7472997931843,112.598056694681,57.3725057151808,33.9769515470675,50.4345861943522,9.93132078537234,17.4516830332501,18.2223122595,61.007341060026,0.660676222334767,0.750342866648351,0.651311673946219,0.603629113498576,0.663869017457067,0.690377852904019,0.670530558152751,0.731908056006146,0.663151931503002,0.383057015071369,0.548295534619309,0.688851281862439,0.634941201177271,0.45297008472837,0.556224075631803,0.597134144179799,-0.0162354092276156,0.445067219147544,0.43998400896625,0.685500060418288,0.647684776217725,0.644883949535423,0.858329702173253,0.800511870766889,0.625285839581059,0.653173090271252,0.157364129131274,0.195547814419977,0.470607468042615,0.662336485971831,11.6911912175185,11.7556765158907,-9.96575581865344,-9.67357617576587,-3.24788889937551,-6.78301293062454,-19.3535355269361,0.924768589666852,-8.56535194551044,2.82034252320952,-1.74916852365537,5.59992674919346,0.849850304033621,-3.77387813996148
