"","B cells_cellfrequency","CD4 T cells memory_cellfrequency","CD4 T cells naive_cellfrequency","CD4 T cells regulatory_cellfrequency","CD8 T cells_cellfrequency","Fibroblasts_cellfrequency","Myeloid DCs_cellfrequency","Myeloid Granulocytes_cellfrequency","Myeloid M1 macrophages_cellfrequency","Myeloid M2 macrophages_cellfrequency","Myeloid Monocytes_cellfrequency","Tumor non-proliferating_cellfrequency","Tumor proliferating_cellfrequency","Vessel_cellfrequency"
"S01_1","96","260","50","50","120",72,"260","1686",490,608,"108",770,"102",1112
"S01_2","50","168","32","44","44",304,"132","1402",622,218,"236",1604,"166",1850
"S01_3","90","98","26","32","40",140,"200","456",796,120,"78",1506,"104",972
"S02_1","0","16","0","8","4",100,"32","82",60,114,"16",1948,"480",614
"S02_2","324","326","62","98","404",310,"198","728",438,508,"134",808,"198",728
"S02_3","22","128","16","12","224",390,"66","38",114,200,"20",1298,"438",496
"S03_1","0","172","16","16","256",486,"30","58",256,340,"28",2060,"412",838
"S03_2","770","1212","276","98","2990",1344,"202","98",390,520,"12",72,"16",1068
"S03_3","90","380","58","136","448",698,"182","264",568,636,"74",1142,"368",1982
"S04_1","6","202","18","6","344",218,"52","58",160,432,"30",804,"4",1404
"S04_2","330","284","150","42","284",544,"126","840",422,542,"230",820,"152",2132
"S04_3","86","1152","158","52","1028",80,"120","294",278,576,"18",846,"62",1974
"S05_1","136","374","52","86","356",582,"90","170",978,654,"170",1358,"178",1264
"S05_2","6","60","6","10","146",1314,"16","84",226,168,"484",1040,"348",882
"S05_3","150","392","14","30","350",152,"258","674",1010,526,"14",568,"20",1160
"S06_1","0","28","0","2","238",228,"142","50",212,328,"2",2596,"42",1482
"S06_2","18","238","0","4","302",116,"146","162",180,678,"6",1804,"38",764
"S06_3","30","44","0","2","268",1418,"32","62",136,264,"52",2874,"300",658
"S07_1","0","4","2","0","16",1080,"12","6",20,50,"10",1732,"1070",466
"S07_2","186","202","390","32","328",6214,"46","12",818,384,"64",302,"150",994
