"","B cells_area","CD4 T cells memory_area","CD4 T cells naive_area","CD4 T cells regulatory_area","CD8 T cells_area","Fibroblasts_area","Myeloid DCs_area","Myeloid Granulocytes_area","Myeloid M1 macrophages_area","Myeloid M2 macrophages_area","Myeloid Monocytes_area","Tumor non-proliferating_area","Tumor proliferating_area","Vessel_area","B cells_eccentricity","CD4 T cells memory_eccentricity","CD4 T cells naive_eccentricity","CD4 T cells regulatory_eccentricity","CD8 T cells_eccentricity","Fibroblasts_eccentricity","Myeloid DCs_eccentricity","Myeloid Granulocytes_eccentricity","Myeloid M1 macrophages_eccentricity","Myeloid M2 macrophages_eccentricity","Myeloid Monocytes_eccentricity","Tumor non-proliferating_eccentricity","Tumor proliferating_eccentricity","Vessel_eccentricity","B cells_celldistance","CD4 T cells memory_celldistance","CD4 T cells naive_celldistance","CD4 T cells regulatory_celldistance","CD8 T cells_celldistance","Fibroblasts_celldistance","Myeloid DCs_celldistance","Myeloid Granulocytes_celldistance","Myeloid M1 macrophages_celldistance","Myeloid M2 macrophages_celldistance","Myeloid Monocytes_celldistance","Tumor non-proliferating_celldistance","Tumor proliferating_celldistance","Vessel_celldistance"
"S01_1","55.5625","56.0923076923077","67.64","53.36","57.7",42.1944444444444,"57.1153846153846","52.6714116251483",58.2448979591837,53.0690789473684,"53.1296296296296",121.633766233766,"116.274509803922",56.7212230215827,"0.550398173709372","0.590773452657031","0.633945715532991","0.600966751441411","0.605685975638458",0.617507669000922,"0.613671441756469","0.608234444560325",0.610190426289965,0.616059937854447,"0.57179694378862",0.669459263468107,"0.667811116975831",0.615324795054924,"-164.628606857359","-196.051300856287","-114.90757227711","-146.812619113499","-221.89664780354",-228.327409534176,"-221.826227393431","-200.244737063011",-166.480481183176,-251.362271222901,"-243.808406858184",48.2417661551122,"37.0418016254742",-237.797040501809
"S01_2","51.44","57.0833333333333","59.25","44.7272727272727","53.6818181818182",46.75,"55.9393939393939","54.6219686162625",59.1929260450161,48.5229357798165,"50.3559322033898",108.80174563591,"112.361445783133",57.572972972973,"0.590356011927249","0.589361263772849","0.591784118296415","0.593588778169059","0.533466092418879",0.630940717841236,"0.59076090655886","0.612173333227598",0.609386094824813,0.596263155239091,"0.62297096666655",0.637587439350804,"0.650899172620811",0.627412981812208,"-114.566794800944","-79.6307537427259","-78.4610960337479","-68.5495551366183","-47.1982357027653",-66.1896335568334,"-82.8640774070747","-73.4793365918707",-65.4021896727721,-75.6081080089866,"-99.5550720449369",28.730736838926,"15.0954688228706",-51.2840208152311
"S01_3","59.6222222222222","52.4285714285714","48.3846153846154","56.9375","65.3",55.6428571428571,"65.29","55.8070175438597",74.5552763819096,66.7666666666667,"58.3846153846154",126.879150066401,"132.673076923077",69.2037037037037,"0.623370882087153","0.632261668409784","0.578717184740596","0.548876691622485","0.561865846266809",0.640816579634428,"0.646643559782697","0.605204657169584",0.637185518874663,0.625461865331172,"0.59275095812486",0.64598741276312,"0.651122721696269",0.627383888279291,"-50.8719959406298","-58.4309706325923","-71.5728309623323","-54.7728789868482","-31.8072337517539",-29.1539572218103,"-33.3415440566293","-47.8363534383038",-43.8171976279011,-41.3743336469668,"-53.718264080651",41.0149112550808,"10.7573484336924",-40.6811280874625
"S02_1","0","77.625","0","71","66.5",64.64,"59.75","58.9268292682927",69.1333333333333,64.1754385964912,"63.125",107.212525667351,"123.391666666667",79.6840390879479,"0","0.700166558504833","0","0.704311014250721","0.610675376442842",0.716986390818724,"0.684116644186668","0.607579853328431",0.62274578245687,0.639081608546559,"0.572003573877151",0.640602734704784,"0.66707048032678",0.737957601999111,"0","-30.358375135335","0","-42.1941827489508","-74.8509940945373",-35.107292498163,"-38.5903275348023","-40.9946558735102",-31.7820545571583,-31.0938518149884,"-25.9657351775755",20.052278394764,"13.9058922946979",-20.509328614137
"S02_2","42.1851851851852","41.6748466257669","45.6774193548387","45.530612244898","49.0544554455446",32.5741935483871,"46.030303030303","38.7252747252747",47.2237442922374,45.0157480314961,"40.8208955223881",101.928217821782,"122.79797979798",44.4313186813187,"0.602781191265542","0.60383205910495","0.632500091236011","0.613037425410475","0.609612387386936",0.661481154252335,"0.613937119262385","0.613816837671252",0.632853963268917,0.622839192042636,"0.656369381507535",0.648991622455135,"0.676409423511561",0.655810904251045,"-64.0324492068089","-48.2671131992117","-48.4077853600831","-52.3957663939177","-37.2422019913873",-36.9206684801505,"-30.5330090391387","-48.6155831586846",-41.7735092879377,-44.24059575882,"-46.0649106846541",22.2331407208648,"11.7730850873729",-44.8427024776019
"S02_3","50.5454545454545","45.875","50.625","58.3333333333333","58.1428571428571",63.1230769230769,"44.9090909090909","52.2631578947368",56.8771929824561,58.56,"51.4",124.657935285054,"114.392694063927",57.7620967741936,"0.644794896870114","0.595057082709948","0.579466793968651","0.708306185507444","0.598888391143799",0.681528393532391,"0.617062564099218","0.576913158605937",0.666594886048366,0.620978193885969,"0.622116944039662",0.653156784297845,"0.671029195980006",0.661219014726341,"-26.4278172699157","-32.9935266082439","-32.1121405917403","-25.2125513703493","-11.3318361397811",-19.6231917098015,"-24.4299407794665","-31.4451501367068",-21.3806317336343,-17.7665336437754,"-26.7361742980166",30.6189047754155,"10.4339681985505",-23.3494219874694
"S03_1","0","54.9883720930233","50.5","57","63.328125",43.6995884773663,"78.3333333333333","58.448275862069",60.203125,67.3882352941176,"61.9285714285714",131.927184466019,"137.271844660194",67.3436754176611,"0","0.565840025147031","0.617139860823891","0.629971986293518","0.573594028666454",0.637375932364891,"0.605125765757063","0.59502762780207",0.594442829073754,0.619093151555315,"0.670441930337948",0.602416479449742,"0.599795869735399",0.640087840530404,"0","-110.030536584452","-58.3806579230953","-96.6027101414365","-66.3729004189403",-139.624464683762,"-52.2892040155958","-87.2968217275835",-81.9009745055603,-60.5979000078038,"-76.1136047612792",45.4040867483275,"28.5992163208811",-117.606717020454
"S03_2","50.5584415584416","49.1963696369637","51.7971014492754","52.7755102040816","50.8836120401338",47.2157738095238,"48.8118811881188","40.4285714285714",50.5179487179487,52.0769230769231,"40.3333333333333",125.75,"223.125",56.5543071161049,"0.588346012981403","0.597017470952861","0.60860735249975","0.591638175819689","0.594802516072267",0.64380251658546,"0.62391200697413","0.652025815883373",0.621755362271468,0.621898834318061,"0.615055668631832",0.624830537504228,"0.597534061307407",0.613003193160375,"-139.396861830258","-124.775696293951","-151.114321480048","-119.643992820097","-129.009144487407",-132.642713036291,"-74.1748783771492","-128.237192140175",-120.741048173696,-107.534233876307,"-150.553814657017",11.7215689271659,"8.30228148536914",-147.791936366491
"S03_3","46.6444444444444","52.9473684210526","46.5172413793103","61.2352941176471","53.4241071428571",48.5300859598854,"61.5934065934066","53.6212121212121",62.5739436619718,60.6289308176101,"52.5675675675676",95.4203152364273,"117.91847826087",63.4762865792129,"0.584420004444444","0.588849000789474","0.624265544827586","0.617385873529412","0.606384595982143",0.649156651002865,"0.608506925274725","0.629246221969697",0.641311542957747,0.626999773584906,"0.614931256756757",0.632188457618214,"0.659173953804348",0.621640656266398,"-160.998204888889","-112.256594273684","-116.147667482759","-79.8288003970588","-130.530561813839",-65.6938306418338,"-50.8743714285714","-72.0907601287879",-75.6007116926056,-65.6609579493711,"-61.0174141594595",8.58179680637478,"8.67233214673913",-57.853509509889
"S04_1","52.3333333333333","57.2871287128713","54.1111111111111","46.6666666666667","56.6744186046512",50.1651376146789,"65.2307692307692","54.7241379310345",70.7625,63.0138888888889,"48.4666666666667",113.572139303483,"258.5",63.7122507122507,"0.5097195","0.549425593267327","0.599919644444444","0.595214833333333","0.566728987209302",0.638898319266055,"0.588752473076923","0.606299810344828",0.5958789425,0.618174627777778,"0.686139773333333",0.656426143532338,"0.667974",0.609560580911681,"-116.2921","-83.9868767128713","-71.2512421111111","-86.19945","-96.5760494069768",-238.769037825688,"-41.8638755","-159.253644689655",-83.15972515375,-105.469599639352,"-145.093763733333",15.7531075567164,"20.2718",-182.252357742165
