"","B cells_cellfrequency","CD4 T cells memory_cellfrequency","CD4 T cells naive_cellfrequency","CD4 T cells regulatory_cellfrequency","CD8 T cells_cellfrequency","Fibroblasts_cellfrequency","Myeloid DCs_cellfrequency","Myeloid Granulocytes_cellfrequency","Myeloid M1 macrophages_cellfrequency","Myeloid M2 macrophages_cellfrequency","Myeloid Monocytes_cellfrequency","Tumor non-proliferating_cellfrequency","Tumor proliferating_cellfrequency","Vessel_cellfrequency"
"OC01_001","26","14","22","0",34,742,"2","92",38,"34",28,2718,"28",662
"OC01_002","156","48","66","0",146,1176,"6","46",54,"34",30,2108,"4",1470
"OC01_003","208","14","88","0",224,900,"16","246",146,"64",56,1722,"10",1230
"OC02_001","138","130","624","10",450,392,"20","16",64,"38",130,922,"18",692
"OC02_002","4","14","434","0",272,454,"10","12",36,"32",72,3236,"88",476
"OC03_001","56","470","188","20",394,2454,"26","16",192,"86",134,816,"22",1732
"OC03_002","28","376","286","34",592,2008,"22","4",250,"56",70,1744,"8",1482
"OC03_003","130","162","88","10",86,1988,"20","98",390,"78",112,1102,"4",2760
"OC04_001","94","956","672","60",510,1234,"30","170",968,"78",292,1980,"140",1394
"OC04_002","6","40","28","8",22,1076,"0","82",132,"4",16,3552,"120",1430
"OC04_003","38","50","46","14",54,2136,"10","10",214,"16",34,2558,"26",1510
"OC05_001","2190","1222","460","64",1788,830,"24","26",422,"64",152,910,"250",4004
"OC05_002","3162","640","462","88",784,644,"6","92",374,"86",152,914,"172",3654
"OC05_003","28","410","180","118",296,2010,"116","106",1046,"52",42,1654,"14",1222
"OC06_001","496","396","1570","10",1604,356,"36","232",294,"394",376,1260,"146",2502
"OC06_002","306","142","626","22",870,232,"300","146",454,"248",388,3088,"110",1282
"OC06_003","72","72","1102","2",208,634,"12","246",170,"114",156,140,"10",868
"OC07_001","22","146","192","6",16,2562,"8","38",172,"12",32,1502,"56",6372
"OC07_002","294","148","170","12",208,2408,"40","138",1036,"46",52,610,"18",3370
"OC07_003","8","278","220","26",12,2558,"28","146",718,"60",134,1908,"44",2436
"OC08_001","34","426","182","46",166,1320,"12","4",146,"40",42,2504,"136",482
"OC08_002","28","286","114","34",132,1800,"12","2",248,"14",36,2996,"26",632
"OC08_003","24","354","162","14",170,854,"2","0",148,"40",36,2826,"108",474
"OC09_001","102","272","124","18",572,2096,"134","12",124,"74",42,1298,"10",1376
"OC09_002","30","102","58","4",242,1554,"68","6",54,"28",24,2150,"36",764
"OC09_003","300","250","152","8",104,1346,"42","32",218,"26",80,2674,"26",1338
"OC10_001","302","68","32","6",108,266,"98","56",186,"6",86,3990,"2",730
"OC10_002","8","44","38","0",70,832,"10","4",44,"14",62,4268,"0",416
"OC10_003","0","0","0","0",30,182,"2","2",6,"0",2,3630,"4",300
"OC11_001","10","28","46","4",90,1688,"0","2",16,"6",14,2620,"4",1410
"OC11_002","30","92","92","2",232,1926,"0","2",38,"10",24,2384,"2",678
"OC11_003","136","196","136","2",704,2062,"14","6",32,"16",52,566,"0",1110
"OC12_001","236","992","1084","20",1210,602,"70","44",286,"242",208,2432,"154",1824
"OC12_002","0","36","258","0",56,62,"6","20",46,"86",120,4710,"396",812
"OC12_003","158","968","1152","48",568,766,"272","88",526,"382",588,1316,"38",2848
"OC13_001","38","332","352","52",1316,1090,"22","16",60,"36",44,2366,"148",1038
"OC13_002","80","116","132","10",466,930,"4","88",46,"36",32,1448,"100",1228
"OC13_003","210","942","780","34",1958,222,"18","70",432,"330",192,1356,"948",2596
"OC17_001","26","1048","408","64",676,978,"44","62",278,"250",272,832,"110",2388
"OC17_002","0","240","336","6",166,406,"10","94",252,"184",230,1190,"424",2060
"OC17_003","10","1046","354","110",618,1066,"44","274",406,"174",222,548,"78",2314
"OC18_001","12","68","272","0",408,626,"0","2",24,"310",34,598,"136",512
"OC18_002","0","12","120","0",110,198,"0","2",24,"18",32,1444,"2046",132
"OC18_003","144","248","760","8",666,484,"0","170",94,"382",554,666,"1992",806
"OC19_001","60","132","404","10",680,2092,"62","36",62,"64",58,1416,"20",602
"OC19_002","24","190","788","16",1690,806,"36","10",196,"48",104,1796,"152",284
"OC19_003","38","228","970","14",2124,598,"34","4",136,"52",136,1552,"60",202
"OC20_001","370","288","128","36",566,1894,"2","2",48,"30",22,1730,"68",1040
"OC20_002","272","1136","276","62",1048,1756,"14","12",76,"52",94,1482,"22",1638
"OC20_003","634","862","318","38",2330,490,"18","16",154,"58",46,1662,"206",576
"OC21_001","440","1654","1182","126",1574,462,"190","434",526,"202",190,1180,"32",600
"OC21_002","4","64","216","8",656,322,"8","18",26,"14",16,2124,"188",194
"OC21_003","6","120","222","10",682,512,"0","2",72,"28",58,3534,"22",314
"OC22_001","1600","2336","628","228",1784,1440,"84","86",1184,"128",140,658,"0",3472
"OC22_002","930","912","336","82",1412,552,"82","64",1012,"32",158,4960,"84",1122
"OC22_003","44","380","136","44",558,1204,"34","26",420,"68",154,4356,"50",2144
"OC24_001","102","148","498","10",624,158,"74","2906",704,"290",1800,660,"302",3546
"OC24_002","238","684","994","44",960,670,"56","2118",336,"96",486,1390,"128",2360
"OC24_003","728","440","664","22",818,118,"32","3442",344,"94",438,636,"460",1716
"OC25_001","66","600","752","24",1118,892,"44","60",152,"192",146,978,"12",2682
"OC25_002","118","60","304","4",474,1054,"16","28",84,"42",34,2224,"22",1090
"OC25_003","8","100","270","8",152,1470,"10","16",100,"112",56,1592,"28",1778
"OC26_001","128","760","998","6",1118,76,"8","58",174,"344",226,2024,"1368",1736
"OC26_002","970","1188","1556","6",1984,78,"4","38",394,"276",338,852,"350",1476
"OC26_003","530","1010","858","14",1588,90,"4","42",304,"258",508,1242,"2122",1036
"OC27_001","10","144","578","4",32,326,"0","2",16,"60",54,2324,"892",562
"OC27_002","6","92","160","2",70,66,"4","12",12,"30",34,2986,"472",310
"OC27_003","0","52","136","2",50,48,"0","20",12,"68",60,2828,"498",618
"OC28_001","828","1334","404","114",1220,1306,"6","14",236,"40",52,674,"84",830
"OC28_002","256","1208","292","168",898,768,"22","14",476,"106",70,1828,"122",1556
"OC28_003","62","992","514","84",334,1626,"12","6",218,"46",20,1878,"122",1030
