"","B cells_area","CD4 T cells memory_area","CD4 T cells naive_area","CD4 T cells regulatory_area","CD8 T cells_area","Fibroblasts_area","Myeloid DCs_area","Myeloid Granulocytes_area","Myeloid M1 macrophages_area","Myeloid M2 macrophages_area","Myeloid Monocytes_area","Tumor non-proliferating_area","Tumor proliferating_area","Vessel_area","B cells_eccentricity","CD4 T cells memory_eccentricity","CD4 T cells naive_eccentricity","CD4 T cells regulatory_eccentricity","CD8 T cells_eccentricity","Fibroblasts_eccentricity","Myeloid DCs_eccentricity","Myeloid Granulocytes_eccentricity","Myeloid M1 macrophages_eccentricity","Myeloid M2 macrophages_eccentricity","Myeloid Monocytes_eccentricity","Tumor non-proliferating_eccentricity","Tumor proliferating_eccentricity","Vessel_eccentricity","B cells_celldistance","CD4 T cells memory_celldistance","CD4 T cells naive_celldistance","CD4 T cells regulatory_celldistance","CD8 T cells_celldistance","Fibroblasts_celldistance","Myeloid DCs_celldistance","Myeloid Granulocytes_celldistance","Myeloid M1 macrophages_celldistance","Myeloid M2 macrophages_celldistance","Myeloid Monocytes_celldistance","Tumor non-proliferating_celldistance","Tumor proliferating_celldistance","Vessel_celldistance"
"OC01_001","58.0769230769231","52.4285714285714","55.7272727272727","0",46.5294117647059,60.9946091644205,"61","63.7173913043478",64.5789473684211,"54.2352941176471",69.2857142857143,99.4878587196468,"62.5714285714286",75.1873111782477,"0.581873687938946","0.640891182908369","0.656811798781525","0",0.562441520993686,0.634080737397184,"0.790633117429518","0.602059912642989",0.605785049247307,"0.624954595690769",0.570913811376807,0.645170427350429,"0.736365812284409",0.640057824276042,"-47.6126140879969","-27.8373673496136","-50.8906717523568","0",-41.1180918553281,-34.8096282261894,"-50.6304986672323","-41.3484692126557",-50.4757916160271,"-35.8701228514639",-51.8175811562366,18.3741387196031,"27.8489099852439",-39.882278008508
"OC01_002","60.4871794871795","56.0833333333333","67.4242424242424","0",55.9452054794521,56.9013605442177,"81","60.304347826087",51.4814814814815,"42.8823529411765",58.1333333333333,108.76660341556,"116.5",67.3374149659864,"0.613868835831087","0.632809674916071","0.639324824772942","0",0.628539813155438,0.637285409028379,"0.616559063266263","0.686074503657316",0.614892273149999,"0.544648665235229",0.664096035753388,0.659083680329822,"0.717969360443723",0.657902217459834,"-59.102428454167","-43.3215093184543","-50.1023069805566","0",-50.9049284365192,-40.0236732451935,"-15.5162931255369","-42.4788924289647",-28.578699176477,"-37.112872963987",-51.0064511335956,17.2631219176953,"8.95878301784665",-38.5323958774799
"OC01_003","58.7307692307692","59.8571428571429","51.3863636363636","0",57.4017857142857,58.8444444444444,"51.625","58.8373983739837",55.3698630136986,"57.15625",56.75,103.108013937282,"67.6",66.1463414634146,"0.61274902184485","0.626250671936537","0.5763260980946","0",0.611754861086983,0.625890327505078,"0.489246215306636","0.606435924534537",0.581930525718747,"0.596288721562878",0.593427012592757,0.642865215423763,"0.695286376409723",0.627844756931307,"-63.4178542634124","-77.4778474657735","-76.542743092141","0",-46.5280101208094,-64.4000490723477,"-49.2912399325915","-58.4974749872869",-51.4990660464087,"-39.4062106035331",-60.167494941405,24.8563555810415,"10.7715741635847",-37.1138219017608
"OC02_001","64.5942028985507","62.4153846153846","64.4423076923077","65.6",61.52,57.015306122449,"71","64.5",65.21875,"55.3157894736842",68.0307692307692,90.885032537961,"61.6666666666667",72.0491329479769,"0.648688597276672","0.591369200244698","0.604530334860076","0.64597750960484",0.607136547300613,0.616199657910334,"0.588091727239233","0.605626063913079",0.567836411572792,"0.605729473436658",0.58372113416383,0.618269222131631,"0.633950435660179",0.596551017939917,"-127.766069819466","-80.7364976678797","-180.826216826973","-85.394962826365",-107.556428336865,-316.696026367814,"-50.8188715957542","-121.059301924602",-173.995624592898,"-337.044427607825",-125.760515970633,38.4411673620303,"34.7288606912074",-212.093715581204
"OC02_002","63.5","33.8571428571429","62.5852534562212","0",55.1397058823529,56.2775330396476,"69.2","71.6666666666667",52.3333333333333,"55.4375",58.8333333333333,79.9060568603214,"82.0227272727273",71.8151260504202,"0.395252569289004","0.524603899795079","0.587722932293019","0",0.534588621593755,0.608970184078439,"0.519431644298512","0.501639753901791",0.600906993836474,"0.618093953716413",0.575521255776635,0.624704393137067,"0.661911870922219",0.61087911500879,"-182.423430280905","-103.194438938843","-78.3005122601283","0",-70.2655642790656,-93.3871690634178,"-70.2543402592588","-21.5423374117199",-94.5732910977136,"-59.9132093248494",-67.5474670316379,37.5885967173027,"25.930701969725",-76.6289762981411
"OC03_001","35.6071428571429","37.6723404255319","40.4468085106383","25.8",41.1370558375635,40.5012224938875,"24","26.25",37.8645833333333,"45",39.1492537313433,61.9754901960784,"63.0909090909091",53.2355658198614,"0.566200080783295","0.591240404999185","0.587845608777752","0.608145781589216",0.583767417023369,0.648370940709219,"0.661811811796011","0.568433751245397",0.582165645689912,"0.655683962117006",0.607402114491666,0.609988495678521,"0.665462213469884",0.644885564216752,"-37.6724297042523","-78.9693559790401","-106.855152079134","-75.6971464025629",-37.8131539284765,-294.650258167532,"-83.2305386376222","-86.4588199708433",-88.1768431659079,"-261.456386668807",-186.552972121789,16.6296947301094,"13.0705191546824",-301.889371177951
"OC03_002","31.3571428571429","41.9042553191489","42.4545454545455","35.9411764705882",45.7736486486486,47.99203187251,"47.9090909090909","30",45.792,"46",44.8285714285714,61.2970183486239,"61",55.1821862348178,"0.619731720066365","0.581565432293555","0.581512122362009","0.56826037075041",0.592677260151462,0.648503680601134,"0.599153627081083","0.722934859321112",0.597105191823805,"0.534799548340503",0.623891332463912,0.662119299926888,"0.663690905500171",0.639594041698001,"-49.7595398671802","-49.9162976623616","-56.1320349118071","-37.3550295170355",-0.56842430848223,-212.558199906098,"-4.95478977899531","-82.218283367157",-39.9978781275372,"-87.1369476083447",-68.1901279590446,29.0137953900734,"15.6547479060014",-160.881717230084
"OC03_003","47.2615384615385","43.8888888888889","44.7727272727273","46.2",52.3023255813954,53.0402414486922,"58.1","45.8163265306122",51.6871794871795,"56.9487179487179",54.625,81.1869328493648,"38",60.063768115942,"0.627616904455634","0.616221898611328","0.570467748051487","0.522863774874732",0.610522174835705,0.635006820647606,"0.632339262639698","0.584222149642592",0.639611468014842,"0.590341989820333",0.620038949924948,0.638560696502762,"0.731839996179266",0.630716884696454,"-137.697806410118","-122.34710968882","-127.642464408192","-95.1116676226771",-151.494102205093,-60.4879494877902,"-91.2374284833866","-143.151373012922",-105.011481914953,"-118.279415482111",-107.42492040051,10.9756334703169,"26.7777342213481",-58.3997568767393
"OC04_001","40.7021276595745","42.4665271966527","42.9523809523809","35.4333333333333",45.2117647058824,37.3565640194489,"35.9333333333333","44.9647058823529",44.1549586776859,"37.974358974359",40.8287671232877,81.4515151515152,"85.9714285714286",47.713055954089,"0.585363527460579","0.610220994573658","0.601929657249254","0.621201959878661",0.609991381812383,0.611011433364929,"0.609031350539618","0.590001357113041",0.604001155844967,"0.633356569691615",0.622226136381177,0.632345857359319,"0.652430295612948",0.635345025924857,"-128.079297562295","-97.45408398167","-110.459441416348","-73.3569010379316",-63.8403838149409,-90.6923947536853,"-33.6535688223598","-105.082029567021",-74.1918924353574,"-94.9547542492197",-100.159544095139,23.3561958310274,"21.0525114113627",-77.2872603222842
"OC04_002","33.3333333333333","50.35","46.9285714285714","57.25",41.1818181818182,48.1152416356877,"0","46",59.5606060606061,"85",28.625,85.6570945945946,"88.2833333333333",47.1384615384615,"0.620122136818976","0.644567415267388","0.580205387476684","0.471081096215749",0.597792853021592,0.679868421344911,"0","0.626582771409642",0.642528294912409,"0.858729846749481",0.504769806841891,0.645827913575962,"0.632764544045442",0.669187508892398,"-54.6322901754668","-14.5893650910403","-20.3939348667558","-30.4883068710013",-1.66419335120644,-23.2551723802247,"0","5.56409700585426",-6.45781394431954,"-18.8196333542058",-25.3798941223356,36.2875751711677,"28.7931053508046",-25.2244737102627
