"","Bcells_intratumor_cellfrequency","Bcells_stromal_cellfrequency","Bcells_tumorfront_cellfrequency","CD4.T.cells.memory_intratumor_cellfrequency","CD4.T.cells.memory_stromal_cellfrequency","CD4.T.cells.memory_tumorfront_cellfrequency","CD4.T.cells.naive_intratumor_cellfrequency","CD4.T.cells.naive_stromal_cellfrequency","CD4.T.cells.naive_tumorfront_cellfrequency","CD4.T.cells.regulatory_intratumor_cellfrequency","CD4.T.cells.regulatory_stromal_cellfrequency","CD4.T.cells.regulatory_tumorfront_cellfrequency","CD8.T.cells.memory_intratumor_cellfrequency","CD8.T.cells.memory_stromal_cellfrequency","CD8.T.cells.memory_tumorfront_cellfrequency","CD8.T.cells.naive_intratumor_cellfrequency","CD8.T.cells.naive_stromal_cellfrequency","CD8.T.cells.naive_tumorfront_cellfrequency","DCs_intratumor_cellfrequency","DCs_stromal_cellfrequency","DCs_tumorfront_cellfrequency","Fibroblasts_intratumor_cellfrequency","Fibroblasts_stromal_cellfrequency","Fibroblasts_tumorfront_cellfrequency","Granulocytes_intratumor_cellfrequency","Granulocytes_stromal_cellfrequency","Granulocytes_tumorfront_cellfrequency","M1.macrophages_intratumor_cellfrequency","M1.macrophages_stromal_cellfrequency","M1.macrophages_tumorfront_cellfrequency","M2.macrophages_intratumor_cellfrequency","M2.macrophages_stromal_cellfrequency","M2.macrophages_tumorfront_cellfrequency","Monocytes_intratumor_cellfrequency","Monocytes_stromal_cellfrequency","Monocytes_tumorfront_cellfrequency","Tumor.non.proliferating_intratumor_cellfrequency","Tumor.non.proliferating_stromal_cellfrequency","Tumor.non.proliferating_tumorfront_cellfrequency","Tumor.proliferating_intratumor_cellfrequency","Tumor.proliferating_stromal_cellfrequency","Tumor.proliferating_tumorfront_cellfrequency","Vessel_intratumor_cellfrequency","Vessel_stromal_cellfrequency","Vessel_tumorfront_cellfrequency"
"OC01_001",0,25.6947210195665,5.64962175782331,0,12.8473605097833,0,0,25.6947210195665,0,0,0,0,5.97646468208196,96.3552038233745,45.1969740625865,0,64.2368025489163,28.2481087891166,0,0,0,0,719.452188547863,293.780331406812,5.97646468208196,51.3894420391331,56.4962175782331,11.9529293641639,0,5.64962175782331,17.9293940462459,44.9657617842414,33.8977305469399,0,0,0,3053.97345254388,1207.65188791963,4039.47955684367,17.9293940462459,19.2710407646749,79.0947046095264,0,552.43650192068,378.524657774162
"OC01_002",0,295.064655395542,23.6649982842876,0,15.5297187050285,17.7487487132157,0,10.3531458033523,11.8324991421438,0,0,0,7.25710470550669,227.769207673752,106.492492279294,0,155.297187050285,41.4137469975033,0,0,11.8324991421438,0,1656.50332853638,633.038704104694,0,5.17657290167617,17.7487487132157,0,5.17657290167617,17.7487487132157,7.25710470550669,41.4125832134094,41.4137469975033,0,0,0,2685.12874103748,559.069873381027,3555.66599221422,21.7713141165201,10.3531458033523,65.078745281791,0,1527.08900599447,674.452451102197
"OC01_003",0,276.181174850702,30.9490207729827,0,8.00525144494789,0,0,36.0236315022655,6.18980415459655,0,0,0,11.2856626941134,168.110280343906,154.745103864914,0,320.210057797915,198.07373294709,11.2856626941134,0,0,0,960.630173393746,284.730991111441,11.2856626941134,32.0210057797915,30.9490207729827,11.2856626941134,16.0105028898958,18.5694124637896,45.1426507764536,28.0183800573176,55.7082373913689,0,0,0,4040.2672444926,24.0157543348437,2989.67540667013,22.5713253882268,0,18.5694124637896,0,412.270449414816,767.535715169972
"OC02_001",0,186.612424655234,59.7496489708123,0,97.9715229439976,298.748244854061,0,111.96745479314,179.248946912437,0,9.33062123276168,29.8748244854061,660.833707805768,226.267564894471,627.371314193529,396.500224683461,226.267564894471,537.746840737311,237.900134810076,6.99796592457126,149.374122427031,0,716.125179614459,358.497893824874,0,11.6632765409521,0,105.733393248923,67.6470039375222,149.374122427031,793.000449366921,107.302144176759,716.995787649748,132.166741561154,9.33062123276168,119.499297941625,7004.83730274114,18.6612424655234,2300.36148537627,79.3000449366921,0,29.8748244854061,0,711.459868998078,687.120963164341
"OC02_002",0,7.03370905062512,0,8.58435415611507,3.51685452531256,30.2529143640837,8.58435415611507,112.539344810002,181.517486184502,0,3.51685452531256,0,120.180958185611,42.2022543037507,221.854705336614,171.687083122301,246.179816771879,433.6251058852,42.9217707805753,0,30.2529143640837,0,868.663067752202,726.06994473801,0,7.03370905062512,0,42.9217707805753,52.7528178796884,90.7587430922512,549.398665991364,28.1348362025005,504.215239401396,257.530624683452,3.51685452531256,80.6744383042233,8970.65009314024,10.5505635759377,3953.04747690694,120.180958185611,0,80.6744383042233,0,618.966396455011,927.756040498568
"OC03_001",0,54.4367102239242,131.16044201069,0,137.275182303809,541.036823294094,0,21.3013213919703,49.1851657540086,0,26.0349483679638,65.5802210053448,1212.34163787355,215.3800274077,1311.6044201069,242.468327574711,21.3013213919703,81.975276256681,60.6170818936776,4.73362697599341,49.1851657540086,0,2537.22405913247,1360.7895858609,0,4.73362697599341,32.7901105026724,363.702491362066,26.0349483679638,377.086270780733,727.404982724132,23.6681348799671,573.826933796767,303.085409468388,2.36681348799671,163.950552513362,6304.17651694247,11.8340674399835,3656.09732104797,181.851245681033,0,49.1851657540086,60.6170818936776,1760.90923506955,1393.57969636358
"OC03_002",0,20.6817288743526,88.2167611846251,12.1673744022777,129.999438638788,541.902961562697,0,32.4998596596969,113.421550094518,0,20.6817288743526,50.4095778197858,876.050956963997,194.999157958182,2142.40705734089,48.6694976091109,41.3634577487052,226.843100189036,12.1673744022777,0,37.8071833648393,0,2585.21610929407,1184.62507876497,0,8.86359808900825,12.6023944549464,48.6694976091109,29.5453269633608,226.843100189036,352.853857666054,32.4998596596969,693.131695022054,24.3347488045555,0,50.4095778197858,4757.44339129059,2.95453269633608,4436.04284814115,36.5021232068332,0,100.819155639572,0,1944.08251418914,1638.31127914304
"OC03_003",0,177.846906970996,0,0,42.2009609761685,0,0,3.01435435544061,0,0,6.02870871088122,0,73.9480884419138,129.617237283946,25.8513161551337,0,3.01435435544061,0,0,3.01435435544061,12.9256580775669,0,2146.22030107371,1130.9950817871,73.9480884419138,69.330150175134,6.46282903878344,73.9480884419138,27.1291891989655,25.8513161551337,295.792353767655,51.2440240424903,25.8513161551337,0,3.01435435544061,0,8504.03017082008,72.3445045305746,2585.13161551337,0,0,19.3884871163503,0,1633.78006064881,1066.36679139927
"OC04_001",0,217.731459612659,21.6119643834827,0,483.437647614549,93.6518456617584,0,140.233821445442,0,0,92.2590930562116,36.0199406391378,221.699995566,778.666745394426,533.09512145924,11.0849997783,92.2590930562116,36.0199406391378,11.0849997783,0,14.4079762556551,11.0849997783,3018.71752479924,878.886551594963,11.0849997783,114.401275389702,43.2239287669654,199.5299960094,498.199102503543,352.995418263551,199.5299960094,214.041095890411,367.403394519206,44.3399991132,29.5229097779877,136.875774428724,4589.1899082162,11.0710911667454,3270.61061003371,310.3799937924,0,324.17946575224,0,1867.32404345772,950.926432873239
"OC04_002",0,8.89331578385685,0,5.34616412723871,8.89331578385685,4.98738192373296,0,8.89331578385685,0,0,8.89331578385685,0,32.0769847634322,17.7866315677137,19.9495276949318,0,0,0,0,0,0,0,2143.2891039095,1266.79500862817,203.154236835071,8.89331578385685,234.406950415449,69.5001336541032,0,119.697166169591,69.5001336541032,0,54.8612011610625,10.6923282544774,0,0,5458.43357391072,168.97299989328,3261.74777812135,245.92354985298,17.7866315677137,274.306005805313,16.0384923817161,2098.82252499022,817.930635492205
