,Statistic,p-value ttest,p-value mannwhitneyu
M1.macrophages_intratumor_cellfrequency,326,0.130046228,0.000582573
Tumor.non.proliferating_intratumor_cellfrequency,344,0.00060047,0.001238019
Granulocytes_stromal_cellfrequency,365,0.030042822,0.002596528
Vessel_tumorfront_cellfrequency,381,0.00140258,0.005072526
Vessel_stromal_cellfrequency,392,0.006820596,0.007466846
Tumor.proliferating_intratumor_cellfrequency,400.5,0.022732335,0.009964285
DCs_stromal_cellfrequency,417.5,0.018408552,0.012504794
CD4.T.cells.memory_intratumor_cellfrequency,779,0.082218469,0.029327897
Fibroblasts_intratumor_cellfrequency,526,0.068227892,0.02939999
Granulocytes_intratumor_cellfrequency,454.5,0.01542122,0.038463305
M2.macrophages_intratumor_cellfrequency,458,0.194541593,0.055783854
M1.macrophages_tumorfront_cellfrequency,461,0.931776353,0.060387422
Monocytes_stromal_cellfrequency,476.5,0.165818486,0.071792649
M1.macrophages_stromal_cellfrequency,471,0.173280922,0.077874062
Vessel_intratumor_cellfrequency,490.5,0.018409124,0.094865294
CD8.T.cells.memory_tumorfront_cellfrequency,765,0.04657014,0.104446831
Fibroblasts_tumorfront_cellfrequency,493,0.091913255,0.131531198
CD8.T.cells.memory_stromal_cellfrequency,751.5,0.972763987,0.142197532
M2.macrophages_stromal_cellfrequency,508.5,0.531493385,0.183821363
DCs_intratumor_cellfrequency,514,0.033323577,0.18431307
DCs_tumorfront_cellfrequency,515,0.017316283,0.203055233
Tumor.non.proliferating_stromal_cellfrequency,728,0.050625771,0.231198447
Granulocytes_tumorfront_cellfrequency,522,0.066714564,0.234674528
CD4.T.cells.regulatory_tumorfront_cellfrequency,723.5,0.176230371,0.249877219
Tumor.proliferating_tumorfront_cellfrequency,530.5,0.32837818,0.282490863
Tumor.proliferating_stromal_cellfrequency,550,0.497251688,0.299905621
Bcells_tumorfront_cellfrequency,542.5,0.264091123,0.339757061
CD4.T.cells.naive_tumorfront_cellfrequency,543.5,0.042463086,0.354069321
Bcells_intratumor_cellfrequency,672,0.575286458,0.364136372
Tumor.non.proliferating_tumorfront_cellfrequency,547,0.38684427,0.376667367
CD8.T.cells.naive_tumorfront_cellfrequency,700,0.506591949,0.382278045
CD8.T.cells.memory_intratumor_cellfrequency,697,0.175513084,0.401653069
M2.macrophages_tumorfront_cellfrequency,552.5,0.696986448,0.411895324
CD8.T.cells.naive_intratumor_cellfrequency,694,0.374059262,0.413845543
Monocytes_intratumor_cellfrequency,560,0.774676924,0.455304958
CD4.T.cells.memory_stromal_cellfrequency,689,0.846401379,0.456027898
CD4.T.cells.naive_intratumor_cellfrequency,597.5,0.862980595,0.498179397
CD4.T.cells.regulatory_intratumor_cellfrequency,652,0.273965295,0.510053171
Monocytes_tumorfront_cellfrequency,570.5,0.235077263,0.534084626
CD4.T.cells.memory_tumorfront_cellfrequency,677.5,0.199123796,0.539933703
Fibroblasts_stromal_cellfrequency,578,0.393726378,0.599020531
Bcells_stromal_cellfrequency,581,0.105589343,0.623224904
CD4.T.cells.regulatory_stromal_cellfrequency,651.5,0.322698431,0.754697513
CD8.T.cells.naive_stromal_cellfrequency,648,0.787835437,0.78594415
CD4.T.cells.naive_stromal_cellfrequency,626,0.760150798,0.986169394
