,Statistic,p-value ttest,p-value mannwhitneyu
Bcells_stromal_aggregatedNeighbors.Bcells,527.5,0.21017140826881464,0.2633391052167987
Bcells_stromal_aggregatedNeighbors.CD4.T.cells.memory,587.0,0.58560772521918,0.6701855808318843
Bcells_stromal_aggregatedNeighbors.CD4.T.cells.naive,504.5,0.36551222040097797,0.1584775854627375
Bcells_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,482.5,0.20076093492902614,0.0901567971427858
Bcells_stromal_aggregatedNeighbors.CD8.T.cells.memory,655.5,0.7028576549485871,0.7186176648327238
Bcells_stromal_aggregatedNeighbors.CD8.T.cells.naive,605.0,0.5501212745613175,0.8288200503156525
Bcells_stromal_aggregatedNeighbors.Fibroblasts,688.5,0.28877439475205624,0.4592110978234568
Bcells_stromal_aggregatedNeighbors.Granulocytes,412.0,0.014195641131921583,0.003723091699872929
Bcells_stromal_aggregatedNeighbors.M1.macrophages,479.0,0.34290191353051824,0.0877267659628341
Bcells_stromal_aggregatedNeighbors.M2.macrophages,457.5,0.29992355979503665,0.04915998451742881
Bcells_stromal_aggregatedNeighbors.Tumor.non.proliferating,778.0,0.07445231958185584,0.035271802922912925
Bcells_stromal_aggregatedNeighbors.Vessel,379.5,0.022137892326515723,0.004646545534401653
Bcells_tumorfront_aggregatedNeighbors.Bcells,526.0,0.2958752014412413,0.20572694336519382
Bcells_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,539.0,0.13619692831927424,0.24010494826004625
Bcells_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,513.5,0.4234604801967078,0.07488895369659761
Bcells_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,601.5,0.7819971267644246,0.7143905643721848
Bcells_tumorfront_aggregatedNeighbors.CD8.T.cells.memory,596.5,0.5246130127643662,0.7345205819913423
Bcells_tumorfront_aggregatedNeighbors.CD8.T.cells.naive,536.5,0.21068180256521168,0.22642790044902583
Bcells_tumorfront_aggregatedNeighbors.DCs,541.0,0.051902661543044515,0.04812480456775883
Bcells_tumorfront_aggregatedNeighbors.Fibroblasts,543.0,0.7287573117822166,0.27559665040437475
Bcells_tumorfront_aggregatedNeighbors.Granulocytes,544.0,0.21367325811458962,0.05685803941057765
Bcells_tumorfront_aggregatedNeighbors.M1.macrophages,484.0,0.060881571514331066,0.06180672781873397
Bcells_tumorfront_aggregatedNeighbors.M2.macrophages,563.5,0.8931102165008747,0.4317539260039127
Bcells_tumorfront_aggregatedNeighbors.Monocytes,592.5,0.6448204948266463,0.5354333814620301
Bcells_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,665.0,0.4706523859972399,0.615755618079593
Bcells_tumorfront_aggregatedNeighbors.Tumor.proliferating,540.0,0.19508436408019775,0.07881159575336241
Bcells_tumorfront_aggregatedNeighbors.Vessel,471.0,0.017718256310073857,0.06167555569493759
CD4.T.cells.memory_stromal_aggregatedNeighbors.Bcells,508.0,0.25478494279072517,0.17838770273842597
CD4.T.cells.memory_stromal_aggregatedNeighbors.CD4.T.cells.memory,650.0,0.8602715161915897,0.7656811568899131
CD4.T.cells.memory_stromal_aggregatedNeighbors.CD4.T.cells.naive,610.0,0.7624867674566154,0.8750133007841321
CD4.T.cells.memory_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,686.5,0.3815965299381734,0.46698473578340116
CD4.T.cells.memory_stromal_aggregatedNeighbors.CD8.T.cells.memory,744.0,0.11401817055310519,0.16566074903503158
CD4.T.cells.memory_stromal_aggregatedNeighbors.CD8.T.cells.naive,628.5,0.8570447954102384,0.9626451827395569
CD4.T.cells.memory_stromal_aggregatedNeighbors.Fibroblasts,641.0,0.5134153439406868,0.8487301075534289
CD4.T.cells.memory_stromal_aggregatedNeighbors.Granulocytes,444.5,0.005071567506388753,0.015342019113089017
CD4.T.cells.memory_stromal_aggregatedNeighbors.M1.macrophages,418.5,0.020482050926915678,0.015416486768301688
CD4.T.cells.memory_stromal_aggregatedNeighbors.M2.macrophages,500.0,0.4565874110309226,0.14551643630421207
CD4.T.cells.memory_stromal_aggregatedNeighbors.Tumor.non.proliferating,778.5,0.06566919658912518,0.034677317697759294
CD4.T.cells.memory_stromal_aggregatedNeighbors.Vessel,443.0,0.10276300830901886,0.036885968603377325
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.Bcells,529.0,0.2123560516370759,0.19495824792732952
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,699.5,0.2322823371051124,0.3608096209620836
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,553.5,0.1557444002400103,0.3720324409681399
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,724.0,0.06011523529907168,0.208080811506703
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.CD8.T.cells.memory,744.5,0.07310298290942911,0.15725521613172838
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.CD8.T.cells.naive,638.0,0.9100037107432473,0.867925387270059
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.DCs,498.5,0.014366407582863613,0.03221589343489518
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.Fibroblasts,522.0,0.1287096800739795,0.2346302241312711
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.Granulocytes,529.0,0.029800546285628414,0.12597601863231683
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.M1.macrophages,514.5,0.4388473094752703,0.19190358856978684
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.M2.macrophages,658.0,0.4884821031876341,0.6894640196355535
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.Monocytes,713.0,0.10997266357983479,0.11721512149407964
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,727.5,0.09106346884413753,0.23008317453280547
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.Tumor.proliferating,688.5,0.6442477438929324,0.3800691448409843
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.Vessel,387.5,0.003860492853894566,0.0059631816560580635
CD4.T.cells.naive_stromal_aggregatedNeighbors.Bcells,474.0,0.04320641855204791,0.07878853882117541
CD4.T.cells.naive_stromal_aggregatedNeighbors.CD4.T.cells.memory,554.0,0.3989684891057639,0.41484792785612346
CD4.T.cells.naive_stromal_aggregatedNeighbors.CD4.T.cells.naive,579.5,0.6775256830469222,0.604052374312437
CD4.T.cells.naive_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,670.5,0.40860956896891776,0.5770215406632667
CD4.T.cells.naive_stromal_aggregatedNeighbors.CD8.T.cells.memory,653.5,0.7615627796160641,0.7346566943855892
CD4.T.cells.naive_stromal_aggregatedNeighbors.CD8.T.cells.naive,664.5,0.6664517233909995,0.6406827764345282
CD4.T.cells.naive_stromal_aggregatedNeighbors.Fibroblasts,601.0,0.47510899466175205,0.7946445150878287
CD4.T.cells.naive_stromal_aggregatedNeighbors.Granulocytes,530.0,0.04898748827313982,0.18045311270252196
CD4.T.cells.naive_stromal_aggregatedNeighbors.M1.macrophages,533.0,0.20085199725226674,0.2883569954442714
CD4.T.cells.naive_stromal_aggregatedNeighbors.M2.macrophages,562.5,0.814345674859977,0.46684773345525277
CD4.T.cells.naive_stromal_aggregatedNeighbors.Tumor.non.proliferating,719.0,0.04073774562747302,0.15303134042168504
CD4.T.cells.naive_stromal_aggregatedNeighbors.Vessel,447.0,0.06288402051417931,0.04122730323230942
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.Bcells,547.5,0.4005689304352261,0.2504643198531691
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,659.0,0.22090010019203005,0.6741947510046715
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,614.5,0.6349663120298553,0.9070242212547523
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,661.0,0.5874256987114581,0.6166258797825022
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.CD8.T.cells.memory,655.5,0.2890789128713823,0.7024808799086268
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.CD8.T.cells.naive,580.5,0.749629224978952,0.5891399961803249
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.DCs,484.0,0.014502869850509609,0.0052903741327353275
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.Fibroblasts,471.5,0.4736151387733655,0.05961206370037683
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.Granulocytes,466.5,0.045189748447838476,0.0027030503403587766
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.M1.macrophages,550.5,0.3809281415859809,0.36561919419744326
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.M2.macrophages,570.0,0.810211062146439,0.5122574352447701
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.Monocytes,577.5,0.4218880408173228,0.43060690120201883
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,608.5,0.3605352517427751,0.8592493715854443
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.Tumor.proliferating,671.0,0.9460125722591608,0.4626139549008399
CD4.T.cells.naive_tumorfront_aggregatedNeighbors.Vessel,534.0,0.15331049943165756,0.28868810475064743
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.Bcells,427.5,0.0248643034322312,0.017485897423999842
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.CD4.T.cells.memory,622.0,0.9573739837635915,0.9859284480564536
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.CD4.T.cells.naive,686.0,0.47635809262577167,0.45982916886485325
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,657.0,0.4491815792569753,0.6889300323352587
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.CD8.T.cells.memory,658.5,0.5553746147868694,0.6893169666280139
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.CD8.T.cells.naive,601.0,0.8130503301850613,0.785000891008981
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.Fibroblasts,615.0,0.9077352174710367,0.9211886437238967
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.Granulocytes,590.0,0.34105662185298236,0.6414286516062673
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.M1.macrophages,520.5,0.34237652028600307,0.20711501040597635
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.M2.macrophages,652.0,0.3418012997870825,0.7332747862925182
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.Tumor.non.proliferating,639.0,0.2576533567663768,0.8297375215601207
CD4.T.cells.regulatory_stromal_aggregatedNeighbors.Vessel,501.0,0.13894545465950442,0.15147478948638915
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Bcells,599.5,0.5411074117497592,0.6709586572914916
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,693.0,0.2701378853569197,0.3929049160997282
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,566.5,0.14207706900945452,0.428128358132132
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,760.5,0.0449278491478574,0.06548739072671497
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.CD8.T.cells.memory,822.5,0.03227814427014899,0.01634846559442687
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.CD8.T.cells.naive,640.0,0.9134471950111239,0.8181890679480186
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.DCs,603.0,0.09317450131028807,0.6660958739791532
CD4.T.cells.regulatory_tumorfront_aggregatedNeighbors.Fibroblasts,622.5,0.5158516031107481,0.9904830187081666
