,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu
Tumor non-proliferating_intratumor_pp38,97.0,-0.026528608157807748,0.36608626155199,0.15721275334000387
Tumor non-proliferating_intratumor_pSTAT1,82.0,-0.01773678864132089,0.2878627155076271,0.5833604667027033
Tumor non-proliferating_intratumor_pSTAT3,102.0,-0.0283537410174102,0.11424540475731387,0.08853377201422956
Tumor non-proliferating_intratumor_CD36,55.0,-0.06385995466915856,0.5048317658558732,0.3407786135629546
Tumor non-proliferating_intratumor_E-Cadherin,92.0,-0.10801829207755786,0.2794954877285041,0.2602362026171888
Tumor non-proliferating_intratumor_VEGF,114.0,-0.1447261022060985,0.015477503085885113,0.01657492674985327
Tumor non-proliferating_intratumor_pCREB,106.0,-0.3658979242746355,0.08464912950803255,0.053097957285583426
Tumor non-proliferating_intratumor_pNFkB,86.0,-0.012153486469426156,0.9624207715953426,0.43573066003173655
Tumor non-proliferating_intratumor_GranzymeB,93.0,-0.013558208204246969,0.8692970754837062,0.23658409332187613
Tumor non-proliferating_intratumor_Ki67,81.0,-0.0037410847073049425,0.8481617988073495,0.623604884395689
Tumor non-proliferating_intratumor_CD44,46.0,0.2580278578411063,0.08522452675816061,0.14095521914437145
Tumor non-proliferating_intratumor_pERK,88.0,-0.018934420925631232,0.47031449311486084,0.3708443333042212
Tumor non-proliferating_intratumor_pMAPKAPK2,84.0,0.04690587460527518,0.7256917928765974,0.5067205148778584
Tumor non-proliferating_intratumor_pS6,83.0,-0.2362263244898326,0.47280846916365504,0.5443701458566098
Tumor non-proliferating_stromal_pp38,74.0,-0.013455542794461622,0.7424935737461656,0.9309724764303514
Tumor non-proliferating_stromal_pSTAT1,70.0,0.012634807758633543,0.7060726461513589,0.9309724764303514
Tumor non-proliferating_stromal_pSTAT3,58.0,0.04025472214544287,0.31676787537509205,0.4356308552430793
Tumor non-proliferating_stromal_CD36,80.0,-0.0817990957486189,0.3733126790505451,0.6649371351012803
Tumor non-proliferating_stromal_E-Cadherin,32.0,0.19160825769893505,0.023208209573317286,0.022546701705184743
Tumor non-proliferating_stromal_VEGF,64.0,0.014891612382694819,0.8053009750171661,0.6649371351012803
Tumor non-proliferating_stromal_pCREB,74.0,-0.04396275406165673,0.8618964652190249,0.9309724764303514
Tumor non-proliferating_stromal_pNFkB,81.0,-0.0028374034797198355,0.9795631280929822,0.6235293969887796
Tumor non-proliferating_stromal_GranzymeB,85.0,0.004286908080327612,0.9402923212506331,0.4703899167634569
Tumor non-proliferating_stromal_Ki67,56.0,0.018352914205331902,0.5604830304196964,0.3704279148024535
Tumor non-proliferating_stromal_CD44,60.0,0.12399581388509007,0.358452809268375,0.5066281058229414
Tumor non-proliferating_stromal_pERK,50.0,0.07077920893910461,0.09813255392774807,0.21409495934893352
Tumor non-proliferating_stromal_pMAPKAPK2,73.0,0.003346568427536223,0.9738495681859209,0.9769652486140441
Tumor non-proliferating_stromal_pS6,64.0,0.20804747101087062,0.5638117070497024,0.6649371351012803
Tumor non-proliferating_tumorfront_pp38,91.0,-0.01789680783673353,0.4794124237515982,0.28547630885188247
Tumor non-proliferating_tumorfront_pSTAT1,84.0,-0.015876609802136177,0.3478365408463395,0.5067205148778584
Tumor non-proliferating_tumorfront_pSTAT3,93.0,-0.019637323250134592,0.23212422423051887,0.23658409332187613
Tumor non-proliferating_tumorfront_CD36,64.0,-0.033023400515559964,0.4637917853757453,0.6650055421020291
Tumor non-proliferating_tumorfront_E-Cadherin,94.0,-0.12557691163134754,0.21920329555634965,0.21449380778351745
Tumor non-proliferating_tumorfront_VEGF,107.0,-0.11048672721865604,0.04423319108559041,0.046386593281398644
Tumor non-proliferating_tumorfront_pCREB,105.0,-0.3193695388789378,0.15882490979342465,0.06060196971200614
Tumor non-proliferating_tumorfront_pNFkB,93.0,-0.15925201868229755,0.15042046343337193,0.23658409332187613
Tumor non-proliferating_tumorfront_GranzymeB,110.0,-0.08606222357658888,0.012467484191676132,0.0303828219765775
Tumor non-proliferating_tumorfront_Ki67,111.0,-0.03541068316538187,0.019882680516172403,0.02622938783485702
Tumor non-proliferating_tumorfront_CD44,45.0,0.2100065315592119,0.15987556662556202,0.12602212177037309
Tumor non-proliferating_tumorfront_pERK,83.0,-0.0018048309223182984,0.9422737836053562,0.5443701458566098
Tumor non-proliferating_tumorfront_pMAPKAPK2,87.0,0.01980435548316417,0.8808504975465554,0.40250382378200356
Tumor non-proliferating_tumorfront_pS6,87.0,-0.22844491871184136,0.41709559033610943,0.40250382378200356
Tumor proliferating_intratumor_pp38,100.0,-0.02938813838133497,0.40444019080315496,0.11235119769046395
Tumor proliferating_intratumor_pSTAT1,82.0,-0.013122465255231114,0.45776742166714113,0.5833604667027033
Tumor proliferating_intratumor_pSTAT3,86.0,-0.016139939260796876,0.3805811050625505,0.43573066003173655
Tumor proliferating_intratumor_CD36,70.0,-0.055568368667052864,0.3818240271581895,0.9309874465595671
Tumor proliferating_intratumor_E-Cadherin,102.0,-0.17159515505100398,0.13504127606834931,0.08853377201422956
Tumor proliferating_intratumor_VEGF,117.0,-0.1328594378840292,0.005656140866565772,0.010193104991108252
Tumor proliferating_intratumor_pCREB,107.0,-0.408502682527881,0.10601320422189847,0.046386593281398644
Tumor proliferating_intratumor_pNFkB,99.0,-0.12312188841352145,0.11137085454578748,0.12602212177037309
Tumor proliferating_intratumor_GranzymeB,85.0,0.1386330495958621,0.5762858709594577,0.47048642205878966
Tumor proliferating_intratumor_Ki67,110.0,-0.18366315896872443,0.013297761006705737,0.0303828219765775
Tumor proliferating_intratumor_CD44,60.0,0.1300332390693385,0.4886066159452571,0.5067205148778584
Tumor proliferating_intratumor_pERK,88.0,-0.017748532366264266,0.5218200954382404,0.3708443333042212
Tumor proliferating_intratumor_pMAPKAPK2,92.0,0.011448111026556296,0.9459543890294966,0.2602362026171888
Tumor proliferating_intratumor_pS6,84.0,-0.2345023266538797,0.49358985486753026,0.5067205148778584
Tumor proliferating_tumorfront_pp38,90.0,-0.013047107253718382,0.6124507287486776,0.3123214216762161
Tumor proliferating_tumorfront_pSTAT1,92.0,-0.01989358335299299,0.24593977764221106,0.2602362026171888
Tumor proliferating_tumorfront_pSTAT3,85.0,-0.017298885909660083,0.3252366016769004,0.47048642205878966
Tumor proliferating_tumorfront_CD36,72.0,-0.015109768648700755,0.539414627766931,1.0
Tumor proliferating_tumorfront_E-Cadherin,95.0,-0.12343044845151013,0.24369784650054915,0.1939308522824107
