,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu
Tumor non-proliferating_intratumor_area,72.0,-1.6245287105178647,0.8411211297332117,1.0
Tumor non-proliferating_stromal_area,29.5,27.679006271559132,0.007324763701169126,0.015269378751596313
Tumor non-proliferating_tumorfront_area,50.0,7.213936555869537,0.10300601170699687,0.21449380778351745
Tumor proliferating_intratumor_area,45.0,13.732838675749761,0.0944708232357112,0.12602212177037309
Tumor proliferating_tumorfront_area,59.0,6.531629865501117,0.30480737867665175,0.47048642205878966
Vessel_intratumor_area,84.0,-7.787373737373727,0.5812208709367925,0.5014650543134418
Vessel_stromal_area,66.0,2.513165170750419,0.4884076734170866,0.7508318840891169
Vessel_tumorfront_area,85.0,1.5327696785500606,0.6557799361082741,0.47048642205878966
Fibroblasts_stromal_area,68.0,1.0387833302617295,0.795102807833685,0.8398599725400034
Fibroblasts_tumorfront_area,75.0,1.9672111549711673,0.5910204220661084,0.8852339144732017
CD4 T cells naive_stromal_area,114.0,-7.141964085174067,0.0241458897244354,0.01657492674985327
CD4 T cells naive_tumorfront_area,94.0,-4.173160012388799,0.24936070986982753,0.21449380778351745
CD4 T cells memory_stromal_area,99.0,-4.6874670493526125,0.1276740223979975,0.12602212177037309
CD4 T cells memory_tumorfront_area,94.0,-3.7361292949171627,0.29351204255627944,0.21449380778351745
CD4 T cells regulatory_stromal_area,72.0,1.438169728613424,0.714611366275701,1.0
CD4 T cells regulatory_tumorfront_area,80.0,-1.5790140764131877,0.8116347948338654,0.6650055421020291
B cells_stromal_area,99.0,-7.59499089640088,0.1283015538337114,0.12602212177037309
B cells_tumorfront_area,93.0,-7.930982758044948,0.27915017133135545,0.23658409332187613
CD8 T cells_intratumor_area,88.0,-19.4158027903461,0.09342973058507974,0.3704279148024535
CD8 T cells_stromal_area,85.0,-1.388100114775078,0.6400163634930347,0.47048642205878966
CD8 T cells_tumorfront_area,91.0,-5.041763340983039,0.465601110932801,0.28547630885188247
Myeloid M1 macrophages_stromal_area,84.0,-1.7715242683385881,0.5374500134025231,0.5067205148778584
Myeloid M1 macrophages_tumorfront_area,72.0,-0.6145571516916633,0.8450768127885668,1.0
Myeloid M2 macrophages_stromal_area,96.0,-3.7379432210408723,0.1295268960043191,0.1748533068932927
Myeloid M2 macrophages_tumorfront_area,88.0,-3.6688333121101593,0.31178677659354626,0.3708443333042212
Myeloid Granulocytes_stromal_area,63.0,1.3974288836462918,0.7071585854690392,0.623604884395689
Myeloid Granulocytes_tumorfront_area,67.0,1.351790226012639,0.7271241092786207,0.7950121719642381
Myeloid DCs_stromal_area,54.0,5.350027920224655,0.3426747119941098,0.3123214216762161
Myeloid DCs_tumorfront_area,54.0,5.714769498279821,0.23905934159359774,0.3123214216762161
Myeloid Monocytes_stromal_area,56.0,3.456361156123549,0.3321188767571507,0.3708443333042212
Myeloid Monocytes_tumorfront_area,70.0,-1.2998104931117211,0.7012438782594532,0.9309874465595671
Tumor non-proliferating_intratumor_eccentricity,76.0,-0.00273237657140879,0.7320778958154963,0.8398599725400034
Tumor non-proliferating_stromal_eccentricity,44.0,0.16529514387206057,0.04424285038251766,0.11227310958276064
Tumor non-proliferating_tumorfront_eccentricity,87.0,-0.006163747649717388,0.38160713562166027,0.40250382378200356
