,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,125,-0.016919925,0.000300409,0.002436735,0.023353054
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,124,-0.030799365,0.000357442,0.002945646,0.023353054
Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.memory,128,-0.03834877,0.000282283,0.001353941,0.023353054
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,125,-0.090198355,0.000429059,0.00243142,0.023353054
CD8 T cells_intratumor_aggregatedNeighbors.CD8.T.cells,134.5,-0.122738898,0.000399163,0.000333017,0.023353054
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,7,0.136699406,0.000265879,0.000196161,0.023353054
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,135,-0.038869314,0.000208804,0.000308045,0.023353054
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,127.5,-0.015656864,0.000574349,0.001478434,0.027353357
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.memory,123,-0.027188315,0.001238248,0.003549839,0.040707983
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,123,-0.03630481,0.001495831,0.003549839,0.040707983
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,127.5,-0.082096716,0.001491565,0.001481969,0.040707983
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,123,-0.050567016,0.001468925,0.003288936,0.040707983
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD8.T.cells,125,-0.080618903,0.000962497,0.00215009,0.040707983
Myeloid M2 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.memory,129,-0.056795845,0.001430993,0.001106178,0.040707983
CD4 T cells memory_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,14,0.08232869,0.001854227,0.000900936,0.045718742
B cells_stromal_aggregatedNeighbors.CD4.T.cells.memory,124,-0.065003905,0.001919947,0.002939446,0.045718742
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,113,-0.014123786,0.002359895,0.019373319,0.047322096
CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.memory,122,-0.07526164,0.002313468,0.004264765,0.047322096
CD8 T cells_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,126,-0.042787456,0.002131248,0.002004966,0.047322096
Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,115,-0.010191556,0.003228665,0.014117006,0.050371928
Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,122,-0.020473968,0.002650005,0.004264765,0.050371928
