,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
Tumor non-proliferating_intratumor_pp38,77.0,0.0012736309952789265,0.9529641696233913,0.7720589697507347,0.9998339170602057
Tumor non-proliferating_intratumor_pSTAT1,91.0,-0.01508523140664484,0.21207879211300373,0.2709861613045861,0.9998339170602057
Tumor non-proliferating_intratumor_pSTAT3,63.0,0.003468045124588051,0.7311177272872299,0.643011484398551,0.9998339170602057
Tumor non-proliferating_intratumor_CD36,98.0,-0.030672889797327435,0.30585806368892093,0.1319772989886403,0.9998339170602057
Tumor non-proliferating_intratumor_E-Cadherin,80.0,-0.05059853409181869,0.6782025242895746,0.643011484398551,0.9998339170602057
Tumor non-proliferating_intratumor_VEGF,79.0,-0.011227103192710641,0.8074201042829745,0.6850689949718154,0.9998339170602057
Tumor non-proliferating_intratumor_pCREB,65.0,0.03609850027525563,0.8426452804100858,0.728126128172033,0.9998339170602057
Tumor non-proliferating_intratumor_pNFkB,87.0,0.004334206150076569,0.9804569220540459,0.384820773523065,0.9998339170602057
Tumor non-proliferating_intratumor_GranzymeB,74.0,-0.010895510400796116,0.8069068583428289,0.9077531215721959,0.9998339170602057
Tumor non-proliferating_intratumor_Ki67,63.0,0.01842207999158048,0.2555923119455259,0.643011484398551,0.9998339170602057
Tumor non-proliferating_intratumor_CD44,71.0,-0.03313619501450615,0.7684135586918917,1.0,0.9998339170602057
Tumor non-proliferating_intratumor_pERK,61.0,0.04636886734105161,0.3371971342718625,0.562342605179145,0.9998339170602057
Tumor non-proliferating_intratumor_pMAPKAPK2,61.0,0.039427973501850455,0.5234172861876518,0.562342605179145,0.9998339170602057
Tumor non-proliferating_intratumor_pS6,77.0,-0.03648462700943034,0.8784716240809123,0.7720589697507347,0.9998339170602057
Tumor non-proliferating_stromal_pp38,48.0,0.012484052620321012,0.3600289314897773,0.1826826235708774,0.9998339170602057
Tumor non-proliferating_stromal_pSTAT1,61.0,-0.0002789935225384621,0.9699725895517517,0.562342605179145,0.9998339170602057
Tumor non-proliferating_stromal_pSTAT3,79.0,-0.010133521879314704,0.38803486461228953,0.6850689949718154,0.9998339170602057
Tumor non-proliferating_stromal_CD36,66.0,-0.012837091065044964,0.7772212674989636,0.7720589697507347,0.9998339170602057
Tumor non-proliferating_stromal_E-Cadherin,48.0,0.051406849986496334,0.22981422610942315,0.1826826235708774,0.9998339170602057
Tumor non-proliferating_stromal_VEGF,41.0,0.07117353266681538,0.07861813619013436,0.08219383292753714,0.9998339170602057
Tumor non-proliferating_stromal_pCREB,50.0,0.15122551451160227,0.31852259004101857,0.22373076260023583,0.9998339170602057
Tumor non-proliferating_stromal_pNFkB,55.0,0.03777773481958832,0.390382625145145,0.3539344599024651,0.9998339170602057
Tumor non-proliferating_stromal_GranzymeB,57.0,0.06795812098421394,0.3566071628501003,0.41730156001282215,0.9998339170602057
Tumor non-proliferating_stromal_Ki67,46.0,0.010571718424029222,0.2576695745078258,0.14750139990263272,0.9998339170602057
Tumor non-proliferating_stromal_CD44,83.0,-0.11958981964477772,0.19405656590235432,0.5239281449175213,0.9998339170602057
Tumor non-proliferating_stromal_pERK,53.0,0.008526988795030138,0.7221576385112317,0.29701414425804706,0.9998339170602057
Tumor non-proliferating_stromal_pMAPKAPK2,52.0,0.034067915749704775,0.46919787432476323,0.2709861613045861,0.9998339170602057
Tumor non-proliferating_stromal_pS6,37.0,0.3894265703155897,0.06555614726301202,0.04885641691133699,0.9998339170602057
Tumor non-proliferating_tumorfront_pp38,59.0,0.006754113772917264,0.7416249081189068,0.48690581626049245,0.9998339170602057
Tumor non-proliferating_tumorfront_pSTAT1,89.0,-0.009547206217256264,0.3094919447774728,0.32466273916196375,0.9998339170602057
Tumor non-proliferating_tumorfront_pSTAT3,54.0,0.007819876294962669,0.39889553317884374,0.32466273916196375,0.9998339170602057
Tumor non-proliferating_tumorfront_CD36,71.0,-4.753613673719181e-06,0.9998339170602057,1.0,0.9998339170602057
Tumor non-proliferating_tumorfront_E-Cadherin,75.0,-0.005566846354223165,0.9580732264217523,0.8620150697772326,0.9998339170602057
Tumor non-proliferating_tumorfront_VEGF,63.0,0.022333753851600413,0.5332365483353658,0.643011484398551,0.9998339170602057
Tumor non-proliferating_tumorfront_pCREB,59.0,0.11810954816570574,0.5245535297827374,0.48690581626049245,0.9998339170602057
Tumor non-proliferating_tumorfront_pNFkB,69.0,0.021186880411893927,0.7356981611626574,0.9077531215721959,0.9998339170602057
Tumor non-proliferating_tumorfront_GranzymeB,69.0,0.007011887674698181,0.9082075423543277,0.9077531215721959,0.9998339170602057
Tumor non-proliferating_tumorfront_Ki67,77.0,0.0005617996051294205,0.971009168039388,0.7720589697507347,0.9998339170602057
Tumor non-proliferating_tumorfront_CD44,86.0,-0.14700273568274758,0.2613175473675219,0.41730156001282215,0.9998339170602057
Tumor non-proliferating_tumorfront_pERK,45.0,0.0722207686781457,0.12183027894288934,0.1319772989886403,0.9998339170602057
Tumor non-proliferating_tumorfront_pMAPKAPK2,57.0,0.055035629110506745,0.3870418317471285,0.41730156001282215,0.9998339170602057
Tumor non-proliferating_tumorfront_pS6,72.0,0.09176587761139876,0.6043082126311102,1.0,0.9998339170602057
Tumor proliferating_intratumor_pp38,83.0,-0.001823805446450652,0.9228863877998206,0.5239281449175213,0.9998339170602057
Tumor proliferating_intratumor_pSTAT1,98.0,-0.03505232465255897,0.06831072280962977,0.1319772989886403,0.9998339170602057
Tumor proliferating_intratumor_pSTAT3,62.0,0.003684757831904799,0.7003758883178879,0.602068013998415,0.9998339170602057
Tumor proliferating_intratumor_CD36,110.0,-0.07516264792967542,0.13576935527570408,0.027694371594520262,0.9998339170602057
