,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
Tumor non-proliferating_intratumor_area,115,-17.48771618,0.006161789,0.012728682,0.182001261
CD4 T cells memory_stromal_eccentricity,116,-0.019334793,0.005751308,0.010796788,0.182001261
Myeloid Monocytes_stromal_eccentricity,116,-0.023803591,0.009107012,0.010796788,0.182001261
CD4 T cells naive_tumorfront_celldistance,24,1.087705614,0.009579014,0.00646886,0.182001261
CD4 T cells memory_stromal_area,114,-8.745522,0.01212042,0.014960455,0.18423039
Myeloid M2 macrophages_tumorfront_celldistance,25,1.767766858,0.02032287,0.007696976,0.257423021
CD4 T cells naive_stromal_area,107,-8.155495813,0.03990291,0.042582798,0.393320569
CD8 T cells_stromal_area,109,-6.765906644,0.041402165,0.032060765,0.393320569
Tumor non-proliferating_tumorfront_area,97,-7.848128511,0.154290401,0.1475014,0.496433365
Vessel_stromal_area,96,-6.769689481,0.131886477,0.164384048,0.496433365
Vessel_tumorfront_area,95,-7.266505038,0.103011785,0.182682624,0.496433365
Fibroblasts_stromal_area,104,-8.076203558,0.143546142,0.063743528,0.496433365
CD4 T cells naive_tumorfront_area,96,-7.034706731,0.118856295,0.164384048,0.496433365
B cells_stromal_area,98,-5.202997152,0.156768431,0.131977299,0.496433365
B cells_tumorfront_area,93,-11.77743173,0.120463115,0.223630072,0.496433365
Myeloid M2 macrophages_stromal_area,103,-7.179384,0.094061388,0.072489281,0.496433365
Tumor non-proliferating_intratumor_eccentricity,48,0.013893146,0.152155126,0.182682624,0.496433365
Vessel_tumorfront_eccentricity,102,-0.011036516,0.073800019,0.082193833,0.496433365
Fibroblasts_stromal_eccentricity,95,-0.010202691,0.085921126,0.182682624,0.496433365
CD4 T cells memory_tumorfront_eccentricity,90,-0.019774914,0.115708844,0.297014144,0.496433365
CD8 T cells_stromal_eccentricity,98,-0.010346676,0.153384312,0.131977299,0.496433365
Myeloid Monocytes_tumorfront_eccentricity,55,0.037941303,0.135738957,0.35393446,0.496433365
Myeloid Granulocytes_tumorfront_celldistance,32.5,3.457103218,0.058994651,0.025678342,0.496433365
Myeloid Monocytes_tumorfront_celldistance,39,1.794019865,0.08834589,0.063743528,0.496433365
Myeloid M1 macrophages_stromal_area,91,-4.964577222,0.204084689,0.270986161,0.553944157
Myeloid Monocytes_stromal_area,93,-5.710927677,0.193737963,0.223730763,0.553944157
CD4 T cells regulatory_tumorfront_celldistance,100.5,-2.458196142,0.202881844,0.097966524,0.553944157
Myeloid M1 macrophages_tumorfront_celldistance,44,1.101658727,0.189106462,0.117750245,0.553944157
Tumor non-proliferating_stromal_area,90,-6.156258379,0.250723401,0.297014144,0.584018485
Fibroblasts_tumorfront_area,92,-5.47124567,0.23270166,0.246565884,0.584018485
CD4 T cells memory_tumorfront_area,90,-4.115624252,0.269418029,0.297014144,0.584018485
CD4 T cells regulatory_stromal_area,98,-6.835179278,0.257218749,0.131977299,0.584018485
CD4 T cells regulatory_tumorfront_area,60.5,14.7992565,0.243053826,0.542086709,0.584018485
Myeloid M2 macrophages_tumorfront_area,92,-5.948799871,0.264348848,0.246565884,0.584018485
CD4 T cells naive_stromal_eccentricity,107,-0.011515163,0.238010726,0.042582798,0.584018485
Myeloid DCs_tumorfront_celldistance,53,1.831656745,0.276640335,0.296593738,0.584018485
Vessel_tumorfront_celldistance,57,0.442758438,0.286244095,0.41730156,0.587960845
Myeloid M2 macrophages_stromal_eccentricity,56,0.00960441,0.307644245,0.384820774,0.615288489
Tumor proliferating_intratumor_area,91,-9.402147879,0.336739306,0.270986161,0.625748867
CD4 T cells naive_tumorfront_eccentricity,95,-0.011925097,0.328954169,0.182682624,0.625748867
CD8 T cells_intratumor_eccentricity,71,0.054225028,0.341196607,1,0.625748867
CD8 T cells_tumorfront_celldistance,57,1.459613571,0.345808584,0.41730156,0.625748867
Tumor non-proliferating_tumorfront_celldistance,59,0.490775657,0.361678915,0.486905816,0.639246454
Myeloid DCs_stromal_area,87.5,-7.47728879,0.395882092,0.369072672,0.660948415
Myeloid DCs_tumorfront_area,88,-7.99156349,0.435627268,0.353410696,0.660948415
Myeloid Monocytes_tumorfront_area,82,-3.431146808,0.442169127,0.562342605,0.660948415
