,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,15,0.023308861,0.000115806,0.001176791,0.044122172
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,25,0.017449019,0.005645952,0.007696976,0.620505761
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,34,0.02768305,0.017914864,0.032060765,0.620505761
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,29,0.031206978,0.011643729,0.014960455,0.620505761
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,29,0.038918428,0.008185053,0.014938603,0.620505761
CD8 T cells_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,32,0.042777233,0.01736076,0.023850729,0.620505761
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,23,0.054032444,0.006310758,0.005419938,0.620505761
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,30,0.041000753,0.017306766,0.017505498,0.620505761
Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.Monocytes,25.5,0.035331913,0.006520715,0.008315518,0.620505761
Myeloid DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,35.5,0.083827135,0.01393323,0.039280797,0.620505761
Myeloid Monocytes_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,28,0.040424499,0.015489113,0.012728682,0.620505761
CD4 T cells regulatory_stromal_aggregatedNeighbors.Vessel,29.5,0.089050964,0.019591284,0.015969553,0.622023279
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.Monocytes,32,0.031781695,0.032116068,0.023820217,0.831502653
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,36.5,0.028763353,0.032736325,0.045159013,0.831502653
Myeloid Granulocytes_stromal_aggregatedNeighbors.B.cells,39,0.038656679,0.031743367,0.063167164,0.831502653
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,41.5,0.027167849,0.038079724,0.087358413,0.853433822
Myeloid Monocytes_stromal_aggregatedNeighbors.Myeloid.Monocytes,33,0.044761096,0.037390049,0.027694372,0.853433822
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Monocytes,33.5,0.092404538,0.070865101,0.027768349,0.891218156
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,39,0.006656607,0.061612444,0.063743528,0.891218156
Vessel_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,39,0.014785841,0.046965459,0.063743528,0.891218156
Vessel_stromal_aggregatedNeighbors.Myeloid.Monocytes,40,0.012092962,0.074766576,0.072489281,0.891218156
Vessel_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,39,0.012306231,0.074852968,0.063743528,0.891218156
CD4 T cells naive_tumorfront_aggregatedNeighbors.Vessel,42,0.057264873,0.069343017,0.092926222,0.891218156
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,44.5,0.021152511,0.073729985,0.124541708,0.891218156
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,43,0.020367933,0.05840204,0.10460457,0.891218156
B cells_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,42,0.030859532,0.050759258,0.092926222,0.891218156
CD8 T cells_stromal_aggregatedNeighbors.Myeloid.Monocytes,43,0.01521714,0.055791415,0.104755547,0.891218156
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.Monocytes,52,0.027202667,0.06547576,0.270986161,0.891218156
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD8.T.cells,98,-0.052330568,0.071610688,0.131809233,0.891218156
Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,37,0.054410193,0.044456841,0.048660119,0.891218156
Myeloid DCs_stromal_aggregatedNeighbors.Myeloid.Monocytes,40,0.035176313,0.042451538,0.069017495,0.891218156
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.DCs,43,0.013792073,0.06018906,0.092231492,0.891218156
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,47,0.025281111,0.085785062,0.16337374,0.945281532
Vessel_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,44,0.015116158,0.099242156,0.117750245,0.945281532
Fibroblasts_stromal_aggregatedNeighbors.B.cells,90,-0.008681129,0.098662002,0.297014144,0.945281532
CD4 T cells naive_tumorfront_aggregatedNeighbors.CD8.T.cells,98,-0.052824416,0.084439096,0.131977299,0.945281532
B cells_stromal_aggregatedNeighbors.Myeloid.Granulocytes,31,0.034868502,0.094237441,0.020205153,0.945281532
B cells_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,49,0.05624485,0.098950767,0.190461553,0.945281532
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,42,0.015323461,0.097146351,0.092215628,0.945281532
Myeloid Granulocytes_stromal_aggregatedNeighbors.Fibroblasts,91,-0.050862187,0.090410765,0.270986161,0.945281532
Vessel_stromal_aggregatedNeighbors.Tumor.non.proliferating,90,-0.008664615,0.1292046,0.297014144,0.947823315
Vessel_tumorfront_aggregatedNeighbors.Vessel,52,0.059744214,0.126212364,0.270986161,0.947823315
CD4 T cells memory_stromal_aggregatedNeighbors.Tumor.non.proliferating,95,-0.005794127,0.111999931,0.180775113,0.947823315
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.Monocytes,53,0.012019825,0.127001166,0.297014144,0.947823315
CD4 T cells memory_tumorfront_aggregatedNeighbors.CD8.T.cells,90,-0.05787212,0.113797528,0.297014144,0.947823315
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.DCs,52,0.00796994,0.12151127,0.265088269,0.947823315
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Tumor.proliferating,91,-0.026839244,0.104140253,0.20565734,0.947823315
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Vessel,37,0.074492488,0.115787359,0.048316964,0.947823315
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,49,0.05029699,0.129872672,0.202351298,0.947823315
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,46,0.046065936,0.128004261,0.147237299,0.947823315
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,50,0.059121447,0.131849438,0.223730763,0.947823315
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Vessel,44,0.066466177,0.12918144,0.117750245,0.947823315
Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,88.5,-0.034943314,0.129778434,0.338990955,0.947823315
Vessel_tumorfront_aggregatedNeighbors.CD8.T.cells,79,-0.039876458,0.137418496,0.685068995,0.969563831
Tumor non-proliferating_intratumor_aggregatedNeighbors.Tumor.proliferating,59,0.016503367,0.69599931,0.486905816,0.977884134
Tumor non-proliferating_intratumor_aggregatedNeighbors.Vessel,51,0.000562868,0.247535888,0.244504271,0.977884134
Tumor non-proliferating_intratumor_aggregatedNeighbors.CD8.T.cells,77,-0.024458732,0.275669752,0.77205897,0.977884134
