,Celldensities,Function,Metavariables,Neighborhood
Tumor non-proliferating_intratumor_cellfrequency,"{'Statistic': 1617.0, 'p-value': 7.318943352136325e-10}",,,
Tumor non-proliferating_stromal_cellfrequency,"{'Statistic': 735.0, 'p-value': 2.1874089058987646e-19}",,,
Tumor non-proliferating_tumorfront_cellfrequency,"{'Statistic': 1836.0, 'p-value': 4.9519539498023905e-08}",,,
Tumor proliferating_intratumor_cellfrequency,"{'Statistic': 1296.0, 'p-value': 6.295015191194569e-13}",,,
Tumor proliferating_stromal_cellfrequency,"{'Statistic': 594.0, 'p-value': 1.3305284215644716e-21}",,,
Tumor proliferating_tumorfront_cellfrequency,"{'Statistic': 1845.0, 'p-value': 5.827333194184222e-08}",,,
Vessel_intratumor_cellfrequency,"{'Statistic': 1347.0, 'p-value': 1.7598486480671076e-12}",,,
Vessel_stromal_cellfrequency,"{'Statistic': 2610.0, 'p-value': 0.0030982312194524292}",,,
Vessel_tumorfront_cellfrequency,"{'Statistic': 2475.0, 'p-value': 0.0006912396293896569}",,,
Fibroblasts_intratumor_cellfrequency,"{'Statistic': 735.0, 'p-value': 8.974638368973675e-20}",,,
Fibroblasts_stromal_cellfrequency,"{'Statistic': 2121.0, 'p-value': 5.7808747140228576e-06}",,,
Fibroblasts_tumorfront_cellfrequency,"{'Statistic': 2133.0, 'p-value': 6.938584500234378e-06}",,,
CD4 T cells naive_intratumor_cellfrequency,"{'Statistic': 150.0, 'p-value': 2.5894313383767438e-12}",,,
CD4 T cells naive_stromal_cellfrequency,"{'Statistic': 1917.0, 'p-value': 2.0783954865457387e-07}",,,
CD4 T cells naive_tumorfront_cellfrequency,"{'Statistic': 1689.0, 'p-value': 3.0746511232392587e-09}",,,
CD4 T cells memory_intratumor_cellfrequency,"{'Statistic': 198.0, 'p-value': 8.702179267782731e-11}",,,
CD4 T cells memory_stromal_cellfrequency,"{'Statistic': 1980.0, 'p-value': 6.075473923482124e-07}",,,
CD4 T cells memory_tumorfront_cellfrequency,"{'Statistic': 1509.0, 'p-value': 7.656039893448603e-11}",,,
CD4 T cells regulatory_intratumor_cellfrequency,"{'Statistic': 42.0, 'p-value': 3.863952100786435e-16}",,,
CD4 T cells regulatory_stromal_cellfrequency,"{'Statistic': 1314.0, 'p-value': 9.59234497312866e-13}",,,
CD4 T cells regulatory_tumorfront_cellfrequency,"{'Statistic': 1296.0, 'p-value': 6.22876638046042e-13}",,,
B cells_intratumor_cellfrequency,"{'Statistic': 303.0, 'p-value': 5.803522565323047e-26}",,,
B cells_stromal_cellfrequency,"{'Statistic': 876.0, 'p-value': 1.2476483946832175e-17}",,,
B cells_tumorfront_cellfrequency,"{'Statistic': 651.0, 'p-value': 1.644375209319598e-20}",,,
CD8 T cells_intratumor_cellfrequency,"{'Statistic': 1218.0, 'p-value': 9.562878919767217e-14}",,,
CD8 T cells_stromal_cellfrequency,"{'Statistic': 1671.0, 'p-value': 2.164549691658062e-09}",,,
CD8 T cells_tumorfront_cellfrequency,"{'Statistic': 1050.0, 'p-value': 1.3834057851322161e-15}",,,
Myeloid M1 macrophages_intratumor_cellfrequency,"{'Statistic': 1335.0, 'p-value': 1.3025565080575204e-12}",,,
Myeloid M1 macrophages_stromal_cellfrequency,"{'Statistic': 1623.0, 'p-value': 8.268134118330703e-10}",,,
Myeloid M1 macrophages_tumorfront_cellfrequency,"{'Statistic': 1740.0, 'p-value': 8.287208911244894e-09}",,,
Myeloid M2 macrophages_intratumor_cellfrequency,"{'Statistic': 1071.0, 'p-value': 1.5702640244234406e-15}",,,
Myeloid M2 macrophages_stromal_cellfrequency,"{'Statistic': 2244.0, 'p-value': 3.507679085552137e-05}",,,
Myeloid M2 macrophages_tumorfront_cellfrequency,"{'Statistic': 2211.0, 'p-value': 2.1945297881005382e-05}",,,
Myeloid Granulocytes_intratumor_cellfrequency,"{'Statistic': 858.0, 'p-value': 4.28970789145892e-18}",,,
Myeloid Granulocytes_stromal_cellfrequency,"{'Statistic': 1044.0, 'p-value': 1.1819714074708787e-15}",,,
Myeloid Granulocytes_tumorfront_cellfrequency,"{'Statistic': 993.0, 'p-value': 3.036422479932031e-16}",,,
Myeloid DCs_intratumor_cellfrequency,"{'Statistic': 600.0, 'p-value': 1.7924138928164196e-21}",,,
Myeloid DCs_stromal_cellfrequency,"{'Statistic': 1611.0, 'p-value': 6.440017994866634e-10}",,,
Myeloid DCs_tumorfront_cellfrequency,"{'Statistic': 1599.0, 'p-value': 4.939848347654083e-10}",,,
Myeloid Monocytes_intratumor_cellfrequency,"{'Statistic': 897.0, 'p-value': 1.48720032442308e-17}",,,
Myeloid Monocytes_stromal_cellfrequency,"{'Statistic': 1566.0, 'p-value': 2.557900920919516e-10}",,,
Myeloid Monocytes_tumorfront_cellfrequency,"{'Statistic': 1593.0, 'p-value': 4.4772643465052767e-10}",,,
Tumor non-proliferating_intratumor_pp38,,"{'Statistic': 1935.0, 'p-value': 2.8384023564929717e-07}",,
Tumor non-proliferating_intratumor_pSTAT1,,"{'Statistic': 2397.0, 'p-value': 0.00026792734402068076}",,
Tumor non-proliferating_intratumor_pSTAT3,,"{'Statistic': 2418.0, 'p-value': 0.00034784473534586535}",,
Tumor non-proliferating_intratumor_CD36,,"{'Statistic': 1767.0, 'p-value': 1.3831001812156085e-08}",,
Tumor non-proliferating_intratumor_E-Cadherin,,"{'Statistic': 2277.0, 'p-value': 5.545992901771128e-05}",,
Tumor non-proliferating_intratumor_VEGF,,"{'Statistic': 2844.0, 'p-value': 0.027562701990750418}",,
Tumor non-proliferating_intratumor_pCREB,,"{'Statistic': 2625.0, 'p-value': 0.003620500836631489}",,
Tumor non-proliferating_intratumor_pNFkB,,"{'Statistic': 1521.0, 'p-value': 9.896852438345302e-11}",,
Tumor non-proliferating_intratumor_GranzymeB,,"{'Statistic': 1584.0, 'p-value': 3.7182172016833666e-10}",,
Tumor non-proliferating_intratumor_Ki67,,"{'Statistic': 1560.0, 'p-value': 2.2563971140341532e-10}",,
Tumor non-proliferating_intratumor_CD44,,"{'Statistic': 1863.0, 'p-value': 8.050867009220816e-08}",,
Tumor non-proliferating_intratumor_pERK,,"{'Statistic': 1644.0, 'p-value': 1.2633232722341516e-09}",,
Tumor non-proliferating_intratumor_pMAPKAPK2,,"{'Statistic': 1908.0, 'p-value': 1.7804150836953886e-07}",,
Tumor non-proliferating_intratumor_pS6,,"{'Statistic': 2811.0, 'p-value': 0.020897030087859477}",,
Tumor non-proliferating_stromal_pp38,,"{'Statistic': 2358.0, 'p-value': 0.00016270778454387266}",,
Tumor non-proliferating_stromal_pSTAT1,,"{'Statistic': 2145.0, 'p-value': 8.284038378493233e-06}",,
Tumor non-proliferating_stromal_pSTAT3,,"{'Statistic': 2115.0, 'p-value': 5.25252792842396e-06}",,
Tumor non-proliferating_stromal_CD36,,"{'Statistic': 2199.0, 'p-value': 1.8415252036720066e-05}",,
Tumor non-proliferating_stromal_E-Cadherin,,"{'Statistic': 2094.0, 'p-value': 3.7977926262911934e-06}",,
Tumor non-proliferating_stromal_VEGF,,"{'Statistic': 2301.0, 'p-value': 7.66664302298699e-05}",,
Tumor non-proliferating_stromal_pCREB,,"{'Statistic': 2082.0, 'p-value': 3.1542269580699293e-06}",,
Tumor non-proliferating_stromal_pNFkB,,"{'Statistic': 1875.0, 'p-value': 9.922626169747473e-08}",,
Tumor non-proliferating_stromal_GranzymeB,,"{'Statistic': 2004.0, 'p-value': 8.996478592352568e-07}",,
Tumor non-proliferating_stromal_Ki67,,"{'Statistic': 1707.0, 'p-value': 4.3527181573811275e-09}",,
Tumor non-proliferating_stromal_CD44,,"{'Statistic': 1851.0, 'p-value': 6.466720644038307e-08}",,
Tumor non-proliferating_stromal_pERK,,"{'Statistic': 1902.0, 'p-value': 1.5945037343904922e-07}",,
Tumor non-proliferating_stromal_pMAPKAPK2,,"{'Statistic': 2082.0, 'p-value': 3.15292006176168e-06}",,
Tumor non-proliferating_stromal_pS6,,"{'Statistic': 2598.0, 'p-value': 0.002727849745029562}",,
Tumor non-proliferating_tumorfront_pp38,,"{'Statistic': 2199.0, 'p-value': 1.845608542069636e-05}",,
Tumor non-proliferating_tumorfront_pSTAT1,,"{'Statistic': 2514.0, 'p-value': 0.0010857743391784835}",,
Tumor non-proliferating_tumorfront_pSTAT3,,"{'Statistic': 2121.0, 'p-value': 5.7808747140228576e-06}",,
Tumor non-proliferating_tumorfront_CD36,,"{'Statistic': 1935.0, 'p-value': 2.8384023564929717e-07}",,
Tumor non-proliferating_tumorfront_E-Cadherin,,"{'Statistic': 2283.0, 'p-value': 6.020738470384485e-05}",,
Tumor non-proliferating_tumorfront_VEGF,,"{'Statistic': 2553.0, 'p-value': 0.0016804151819066217}",,
Tumor non-proliferating_tumorfront_pCREB,,"{'Statistic': 2811.0, 'p-value': 0.020897030087859477}",,
Tumor non-proliferating_tumorfront_pNFkB,,"{'Statistic': 2325.0, 'p-value': 0.00010592728937773883}",,
Tumor non-proliferating_tumorfront_GranzymeB,,"{'Statistic': 1959.0, 'p-value': 4.270167143813938e-07}",,
Tumor non-proliferating_tumorfront_Ki67,,"{'Statistic': 1875.0, 'p-value': 9.968370104167079e-08}",,
Tumor non-proliferating_tumorfront_CD44,,"{'Statistic': 2316.0, 'p-value': 9.398731875014576e-05}",,
Tumor non-proliferating_tumorfront_pERK,,"{'Statistic': 1818.0, 'p-value': 3.566890316857854e-08}",,
Tumor non-proliferating_tumorfront_pMAPKAPK2,,"{'Statistic': 2217.0, 'p-value': 2.391890370217309e-05}",,
Tumor non-proliferating_tumorfront_pS6,,"{'Statistic': 2637.0, 'p-value': 0.004094632981072762}",,
Tumor proliferating_intratumor_pp38,,"{'Statistic': 2211.0, 'p-value': 2.1942584339803776e-05}",,
Tumor proliferating_intratumor_pSTAT1,,"{'Statistic': 2358.0, 'p-value': 0.00016308580802414433}",,
Tumor proliferating_intratumor_pSTAT3,,"{'Statistic': 2499.0, 'p-value': 0.0009141718045282385}",,
Tumor proliferating_intratumor_CD36,,"{'Statistic': 1989.0, 'p-value': 7.055352551330952e-07}",,
Tumor proliferating_intratumor_E-Cadherin,,"{'Statistic': 2205.0, 'p-value': 2.0125804207264765e-05}",,
Tumor proliferating_intratumor_VEGF,,"{'Statistic': 2739.0, 'p-value': 0.011022797671209904}",,
Tumor proliferating_intratumor_pCREB,,"{'Statistic': 2643.0, 'p-value': 0.004351880443379196}",,
Tumor proliferating_intratumor_pNFkB,,"{'Statistic': 2196.0, 'p-value': 1.7666871155949763e-05}",,
Tumor proliferating_intratumor_GranzymeB,,"{'Statistic': 1584.0, 'p-value': 3.716849695253891e-10}",,
Tumor proliferating_intratumor_Ki67,,"{'Statistic': 2391.0, 'p-value': 0.00024844105441903467}",,
Tumor proliferating_intratumor_CD44,,"{'Statistic': 2445.0, 'p-value': 0.0004834259436601393}",,
Tumor proliferating_intratumor_pERK,,"{'Statistic': 1650.0, 'p-value': 1.4243283365319934e-09}",,
Tumor proliferating_intratumor_pMAPKAPK2,,"{'Statistic': 2025.0, 'p-value': 1.2739418666166133e-06}",,
Tumor proliferating_intratumor_pS6,,"{'Statistic': 2757.0, 'p-value': 0.012993527228446494}",,
Tumor proliferating_tumorfront_pp38,,"{'Statistic': 2289.0, 'p-value': 6.533432048824846e-05}",,
Tumor proliferating_tumorfront_pSTAT1,,"{'Statistic': 2559.0, 'p-value': 0.0017947876793521858}",,
Tumor proliferating_tumorfront_pSTAT3,,"{'Statistic': 2454.0, 'p-value': 0.0005386905340329405}",,
Tumor proliferating_tumorfront_CD36,,"{'Statistic': 2313.0, 'p-value': 9.029628484485406e-05}",,
Tumor proliferating_tumorfront_E-Cadherin,,"{'Statistic': 2142.0, 'p-value': 7.948900585571289e-06}",,
Tumor proliferating_tumorfront_VEGF,,"{'Statistic': 2694.0, 'p-value': 0.0072091406352047215}",,
Tumor proliferating_tumorfront_pCREB,,"{'Statistic': 2823.0, 'p-value': 0.02313745772442068}",,
Tumor proliferating_tumorfront_pNFkB,,"{'Statistic': 2325.0, 'p-value': 0.00010592508477338022}",,
Tumor proliferating_tumorfront_GranzymeB,,"{'Statistic': 1629.0, 'p-value': 9.336542880487585e-10}",,
Tumor proliferating_tumorfront_Ki67,,"{'Statistic': 2289.0, 'p-value': 6.533647777688793e-05}",,
Tumor proliferating_tumorfront_CD44,,"{'Statistic': 2361.0, 'p-value': 0.0001695425801969207}",,
Tumor proliferating_tumorfront_pERK,,"{'Statistic': 1734.0, 'p-value': 7.387903420845523e-09}",,
Tumor proliferating_tumorfront_pMAPKAPK2,,"{'Statistic': 2424.0, 'p-value': 0.00037447528782986024}",,
Tumor proliferating_tumorfront_pS6,,"{'Statistic': 2772.0, 'p-value': 0.014868331751304864}",,
Vessel_stromal_pp38,,"{'Statistic': 2571.0, 'p-value': 0.0020454855328487496}",,
Vessel_stromal_pSTAT1,,"{'Statistic': 2307.0, 'p-value': 8.332642738550215e-05}",,
Vessel_stromal_pSTAT3,,"{'Statistic': 2223.0, 'p-value': 2.6059378943338045e-05}",,
Vessel_stromal_CD36,,"{'Statistic': 1926.0, 'p-value': 2.431703902128399e-07}",,
Vessel_stromal_E-Cadherin,,"{'Statistic': 2121.0, 'p-value': 5.7808747140228576e-06}",,
Vessel_stromal_VEGF,,"{'Statistic': 2490.0, 'p-value': 0.0008237943091920102}",,
Vessel_stromal_pCREB,,"{'Statistic': 2373.0, 'p-value': 0.00019776367027517146}",,
Vessel_stromal_pNFkB,,"{'Statistic': 2676.0, 'p-value': 0.0060501631243872955}",,
Vessel_stromal_GranzymeB,,"{'Statistic': 2619.0, 'p-value': 0.0034026691359320617}",,
