,Statistic,p-value ttest,p-value mannwhitneyu
Bcells_stromal_pMAPKAPK2,883.0,0.0038367122574451415,0.0036212675397296846
Bcells_stromal_pNFkB,857.0,0.004338832418744154,0.00905910729381921
Bcells_stromal_Ki67,744.0,0.5781514412061487,0.19094511372883138
Bcells_stromal_GranzymeB,812.0,0.10912256327184373,0.036500365444891755
Bcells_stromal_pCREB,839.0,0.014842029533359958,0.016287311752290715
Bcells_stromal_pERK,831.0,0.08821491925954729,0.020875202141733273
Bcells_stromal_pSTAT1,819.0,0.03331722200991417,0.029858254734126666
Bcells_stromal_pSTAT3,912.0,0.0027222462456557243,0.001180519521820281
Bcells_stromal_pp38,846.0,0.015989486570432237,0.01302556818650455
Bcells_stromal_VEGF,889.0,0.0008053201304703941,0.002896336075426693
Bcells_stromal_pS6,810.0,0.021912077395014825,0.038615170953732
Bcells_stromal_CD36,841.0,0.04114154250763473,0.015289099447971391
Bcells_stromal_E.Cadherin,836.0,0.01093352619856411,0.01789198978895817
Bcells_stromal_CD44,963.0,5.0526593215496186e-05,0.00012752701180554298
Bcells_tumorfront_pMAPKAPK2,808.5,0.02257955319155292,0.03768319205955857
Bcells_tumorfront_pNFkB,876.5,0.004277119147030422,0.004075791754369217
Bcells_tumorfront_Ki67,720.5,0.8736389186272535,0.2933422572912796
Bcells_tumorfront_GranzymeB,796.5,0.6053717126357111,0.05260185860607363
Bcells_tumorfront_pCREB,869.5,0.007148260457164156,0.00526258594366411
Bcells_tumorfront_pERK,761.5,0.445853585778769,0.12613465462847068
Bcells_tumorfront_pSTAT1,848.5,0.014047863575758221,0.010917940529091523
Bcells_tumorfront_pSTAT3,839.5,0.04933813432834846,0.014677809624292151
Bcells_tumorfront_pp38,841.5,0.007663832526650984,0.013755563472127103
Bcells_tumorfront_VEGF,883.5,0.0013381327281465458,0.00313718845542922
Bcells_tumorfront_pS6,862.5,0.006842467291374689,0.0067532141661411265
Bcells_tumorfront_CD36,838.5,0.026760276584005142,0.015159050320300231
Bcells_tumorfront_E.Cadherin,843.5,0.01177990867707426,0.012884873145466541
Bcells_tumorfront_CD44,863.5,0.009432540042816243,0.006519300236756282
CD4.T.cells.memory_stromal_pMAPKAPK2,821.0,0.014035041573975674,0.028453491674192283
CD4.T.cells.memory_stromal_pNFkB,806.0,0.007589038936929172,0.043543513022110354
CD4.T.cells.memory_stromal_Ki67,739.0,0.9606599050063926,0.2120753666951687
CD4.T.cells.memory_stromal_GranzymeB,752.0,0.3481520026146776,0.16229498028575118
CD4.T.cells.memory_stromal_pCREB,774.0,0.056552934800186416,0.0988569339800927
CD4.T.cells.memory_stromal_pERK,645.0,0.9711700618696448,0.8675531950721233
CD4.T.cells.memory_stromal_pSTAT1,690.0,0.6288541254118125,0.49377264686690925
CD4.T.cells.memory_stromal_pSTAT3,866.0,0.06750285520747693,0.006758199622342832
CD4.T.cells.memory_stromal_pp38,735.0,0.1557444440689224,0.22941224904808055
CD4.T.cells.memory_stromal_VEGF,889.0,0.0012442082912989467,0.002948493284106731
CD4.T.cells.memory_stromal_pS6,751.0,0.09889018812546858,0.16577949190256658
CD4.T.cells.memory_stromal_CD36,727.0,0.46156209145227634,0.2670573140102692
CD4.T.cells.memory_stromal_E.Cadherin,748.0,0.21319406203679486,0.176570626158434
CD4.T.cells.memory_stromal_CD44,907.0,0.00032078981132378315,0.0014723501894815744
CD4.T.cells.memory_tumorfront_pMAPKAPK2,731.0,0.22189225404136245,0.24773850319774648
CD4.T.cells.memory_tumorfront_pNFkB,750.0,0.0706702728028664,0.1693235642586397
CD4.T.cells.memory_tumorfront_Ki67,676.0,0.35698615548314694,0.6007656987123908
CD4.T.cells.memory_tumorfront_GranzymeB,727.0,0.37686757031966256,0.26706132419734063
CD4.T.cells.memory_tumorfront_pCREB,794.0,0.038989749864812115,0.060049682085530416
CD4.T.cells.memory_tumorfront_pERK,648.0,0.4732318910406019,0.8404881459846103
CD4.T.cells.memory_tumorfront_pSTAT1,780.0,0.1631442019496149,0.08553913271884293
CD4.T.cells.memory_tumorfront_pSTAT3,798.0,0.07504530204251787,0.05405032775676616
CD4.T.cells.memory_tumorfront_pp38,732.0,0.41254777874065673,0.24306465244179176
CD4.T.cells.memory_tumorfront_VEGF,809.0,0.039802902225372784,0.040077908212802146
CD4.T.cells.memory_tumorfront_pS6,752.0,0.117179998796078,0.1622985013257089
CD4.T.cells.memory_tumorfront_CD36,768.0,0.7598377761410062,0.11378655259923712
CD4.T.cells.memory_tumorfront_E.Cadherin,712.0,0.5372951306381559,0.34858418135457314
CD4.T.cells.memory_tumorfront_CD44,793.0,0.0643155076642097,0.06163289386412462
CD4.T.cells.naive_stromal_pMAPKAPK2,874.5,0.0026163409470582096,0.0050082616387580135
CD4.T.cells.naive_stromal_pNFkB,829.5,0.0514943880432048,0.02208462045781516
CD4.T.cells.naive_stromal_Ki67,869.5,0.021059446471363524,0.005977891455398588
CD4.T.cells.naive_stromal_GranzymeB,734.5,0.4441348175124348,0.2316130875317609
CD4.T.cells.naive_stromal_pCREB,834.5,0.010694282559735384,0.018954753866140688
CD4.T.cells.naive_stromal_pERK,674.5,0.65928915987648,0.6127931141223988
CD4.T.cells.naive_stromal_pSTAT1,751.5,0.7518962553736102,0.16399845024064663
CD4.T.cells.naive_stromal_pSTAT3,918.5,0.0005507674718213053,0.0009243558240974208
CD4.T.cells.naive_stromal_pp38,861.5,0.01013123473452941,0.007884525139830179
CD4.T.cells.naive_stromal_VEGF,875.5,0.010305670546905388,0.004832321359135742
CD4.T.cells.naive_stromal_pS6,826.5,0.010612838654286735,0.02417081609118187
CD4.T.cells.naive_stromal_CD36,704.5,0.48096984322844905,0.39468480215173896
CD4.T.cells.naive_stromal_E.Cadherin,870.5,0.016116106106207704,0.005771407522336384
CD4.T.cells.naive_stromal_CD44,971.5,3.792536535545975e-05,8.774358803158824e-05
CD4.T.cells.naive_tumorfront_pMAPKAPK2,832.5,0.01559929043042508,0.019693653473685353
CD4.T.cells.naive_tumorfront_pNFkB,861.5,0.00395920597986819,0.0076544177423193095
CD4.T.cells.naive_tumorfront_Ki67,701.5,0.4069628683934873,0.4123812228540277
CD4.T.cells.naive_tumorfront_GranzymeB,873.5,0.009661040361789617,0.005024050055523639
CD4.T.cells.naive_tumorfront_pCREB,894.5,0.0010132328725235879,0.00230418042894275
CD4.T.cells.naive_tumorfront_pERK,817.5,0.0353788015688757,0.030853615841577975
CD4.T.cells.naive_tumorfront_pSTAT1,804.5,0.020117423683624052,0.044551163239022015
CD4.T.cells.naive_tumorfront_pSTAT3,840.5,0.08832108928370921,0.015329671891579615
CD4.T.cells.naive_tumorfront_pp38,856.5,0.006554747710390632,0.009074914312891947
CD4.T.cells.naive_tumorfront_VEGF,804.5,0.04636556350798386,0.044551163239022015
CD4.T.cells.naive_tumorfront_pS6,677.5,0.4069131144450028,0.587387891005158
CD4.T.cells.naive_tumorfront_CD36,848.5,0.03891168138291226,0.01184067857501134
CD4.T.cells.naive_tumorfront_E.Cadherin,790.5,0.06837164552437683,0.06471313341674155
CD4.T.cells.naive_tumorfront_CD44,884.5,0.002034070258488947,0.0033626108557541345
CD4.T.cells.regulatory_stromal_pMAPKAPK2,771.0,0.024508906793984833,0.1060858799599204
CD4.T.cells.regulatory_stromal_pNFkB,694.0,0.12380473444521731,0.46515756194146163
CD4.T.cells.regulatory_stromal_Ki67,605.0,0.4180615792563437,0.7780965671365969
CD4.T.cells.regulatory_stromal_GranzymeB,800.0,0.12828867166811764,0.05122397333542666
CD4.T.cells.regulatory_stromal_pCREB,795.0,0.0390641681538656,0.05847920703436474
CD4.T.cells.regulatory_stromal_pERK,708.0,0.22829343406495756,0.372709567839273
CD4.T.cells.regulatory_stromal_pSTAT1,623.0,0.7903394713176555,0.9404029863945123
CD4.T.cells.regulatory_stromal_pSTAT3,853.0,0.08322425279560142,0.010491104627995651
CD4.T.cells.regulatory_stromal_pp38,725.0,0.23321158170369602,0.2770613889561919
CD4.T.cells.regulatory_stromal_VEGF,874.0,0.001536654670199548,0.005098386100116556
CD4.T.cells.regulatory_stromal_pS6,694.0,0.4187133719570969,0.46515756194146163
CD4.T.cells.regulatory_stromal_CD36,739.0,0.16995363827745516,0.21204087804333904
CD4.T.cells.regulatory_stromal_E.Cadherin,786.0,0.04383885838653531,0.07368411523833701
CD4.T.cells.regulatory_stromal_CD44,995.0,1.5171369982765887e-06,2.758973601835943e-05
CD4.T.cells.regulatory_tumorfront_pMAPKAPK2,755.0,0.10223317850793992,0.1514198382127195
CD4.T.cells.regulatory_tumorfront_pNFkB,831.0,0.009895468744688744,0.020875202141733273
CD4.T.cells.regulatory_tumorfront_Ki67,677.0,0.8911890581741538,0.5921037409596335
CD4.T.cells.regulatory_tumorfront_GranzymeB,780.0,0.20891422363322404,0.08496207243900653
CD4.T.cells.regulatory_tumorfront_pCREB,817.0,0.02519137262804878,0.03164066986210173
CD4.T.cells.regulatory_tumorfront_pERK,756.0,0.1880616064969417,0.14816129946743115
CD4.T.cells.regulatory_tumorfront_pSTAT1,790.0,0.08525872321771685,0.06608936399700432
CD4.T.cells.regulatory_tumorfront_pSTAT3,915.0,0.0013899732461849098,0.001045037013507499
CD4.T.cells.regulatory_tumorfront_pp38,799.0,0.04369462538316815,0.05219543503359777
CD4.T.cells.regulatory_tumorfront_VEGF,799.0,0.03760378311539844,0.05219543503359777
CD4.T.cells.regulatory_tumorfront_pS6,714.0,0.24193079806674872,0.3359906319509436
CD4.T.cells.regulatory_tumorfront_CD36,792.0,0.05337078806466925,0.0627636943862083
CD4.T.cells.regulatory_tumorfront_E.Cadherin,795.0,0.0479883104417717,0.05803560292123847
CD4.T.cells.regulatory_tumorfront_CD44,886.0,0.0016542161491589994,0.0032403765071384355
CD8.T.cells.memory_intratumor_pMAPKAPK2,778.0,0.8871344581745157,0.08566050712438888
CD8.T.cells.memory_intratumor_pNFkB,803.0,0.39035665999851055,0.044424872430368606
CD8.T.cells.memory_intratumor_Ki67,839.0,0.21150504069914183,0.015117562886518289
CD8.T.cells.memory_intratumor_GranzymeB,809.0,0.033200880069978615,0.03752784406216015
