,Statistic,p-value ttest,p-value mannwhitneyu
Bcells_stromal_area,751.0,0.08006149724305014,0.1650016186531037
Bcells_tumorfront_area,813.5,0.056836966134984054,0.03262541506103002
CD4.T.cells.memory_stromal_area,707.0,0.31869000368810024,0.378945469579121
CD4.T.cells.memory_tumorfront_area,657.0,0.8559203707554562,0.7605325644002211
CD4.T.cells.naive_stromal_area,714.0,0.2677267407127703,0.33683488868182443
CD4.T.cells.naive_tumorfront_area,724.5,0.43368725604532843,0.2777782969484246
CD4.T.cells.regulatory_stromal_area,839.0,0.012193421280764517,0.016476816491320302
CD4.T.cells.regulatory_tumorfront_area,708.0,0.1325086973879978,0.3718661584929466
CD8.T.cells.memory_intratumor_area,741.0,0.0745787894391109,0.19788017871806785
CD8.T.cells.memory_stromal_area,723.0,0.3862699687036788,0.28725469715676266
CD8.T.cells.memory_tumorfront_area,775.0,0.10527875165101065,0.0964753628527929
CD8.T.cells.naive_intratumor_area,899.5,0.0010769592113113193,0.0009084891262241275
CD8.T.cells.naive_stromal_area,831.0,0.017310768750952492,0.020981797060190998
CD8.T.cells.naive_tumorfront_area,727.0,0.2612134924162898,0.2643165600111713
DCs_intratumor_area,693.5,0.3991870891046103,0.46100552305326137
DCs_tumorfront_area,587.5,0.6852770837261097,0.6287118600510166
Fibroblasts_stromal_area,570.0,0.40644406444471215,0.49377626884542525
Fibroblasts_tumorfront_area,564.0,0.27789151923141414,0.4512567006659868
Granulocytes_stromal_area,665.5,0.8094573125195157,0.6861494775947605
Granulocytes_tumorfront_area,704.5,0.6141988739023452,0.39248907009659384
M1.macrophages_intratumor_area,667.5,0.14636105556442638,0.6701276930925801
M1.macrophages_stromal_area,735.0,0.1753287260908036,0.22937320116455484
M1.macrophages_tumorfront_area,574.0,0.8969077319996465,0.5232714856259304
M2.macrophages_intratumor_area,558.0,0.8133356949332786,0.41067038668667555
M2.macrophages_stromal_area,744.0,0.12418885159597981,0.19169102008774952
M2.macrophages_tumorfront_area,750.0,0.2976704292226432,0.1693199890016054
Monocytes_intratumor_area,809.0,0.033705771622973175,0.023487913929325015
Monocytes_tumorfront_area,698.0,0.37168000499625486,0.42128140012165693
Tumor.non.proliferating_intratumor_area,709.0,0.6490993281206912,0.36661306186730924
Tumor.non.proliferating_stromal_area,498.0,0.16949614416592423,0.1277806833528895
Tumor.non.proliferating_tumorfront_area,449.0,0.026955602134934937,0.03789883236052313
Tumor.proliferating_intratumor_area,654.0,0.6226013708446219,0.786738697965824
Tumor.proliferating_tumorfront_area,564.0,0.6264672347210192,0.45125290640117155
Vessel_stromal_area,603.0,0.4658998889082706,0.7605345106198413
Vessel_tumorfront_area,676.0,0.9199230635047619,0.6007656987123908
Bcells_stromal_eccentricity,773.0,0.0794876461283537,0.10060308387179577
Bcells_tumorfront_eccentricity,787.5,0.05439032517856194,0.0667886890682229
CD4.T.cells.memory_stromal_eccentricity,689.0,0.2788806916435763,0.5010620915918734
CD4.T.cells.memory_tumorfront_eccentricity,748.0,0.6055109968093286,0.17657425353073686
CD4.T.cells.naive_stromal_eccentricity,750.5,0.08800577134926581,0.1675106570777144
CD4.T.cells.naive_tumorfront_eccentricity,728.5,0.15237650030414857,0.25787362513235546
CD4.T.cells.regulatory_stromal_eccentricity,860.0,0.006536966937099204,0.008291986258583508
CD4.T.cells.regulatory_tumorfront_eccentricity,723.0,0.08304217287333326,0.2865056138168087
CD8.T.cells.memory_intratumor_eccentricity,694.0,0.12000513186931401,0.4593394274389321
CD8.T.cells.memory_stromal_eccentricity,857.0,0.21012693928252052,0.009167008077128324
CD8.T.cells.memory_tumorfront_eccentricity,721.0,0.13459677721555618,0.2978646644145342
CD8.T.cells.naive_intratumor_eccentricity,900.5,0.0004928928879141162,0.0008691936731967779
CD8.T.cells.naive_stromal_eccentricity,747.0,0.08061548055186975,0.1798466662704683
CD8.T.cells.naive_tumorfront_eccentricity,746.0,0.18155146835972125,0.18154453918164593
DCs_intratumor_eccentricity,692.0,0.2537634249370519,0.47175056681381766
DCs_tumorfront_eccentricity,537.0,0.4115473901642177,0.2869107934726193
Fibroblasts_stromal_eccentricity,836.0,0.010472279639255844,0.018104470559556003
Fibroblasts_tumorfront_eccentricity,732.0,0.3124902204287226,0.24306465244179176
Granulocytes_stromal_eccentricity,617.5,0.9479420526490817,0.8898116027578082
Granulocytes_tumorfront_eccentricity,712.0,0.5502122320437074,0.3463099266448999
M1.macrophages_intratumor_eccentricity,752.0,0.01948819774533617,0.16187575584286495
M1.macrophages_stromal_eccentricity,634.5,0.43613970953854697,0.9633036919028198
M1.macrophages_tumorfront_eccentricity,671.0,0.28182952623381696,0.6413627794434322
M2.macrophages_intratumor_eccentricity,779.0,0.026233313763473144,0.08750381699641012
M2.macrophages_stromal_eccentricity,668.0,0.33832562426814916,0.6662042244319957
M2.macrophages_tumorfront_eccentricity,842.0,0.0042323255155560955,0.014995774249597058
Monocytes_intratumor_eccentricity,784.5,0.02715028607341783,0.050650848477914276
Monocytes_tumorfront_eccentricity,660.0,0.6373069279290422,0.7242089719127087
Tumor.non.proliferating_intratumor_eccentricity,570.0,0.35577971318865953,0.49377626884542525
Tumor.non.proliferating_stromal_eccentricity,556.0,0.3577181852038662,0.39467310287009616
Tumor.non.proliferating_tumorfront_eccentricity,808.0,0.0900883275212489,0.04120672007836464
Tumor.proliferating_intratumor_eccentricity,792.0,0.05619869370788481,0.06298492070516766
Tumor.proliferating_tumorfront_eccentricity,774.0,0.17048745822143088,0.09885976204278935
Vessel_stromal_eccentricity,626.0,0.973450509077961,0.9678907667908735
Vessel_tumorfront_eccentricity,645.0,0.4481467735717892,0.8675542952069109
Bcells_tumorfront_celldistance,432.5,0.016630218024528833,0.021441223699686207
CD4.T.cells.memory_tumorfront_celldistance,496.0,0.24734539773998196,0.12468661770537769
CD4.T.cells.naive_tumorfront_celldistance,423.5,0.029401127446788324,0.017391977323666343
CD4.T.cells.regulatory_tumorfront_celldistance,506.0,0.10603674619631676,0.15473268508286908
CD8.T.cells.memory_tumorfront_celldistance,637.0,0.9032611760430507,0.9403979978380017
CD8.T.cells.naive_tumorfront_celldistance,551.0,0.5656151971249618,0.36386387216486626
DCs_tumorfront_celldistance,668.0,0.8872607532097663,0.6659409136851246
Fibroblasts_tumorfront_celldistance,513.0,0.23038745676092953,0.18028524104318977
Granulocytes_tumorfront_celldistance,785.0,0.062400256685453806,0.07420936669038222
M1.macrophages_tumorfront_celldistance,501.0,0.0864109848213538,0.139437114608884
M2.macrophages_tumorfront_celldistance,564.0,0.44957102970543306,0.4512567006659868
Monocytes_tumorfront_celldistance,649.0,0.7852583583025834,0.8255561728791039
Tumor.non.proliferating_tumorfront_celldistance,869.0,0.003128505674657292,0.006087872055598668
Tumor.proliferating_tumorfront_celldistance,843.0,0.014681585747103564,0.014526143638461617
Vessel_tumorfront_celldistance,565.0,0.7351863133883082,0.4581961126576446
