,Statistic,p-value ttest,p-value mannwhitneyu
Bcells_stromal_aggregatedNeighbors.Bcells,817.0,0.10207467240636427,0.028701034714610902
Bcells_stromal_aggregatedNeighbors.CD4.T.cells.memory,656.0,0.9355128801032413,0.7677551331202445
Bcells_stromal_aggregatedNeighbors.CD4.T.cells.naive,879.0,0.025259314418848728,0.0035579683609941186
Bcells_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,816.0,0.49994390850347714,0.029135433242252158
Bcells_stromal_aggregatedNeighbors.CD8.T.cells.memory,753.5,0.1979525707476067,0.15374876985719818
Bcells_stromal_aggregatedNeighbors.CD8.T.cells.naive,887.0,0.02220060224167239,0.0026865020122004302
Bcells_stromal_aggregatedNeighbors.Fibroblasts,626.5,0.35578230519685006,0.9723698069105561
Bcells_stromal_aggregatedNeighbors.Granulocytes,615.5,0.27276809008307445,0.8644980995550109
Bcells_stromal_aggregatedNeighbors.M1.macrophages,888.0,0.016886989520654493,0.0024591047144656326
Bcells_stromal_aggregatedNeighbors.M2.macrophages,845.0,0.032243895930175785,0.011648914347315714
Bcells_stromal_aggregatedNeighbors.Tumor.non.proliferating,610.5,0.29443080853354586,0.6727180528662087
Bcells_stromal_aggregatedNeighbors.Vessel,665.0,0.7196847050695314,0.6903793811350538
Bcells_tumorfront_aggregatedNeighbors.Bcells,754.5,0.09559394364692332,0.11548766975273458
Bcells_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,692.0,0.1899118883898705,0.40706269807526785
Bcells_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,719.0,0.6324635743866016,0.1538189881256896
Bcells_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,653.5,0.2347473087210245,0.729251842816802
Bcells_tumorfront_aggregatedNeighbors.CD8.T.cells.memory,838.0,0.016163018488821766,0.00844547469710467
Bcells_tumorfront_aggregatedNeighbors.CD8.T.cells.naive,786.5,0.01886415855925499,0.028527826972791357
Bcells_tumorfront_aggregatedNeighbors.DCs,716.0,0.14608738985415085,0.08891514195533863
Bcells_tumorfront_aggregatedNeighbors.Fibroblasts,711.0,0.4869614869471449,0.3027622348054023
Bcells_tumorfront_aggregatedNeighbors.Granulocytes,685.0,0.14794608581596835,0.2782182927227901
Bcells_tumorfront_aggregatedNeighbors.M1.macrophages,796.0,0.02223053812899037,0.037160792896359374
Bcells_tumorfront_aggregatedNeighbors.M2.macrophages,791.0,0.01840602595960626,0.0363364093577503
Bcells_tumorfront_aggregatedNeighbors.Monocytes,629.0,0.41012735561012315,0.9839937051500015
Bcells_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,573.5,0.11415406009409904,0.4970087009970947
Bcells_tumorfront_aggregatedNeighbors.Tumor.proliferating,654.0,0.6619932338029535,0.7117520663748944
Bcells_tumorfront_aggregatedNeighbors.Vessel,667.5,0.5706325332570363,0.6517581032876351
CD4.T.cells.memory_stromal_aggregatedNeighbors.Bcells,787.0,0.73399893675804,0.0699302563130572
CD4.T.cells.memory_stromal_aggregatedNeighbors.CD4.T.cells.memory,834.0,0.02612188538112852,0.019138074631508635
CD4.T.cells.memory_stromal_aggregatedNeighbors.CD4.T.cells.naive,791.0,0.09663065077203851,0.06408552572078155
CD4.T.cells.memory_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,926.5,0.010350639564411781,0.0006315225806305224
CD4.T.cells.memory_stromal_aggregatedNeighbors.CD8.T.cells.memory,798.0,0.066657746219787,0.05360733427611229
CD4.T.cells.memory_stromal_aggregatedNeighbors.CD8.T.cells.naive,863.0,0.0036332216928575455,0.006935349744320159
CD4.T.cells.memory_stromal_aggregatedNeighbors.Fibroblasts,529.0,0.15766270912284938,0.2477147164141108
CD4.T.cells.memory_stromal_aggregatedNeighbors.Granulocytes,707.0,0.7784816463836906,0.3620834827169136
CD4.T.cells.memory_stromal_aggregatedNeighbors.M1.macrophages,838.0,0.004925012381702596,0.01685824736761534
CD4.T.cells.memory_stromal_aggregatedNeighbors.M2.macrophages,769.0,0.04300455545539659,0.11051086482531348
CD4.T.cells.memory_stromal_aggregatedNeighbors.Tumor.non.proliferating,562.5,0.6933253705666796,0.37739546911248967
CD4.T.cells.memory_stromal_aggregatedNeighbors.Vessel,550.0,0.13584849051210024,0.3605277845183845
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.Bcells,731.5,0.3493347260869025,0.19611295051186906
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,886.5,0.0026810570182002336,0.0029492210936783313
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,795.0,0.0732248979139689,0.0437356424745342
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,949.5,6.743561106637315e-05,0.00013587898617684247
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.CD8.T.cells.memory,892.5,0.0011769988055384212,0.0022653646609174178
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.CD8.T.cells.naive,819.0,0.27878459990630705,0.022267137659853192
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.DCs,676.0,0.17133962227757765,0.4935284254334392
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.Fibroblasts,465.5,0.010966944093442343,0.058993971977975644
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.Granulocytes,869.0,0.4479101643859865,0.001132140551546189
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.M1.macrophages,961.0,0.14069198536047064,0.00013867768681447506
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.M2.macrophages,799.0,0.02800353807519303,0.0503659860956825
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.Monocytes,631.0,0.6620238055392311,0.9924143286713404
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,196.5,8.897027541066572e-05,6.327823313825557e-07
CD4.T.cells.memory_tumorfront_aggregatedNeighbors.Tumor.proliferating,750.5,0.7835000538497717,0.15696654940885743
