,Statistic,p-value ttest,p-value mannwhitneyu
Bcells_stromal_pMAPKAPK2,541.0,0.5052389103568744,0.3402502868762042
Bcells_stromal_pNFkB,462.0,0.11793110486350125,0.061917940947990996
Bcells_stromal_Ki67,528.0,0.3006446122983677,0.26961645846322624
Bcells_stromal_GranzymeB,447.0,0.03835165204144173,0.041322683814291286
Bcells_stromal_pCREB,445.0,0.1435258829481154,0.039074934209392315
Bcells_stromal_pERK,494.0,0.23007089624839333,0.13439996571569943
Bcells_stromal_pSTAT1,642.0,0.9708936568504867,0.8396870359037228
Bcells_stromal_pSTAT3,532.0,0.5062031025918217,0.2901887443036866
Bcells_stromal_pp38,501.0,0.48253011903227094,0.15675890532969378
Bcells_stromal_VEGF,430.0,0.13089133283680662,0.025299963952312342
Bcells_stromal_pS6,376.0,0.0049134675646516175,0.0042229038976751235
Bcells_stromal_CD36,553.0,0.5576522104579762,0.4150980240722826
Bcells_stromal_E.Cadherin,484.0,0.3219299383885014,0.10683781122495792
Bcells_stromal_CD44,698.0,0.13354352414341178,0.39552859292596687
Bcells_tumorfront_pMAPKAPK2,566.5,0.5253182101879978,0.5017189952140173
Bcells_tumorfront_pNFkB,526.5,0.2012203800036158,0.25294837944929405
Bcells_tumorfront_Ki67,535.5,0.2234226896247152,0.2996680083877383
Bcells_tumorfront_GranzymeB,543.5,0.3426840394995615,0.3457527051559992
Bcells_tumorfront_pCREB,519.5,0.1757522493690826,0.22030499407281157
Bcells_tumorfront_pERK,590.5,0.9192861584264478,0.6973282262700156
Bcells_tumorfront_pSTAT1,569.5,0.5788519552379942,0.524496028394013
Bcells_tumorfront_pSTAT3,615.5,0.8943573737027469,0.9248819999579239
Bcells_tumorfront_pp38,582.5,0.5946531626916605,0.6289426871439591
Bcells_tumorfront_VEGF,499.5,0.1846503356636757,0.14389680626519002
Bcells_tumorfront_pS6,528.5,0.25902808961920365,0.2628647245033777
Bcells_tumorfront_CD36,549.5,0.34643695106408023,0.3831291923647939
Bcells_tumorfront_E.Cadherin,529.5,0.13597977882596524,0.2679222534681094
Bcells_tumorfront_CD44,565.5,0.8071863921888607,0.49424469149750205
CD4.T.cells.memory_stromal_pMAPKAPK2,585.0,0.8818646097614288,0.656369833562826
CD4.T.cells.memory_stromal_pNFkB,522.0,0.481610820140175,0.24079615594810544
CD4.T.cells.memory_stromal_Ki67,606.0,0.9609253298529705,0.8397281431462065
CD4.T.cells.memory_stromal_GranzymeB,517.0,0.1398696190560064,0.2184042842284022
CD4.T.cells.memory_stromal_pCREB,470.0,0.12445473480070103,0.07607233234178494
CD4.T.cells.memory_stromal_pERK,583.0,0.9078210041437462,0.6397531343781705
CD4.T.cells.memory_stromal_pSTAT1,605.0,0.7228059473626899,0.8307046857641822
CD4.T.cells.memory_stromal_pSTAT3,537.0,0.4121208442345424,0.31748015811660435
CD4.T.cells.memory_stromal_pp38,532.0,0.4946867178620057,0.2903141496352287
CD4.T.cells.memory_stromal_VEGF,531.0,0.6656611082580357,0.2850744675253247
