,Statistic,p-value ttest,p-value mannwhitneyu
Bcells_stromal_area,771.5,0.392818194503077,0.08926600778232893
Bcells_tumorfront_area,618.5,0.9982214405462392,0.9530088769509296
CD4.T.cells.memory_stromal_area,882.0,0.007063243227855357,0.0029216804251806744
CD4.T.cells.memory_tumorfront_area,662.5,0.9527981855550762,0.6603375074937257
CD4.T.cells.naive_stromal_area,652.0,0.7960067828969255,0.7506247870035504
CD4.T.cells.naive_tumorfront_area,693.0,0.2928630999462222,0.42747005501493984
CD4.T.cells.regulatory_stromal_area,713.0,0.9933753357248017,0.3057581077964304
CD4.T.cells.regulatory_tumorfront_area,757.0,0.2637662728576124,0.12355198181343216
CD8.T.cells.memory_intratumor_area,842.5,0.025072018906831174,0.011674847745794576
CD8.T.cells.memory_stromal_area,867.5,0.023027640616603274,0.0049820314705256085
CD8.T.cells.memory_tumorfront_area,959.0,0.00015630642396234195,0.00011081670388941361
CD8.T.cells.naive_intratumor_area,782.0,0.07336559221656282,0.064054041801041
CD8.T.cells.naive_stromal_area,895.0,0.005110612502391668,0.0017715843465930358
CD8.T.cells.naive_tumorfront_area,856.0,0.014693564622156173,0.00738415681057294
DCs_intratumor_area,656.0,0.9346289466126065,0.7025255789699336
DCs_tumorfront_area,568.0,0.6795212350577966,0.5149631084409818
Fibroblasts_stromal_area,859.5,0.010413778042202105,0.00661273324515979
Fibroblasts_tumorfront_area,819.0,0.09820543518792473,0.024595873487448804
Granulocytes_stromal_area,540.5,0.23633477185763402,0.33351122670297695
Granulocytes_tumorfront_area,637.0,0.6106484947531315,0.8836390858910885
M1.macrophages_intratumor_area,523.0,0.1713348912704456,0.24525610854560753
M1.macrophages_stromal_area,699.0,0.6599997127059556,0.3890438516408907
M1.macrophages_tumorfront_area,589.0,0.3218631727588639,0.690106292599404
M2.macrophages_intratumor_area,713.0,0.542240799392101,0.3063916283341853
M2.macrophages_stromal_area,625.5,0.558991746591085,0.9907787981274965
M2.macrophages_tumorfront_area,678.5,0.9653466862054134,0.5325684517101917
Monocytes_intratumor_area,615.5,0.7451593508715285,0.9250603080718954
Monocytes_tumorfront_area,567.5,0.32818292914580605,0.5111949545394237
Tumor.non.proliferating_intratumor_area,1021.0,4.544417320445451e-06,4.604293107860374e-06
Tumor.non.proliferating_stromal_area,716.5,0.26868575232928993,0.28720891010849336
Tumor.non.proliferating_tumorfront_area,840.0,0.033529580194735384,0.012760918051715708
Tumor.proliferating_intratumor_area,726.5,0.40675458317463564,0.23849861601728906
Tumor.proliferating_tumorfront_area,795.5,0.07876858258832149,0.04813937421986487
Vessel_stromal_area,819.0,0.021310054361735845,0.024595873487448804
Vessel_tumorfront_area,854.0,0.008043372184736556,0.007997855814175751
Bcells_stromal_eccentricity,605.0,0.6040594219763344,0.8306613339071349
Bcells_tumorfront_eccentricity,557.5,0.4222492918188334,0.43665202524432034
CD4.T.cells.memory_stromal_eccentricity,815.0,0.07287496572248246,0.027697801754387318
CD4.T.cells.memory_tumorfront_eccentricity,758.5,0.9802958048595962,0.12123041517018741
CD4.T.cells.naive_stromal_eccentricity,765.0,0.7604925693844782,0.10443811067767197
CD4.T.cells.naive_tumorfront_eccentricity,719.5,0.25139134850565786,0.27112044090536025
CD4.T.cells.regulatory_stromal_eccentricity,520.5,0.22650721812649022,0.2332831532986095
CD4.T.cells.regulatory_tumorfront_eccentricity,766.5,0.20633216546855768,0.09885626431752484
CD8.T.cells.memory_intratumor_eccentricity,734.0,0.19254920380299057,0.2052680189016559
CD8.T.cells.memory_stromal_eccentricity,765.5,0.561058478508536,0.10321874605857016
CD8.T.cells.memory_tumorfront_eccentricity,665.0,0.10290433279685651,0.6397615526878446
CD8.T.cells.naive_intratumor_eccentricity,741.0,0.18947463121357605,0.17076597542005678
CD8.T.cells.naive_stromal_eccentricity,710.0,0.5221688355579872,0.32310717208339346
CD8.T.cells.naive_tumorfront_eccentricity,795.0,0.016335303265888168,0.048487295671981165
DCs_intratumor_eccentricity,654.0,0.9938348013078926,0.7205965307111517
DCs_tumorfront_eccentricity,666.0,0.7898549488899368,0.6263520549992548
Fibroblasts_stromal_eccentricity,768.0,0.16529058257233067,0.09725239768164202
Fibroblasts_tumorfront_eccentricity,648.0,0.5005166290846539,0.7859511535611139
Granulocytes_stromal_eccentricity,516.0,0.046512408084357235,0.21038259903565126
Granulocytes_tumorfront_eccentricity,597.0,0.7494705591946855,0.7563535123549425
M1.macrophages_intratumor_eccentricity,588.0,0.13675866651919238,0.6814833847521228
M1.macrophages_stromal_eccentricity,586.0,0.5014554933261945,0.6646057158456244
M1.macrophages_tumorfront_eccentricity,637.0,0.26764268142319125,0.8851388034640979
M2.macrophages_intratumor_eccentricity,570.0,0.8155314735586121,0.5363700669776894
M2.macrophages_stromal_eccentricity,482.5,0.4114268364918865,0.10319273717707123
M2.macrophages_tumorfront_eccentricity,467.5,0.1834903365358244,0.07139971224598783
