Feature,Associated weight
Tumor non-proliferating_intratumor_cellfrequency,2.9757057907000894
Myeloid M1 macrophages_intratumor_cellfrequency,2.3116918845440506
Myeloid M1 macrophages_stromal_cellfrequency,0.3794367218329089
Myeloid M1 macrophages_tumorfront_cellfrequency,2.042137531956363
Tumor non-proliferating_intratumor_pSTAT1,-0.7704542214140234
Tumor non-proliferating_intratumor_pS6,-0.804248078247273
Tumor proliferating_intratumor_pSTAT3,1.064397269350573
Vessel_stromal_CD44,-3.384155883217065
Vessel_stromal_pERK,3.4796324215884185
CD4 T cells regulatory_stromal_pS6,1.595403127065864
CD8 T cells_stromal_pS6,3.855884472075633
Myeloid Granulocytes_stromal_GranzymeB,1.4205004585469134
Myeloid Granulocytes_stromal_Ki67,1.9008023162043874
Myeloid Granulocytes_stromal_CD44,-2.4901842147305313
Myeloid Granulocytes_tumorfront_CD44,-0.6047453185619951
Myeloid Granulocytes_tumorfront_pMAPKAPK2,-2.1228480320350998
Tumor non-proliferating_intratumor_area,-0.8989068868101946
CD4 T cells memory_stromal_area,-2.073154480061555
CD8 T cells_intratumor_area,-0.39893684840198895
Vessel_tumorfront_eccentricity,-2.098587727666231
Myeloid Granulocytes_tumorfront_celldistance,0.373009402839613
Myeloid Monocytes_tumorfront_celldistance,1.409435826687265
Tumor non-proliferating_stromal_aggregatedNeighbors.CD8.T.cells,0.273685052180155
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,-2.7289558366869127
Fibroblasts_stromal_aggregatedNeighbors.B.cells,-1.5966959381536845
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,0.9606418037781871
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,2.444656249476078
B cells_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,0.9068116541935018
B cells_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,1.6007888822290817
CD8 T cells_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,0.8137586314869503
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.Monocytes,2.325466641260718
Myeloid Granulocytes_stromal_aggregatedNeighbors.B.cells,1.0504544778305789
Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.Monocytes,2.580776340887969
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Tumor.proliferating,2.0838828207612
Myeloid DCs_stromal_aggregatedNeighbors.Myeloid.Monocytes,2.164838854623922
Myeloid DCs_tumorfront_aggregatedNeighbors.CD8.T.cells,-3.9223780463815765
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.DCs,1.2941873585675172
