Feature,Associated weight,,AUC 0.839
Tumor non-proliferating_intratumor_cellfrequency,22.6918453,,
CD4 T cells memory_intratumor_cellfrequency,-12.58095164,,
CD4 T cells memory_stromal_cellfrequency,-14.77291037,,
Myeloid M1 macrophages_intratumor_cellfrequency,12.90993408,,
Myeloid M1 macrophages_stromal_cellfrequency,6.838265657,,
Myeloid M1 macrophages_tumorfront_cellfrequency,9.702111029,,
Myeloid Monocytes_stromal_cellfrequency,21.44966538,,
Tumor non-proliferating_intratumor_pS6,12.20850781,,
CD4 T cells regulatory_stromal_pS6,-2.81876033,,
Tumor non-proliferating_intratumor_area,-5.443569868,,
CD4 T cells memory_stromal_area,-10.66690545,,
CD8 T cells_intratumor_area,-2.593872306,,
Vessel_tumorfront_eccentricity,-3.338993407,,
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,-1.628293644,,
