Feature,Associated weight
Tumor non-proliferating_intratumor_cellfrequency,5.79055150860758
Vessel_tumorfront_cellfrequency,2.5580467880641073
CD4 T cells memory_intratumor_cellfrequency,-3.6675988678152907
CD4 T cells memory_stromal_cellfrequency,-3.2155652322353037
B cells_intratumor_cellfrequency,0.18844641393310713
Myeloid M1 macrophages_intratumor_cellfrequency,5.924165392955151
Myeloid M1 macrophages_stromal_cellfrequency,-0.08815243880299833
Myeloid M1 macrophages_tumorfront_cellfrequency,-0.8145292755883642
Myeloid Monocytes_stromal_cellfrequency,5.290938199593937
CD8 T cells_intratumor_CD36,-1.4310122841888768
Myeloid Granulocytes_stromal_GranzymeB,0.10307666474471985
Myeloid Granulocytes_stromal_Ki67,0.5444111544239708
Tumor non-proliferating_intratumor_area,-3.80733876690901
CD4 T cells memory_stromal_area,-7.071752401913381
CD8 T cells_intratumor_area,-1.2440607905993575
Vessel_tumorfront_eccentricity,-0.6564799718238494
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,-1.6477060582554641
Vessel_stromal_aggregatedNeighbors.Tumor.non.proliferating,-1.7857284681546233
Fibroblasts_tumorfront_aggregatedNeighbors.B.cells,1.9830177483004885
Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,2.740894449160945
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,4.106780926809834
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,2.9054907989887973
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Tumor.proliferating,0.7497827078742306
B cells_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,2.306759552584804
B cells_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,4.196326022738027
CD8 T cells_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,2.580740147160601
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.Monocytes,3.142680449970764
Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.Monocytes,0.15771248525073397
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Tumor.proliferating,2.532756874118876
Myeloid DCs_stromal_aggregatedNeighbors.Myeloid.Monocytes,1.1819757964217423
Myeloid DCs_tumorfront_aggregatedNeighbors.CD8.T.cells,-4.027397640262577
