"","Tumor non-proliferating_intratumor_area","Tumor non-proliferating_stromal_area","Tumor non-proliferating_tumorfront_area","Tumor proliferating_intratumor_area","Tumor proliferating_tumorfront_area","Vessel_stromal_area","Vessel_tumorfront_area","Fibroblasts_stromal_area","Fibroblasts_tumorfront_area","CD4 T cells naive_stromal_area","CD4 T cells naive_tumorfront_area","CD4 T cells memory_stromal_area","CD4 T cells memory_tumorfront_area","CD4 T cells regulatory_stromal_area","CD4 T cells regulatory_tumorfront_area","B cells_stromal_area","B cells_tumorfront_area","CD8 T cells_intratumor_area","CD8 T cells_stromal_area","CD8 T cells_tumorfront_area","Myeloid M1 macrophages_stromal_area","Myeloid M1 macrophages_tumorfront_area","Myeloid M2 macrophages_stromal_area","Myeloid M2 macrophages_tumorfront_area","Myeloid Granulocytes_stromal_area","Myeloid Granulocytes_tumorfront_area","Myeloid DCs_stromal_area","Myeloid DCs_tumorfront_area","Myeloid Monocytes_stromal_area","Myeloid Monocytes_tumorfront_area","Tumor non-proliferating_intratumor_eccentricity","Tumor non-proliferating_stromal_eccentricity","Tumor non-proliferating_tumorfront_eccentricity","Tumor proliferating_intratumor_eccentricity","Tumor proliferating_tumorfront_eccentricity","Vessel_stromal_eccentricity","Vessel_tumorfront_eccentricity","Fibroblasts_stromal_eccentricity","Fibroblasts_tumorfront_eccentricity","CD4 T cells naive_stromal_eccentricity","CD4 T cells naive_tumorfront_eccentricity","CD4 T cells memory_stromal_eccentricity","CD4 T cells memory_tumorfront_eccentricity","CD4 T cells regulatory_stromal_eccentricity","CD4 T cells regulatory_tumorfront_eccentricity","B cells_stromal_eccentricity","B cells_tumorfront_eccentricity","CD8 T cells_intratumor_eccentricity","CD8 T cells_stromal_eccentricity","CD8 T cells_tumorfront_eccentricity","Myeloid M1 macrophages_stromal_eccentricity","Myeloid M1 macrophages_tumorfront_eccentricity","Myeloid M2 macrophages_stromal_eccentricity","Myeloid M2 macrophages_tumorfront_eccentricity","Myeloid Granulocytes_stromal_eccentricity","Myeloid Granulocytes_tumorfront_eccentricity","Myeloid DCs_stromal_eccentricity","Myeloid DCs_tumorfront_eccentricity","Myeloid Monocytes_stromal_eccentricity","Myeloid Monocytes_tumorfront_eccentricity","Tumor non-proliferating_tumorfront_celldistance","Tumor proliferating_tumorfront_celldistance","Vessel_tumorfront_celldistance","Fibroblasts_tumorfront_celldistance","CD4 T cells naive_tumorfront_celldistance","CD4 T cells memory_tumorfront_celldistance","CD4 T cells regulatory_tumorfront_celldistance","B cells_tumorfront_celldistance","CD8 T cells_tumorfront_celldistance","Myeloid M1 macrophages_tumorfront_celldistance","Myeloid M2 macrophages_tumorfront_celldistance","Myeloid Granulocytes_tumorfront_celldistance","Myeloid DCs_tumorfront_celldistance","Myeloid Monocytes_tumorfront_celldistance"
"S01_1",115,40,99,112,123,55,55,48,57,55,0,57,0,50,0,57,0,0,52,95,60,49,49,47,51,62,50,57.5,54,81,0.68349184353805,0.569081796744374,0.674229779048345,0.664450499066054,0.706103357653961,0.621355900497476,0.653733240391985,0.64571034368965,0.639312276232428,0.637241639192671,0,0.575015093222782,0,0.678723979842724,0,0.529558988010388,0,0,0.614827131967244,0.473093763090449,0.60744151971202,0.60844655675823,0.629216431006437,0.673619343923245,0.617733358919218,0.554101104012805,0.625143661649984,0.636219968581915,0.670185324762921,0.694578632829905,10.3034744551688,8.95207206004951,-10.188558881933,-11.7215003967285,0,0,0,0,11.0248724535892,-9.95245844609029,-15.272911576958,-8.00901999414142,-6.05027464108589,-8.73719617932342
"S01_2",120,83,86,118,105.5,52,53.5,44,63.5,55,29,51.5,45,48,51,43.5,64.5,75.5,43,59,56,62,53,37,52,47.5,49,23,54,60.5,0.651407385461893,0.535259941167693,0.680844056753161,0.657217368686196,0.67270432949877,0.633645053636146,0.655007658876785,0.623625704556403,0.625227194200546,0.590173458926629,0.541774576510122,0.604209690607638,0.508354164139043,0.540406094819482,0.622775676722151,0.615315156798679,0.637389011880326,0.544683391881422,0.585417128633815,0.576014876940617,0.616456036920379,0.625477311688663,0.62209573037135,0.599318405480315,0.618847282923163,0.60857226751117,0.661649317799988,0.599489974806722,0.652962384391736,0.59140139908423,9.04267692894264,8.91196528449772,-10.4214557787137,-7.88017804000116,-8.82302203671686,-9.38139309948438,-13.8922300593633,-1.53359734684111,9.67274310317221,-9.1054277641876,-13.1534882875589,-6.66607547906183,-13.1530598039213,-2.80300218749204
"S01_3",140,71,95,72,124,64,69,62,63,58,68,62,46,39.5,53,56,65.5,128,58,51,64,63,64,70,50,61.5,79,63,65,58,0.652721493570726,0.662538706350059,0.666793112550091,0.647516106698308,0.672927312664528,0.649580153869926,0.656285815266823,0.64077763856178,0.625943231252129,0.681555345027542,0.609712017506415,0.637909407890698,0.662184985082022,0.529347071439149,0.757032228742434,0.644294750103648,0.597498794808971,0.596063010435385,0.61745459430137,0.567367724647392,0.616317212771867,0.660177187649266,0.60641013024826,0.683209919819912,0.602120955067469,0.648104653177817,0.670090634547432,0.707349042977166,0.601978757743482,0.558503899274291,7.96428230105736,7.3107950511113,-10.9987936566109,-9.61681882913802,-18.2183974209954,-15.8770570834364,-16.2914474282946,-12.6811166434061,-7.15544076712735,-10.5486655452336,-10.2448099691476,-2.50480132370709,-11.9645636334052,-16.6217119428847
"S02_1",112,41,93,122,114,75,71,62.5,55,35,0,49.5,75,55,0,0,0,47,98,0,59,88,47.5,0,62,50,69.5,49,42.5,111.5,0.655222922855936,0.84275969436075,0.668541227877197,0.593851102266066,0.693680941751241,0.778085694145716,0.760550825662356,0.718674264739744,0.682628548756836,0.51810938641489,0,0.727281874239562,0.689455893923792,0.639238244573536,0,0,0,0.706611252322078,0.703241366470794,0,0.577150253513235,0.697211582605778,0.571175859060011,0,0.617079176842458,0.550818336411256,0.609318348467992,0.698851531716048,0.504135914312542,0.682447421085257,10.6283999752525,10.1783632351189,-9.89630811397846,-8.26706447353903,0,-14.3032386906942,0,0,0,-11.9658040158889,0,-9.71716649577303,-8.07032216037932,-8.26512642453116
"S02_2",127,36,78,141,118.5,34,50.5,34,41,46,42,39,53,43,53,39.5,52,89,39,55,33,50,37,47,34,35,35,65,40,44.5,0.624208964950954,0.859650991755426,0.698390450990296,0.78031819192448,0.672275951014661,0.685807168288595,0.667839070582388,0.688931804119613,0.655618645421087,0.636135345751877,0.645467261519832,0.594038428505403,0.61426795757884,0.630309985228334,0.745221585142873,0.625943231252129,0.557970558711383,0.606402555542461,0.625943231252129,0.647715356464245,0.677433905939356,0.657116165754438,0.640657111407336,0.621714336135859,0.636136292471512,0.565091878143756,0.568705607599073,0.635545690648501,0.612117237337127,0.546035734820335,7.82820488157726,9.13012486138597,-9.64514523218707,-8.10207059523639,-12.7478682307874,-15.5684550603231,-11.4331388833388,-15.8191665609678,1.25070761717283,-11.7697579206147,-12.1276441846575,-11.1353415125892,-7.11922196241525,-5.05853969115837
"S02_3",148,18,98,89,107,55,54.5,57,53,48.5,67,51,56.5,63,44,42,42,87.5,48,51,47,57.5,50.5,28,46.5,54.5,52,48,29,58,0.660962302229131,0.47692249040608,0.685301358345214,0.668607917256296,0.710900397066806,0.659462768805019,0.697073091301764,0.675079401533238,0.700843150632279,0.619622080127657,0.672751576928343,0.592161558218216,0.705279631343869,0.710723178626507,0.724374625529889,0.620736129609464,0.661214639650506,0.6284534175584,0.610629959589006,0.628115348233426,0.75613684631841,0.618656613132386,0.541703781892166,0.633258212436559,0.498410708362906,0.518551284762078,0.615390780541528,0.653003323031099,0.704936859634319,0.626033204231768,10.274405154629,8.70114157563081,-7.99802909038273,-9.95560026039201,-10.7725987953432,-12.4280110777241,-18.4949772834778,-6.86304412917657,1.89795918367347,-5.16898619776675,-12.7488750049046,-12.2533006712545,-1.42093646887577,5.50724147608902
"S03_1",141,0,103,138,118,56,83,47,66,44,60,56,66.5,51.5,72,35,0,78.5,53.5,69,47,65.5,59,102,68,22,45.5,50,48,77,0.610148890171307,0,0.636691000440338,0.608057182708703,0.622785482881974,0.672720214586696,0.617683880541067,0.675992199740419,0.595930143083948,0.533166034487788,0.621198891708034,0.586905281545998,0.632500791858196,0.470328831907952,0.774916437947076,0.657843376157918,0,0.671262053207141,0.556332298477978,0.581454920141153,0.589241419281309,0.555117283898179,0.590703089184574,0.238990287861979,0.618335531345945,0.428259399823422,0.588323032345848,0.397716591488271,0.62581278271751,0.724493029440635,9.69656126259859,13.594172038284,-9.06659838557243,-6.85480956847851,-8.48828928680349,-8.49206053388785,-17.4403042131,0,-3.74295044938723,-5.93826989408013,2.29345501988542,-2.6855166554451,16.6541382598877,-0.820685822963715
"S03_2",122,0,126,0,175,53,56,45,50,47,64.5,47.5,47.5,47.5,22,50.5,50,0,49,47,51,17.5,40,77,39,0,46,34,52.5,35,0.69419080747279,0,0.588762068664287,0,0.712574686281915,0.63453259692116,0.610645877446324,0.674839236687926,0.671281793957462,0.594599076405856,0.625823427200268,0.563840042742905,0.494428778946917,0.621146141904736,0.689860562364244,0.600095587404219,0.627663772013164,0,0.61121848726942,0.615232161502009,0.666971664776064,0.545907011215085,0.599301493335856,0.820724006383196,0.641412623215081,0,0.618747464938063,0.591263286757198,0.633856582233072,0.732068782671134,9.19965556290391,8.51451531494634,-8.54755596492602,-11.9339750821774,-13.5490720681047,-12.5361420731796,-7.11821322007613,-11.1979052407401,-13.2364734412711,-9.71277644869054,-11.6945755264976,0,-7.70348750220405,-4.70037802968706
"S03_3",90,73,89,85,95,57.5,65,49,57,52,25,53,55,56,65,49,0,57,49,57,55,62.5,45.5,41,50,52,64,63,54,82.5,0.647189244665964,0.706983678960984,0.658374341187841,0.685009852098545,0.678287065920936,0.630146179899522,0.643855399351086,0.673688714137262,0.646214361491184,0.597799203404354,0.682613225475113,0.616027349841883,0.575341211797759,0.611530130072342,0.712953929962579,0.600300717489955,0,0.593536752819753,0.622387456752585,0.613666275883541,0.609552818682557,0.654401005691527,0.635503016456723,0.606796247815641,0.629590822430751,0.62943990332402,0.625309508819175,0.690811636476493,0.628018105618052,0.665519757794529,6.969392,9.18982836034635,-8.580414,-8.56925276544675,-4.90990195274353,-9.08218704243618,-3.814094,0,-3.286334,-3.618592,-5.69507483641307,-3.598527,-6.037587,-6.2838305
"S04_1",125,0,101,111,114,61,67.5,51,58,46.5,93,56,56,0,0,61,0,75,53.5,64,51,93.5,50.5,75.5,52,38.5,66,68,63.5,61.5,0.684610956025125,0,0.678370143594078,0.518951377741189,0.705956990503739,0.621303286701799,0.687325460797809,0.650913088416531,0.641707776881674,0.633190019493559,0.653822104964669,0.591602649849396,0.530956989709604,0,0,0.637909407890698,0,0.746689259155871,0.568860884806958,0.603435433556823,0.664695116678908,0.657129161340908,0.681699399985384,0.753509008210594,0.560898801160328,0.613698820464998,0.560737244114978,0.643005879486317,0.539764428965648,0.691631019518395,8.110569,12.20951,-10.869755,-8.81034,-7.218729,-2.145998,0,0,-9.3987185,-6.829835,-6.156166,-15.606685,6.493071,-4.8697875
