,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
Tumor non-proliferating_intratumor_cellfrequency,403.0,1095.4665875762485,0.009148901893589323,0.009187493393680956,0.04134290894090906
Tumor non-proliferating_stromal_cellfrequency,443.0,161.68342732566998,0.05640488807187416,0.029765646798921717,0.1393532528834538
Tumor non-proliferating_tumorfront_cellfrequency,538.0,257.4041975849573,0.2906760213629962,0.2926390096790019,0.43006458650129903
Tumor proliferating_intratumor_cellfrequency,644.0,-187.85736962282607,0.31628797296280586,0.8765550987929442,0.43006458650129903
Tumor proliferating_stromal_cellfrequency,441.5,27.485598927588647,0.07003416690339882,0.009296463164365935,0.16341305610793058
Tumor proliferating_tumorfront_cellfrequency,935.0,-408.01895749075175,0.00016330190925908648,0.0004616362812199371,0.0014108423880631695
Vessel_intratumor_cellfrequency,606.0,13.59138158075762,0.09057592840840419,0.7542550818565487,0.1902094496576488
Vessel_stromal_cellfrequency,516.0,276.0788180317645,0.23523251542488227,0.19176552165188965,0.4272065128716806
Vessel_tumorfront_cellfrequency,523.0,139.09746856501238,0.19874870515226697,0.22062557404953675,0.3794293461997824
Fibroblasts_intratumor_cellfrequency,651.0,3.66424469899955,0.24411800735524605,0.7179957784114542,0.4272065128716806
Fibroblasts_stromal_cellfrequency,575.0,149.2080628091187,0.35939971988123565,0.5307840828997274,0.4574178253033908
Fibroblasts_tumorfront_cellfrequency,437.0,283.4111655954995,0.010827904722619039,0.026831507545719373,0.04134290894090906
CD4 T cells naive_intratumor_cellfrequency,630.0,0.0,1.0,1.0,1.0
CD4 T cells naive_stromal_cellfrequency,952.0,-383.9207194095894,0.0003715760676446297,0.000216717872538463,0.0026010324735124078
CD4 T cells naive_tumorfront_cellfrequency,988.0,-116.98148702327777,0.0009539802655370287,3.858666543016186e-05,0.005723881593222172
CD4 T cells memory_intratumor_cellfrequency,647.5,-0.10326964074970445,0.3276682563819421,0.33814269473405,0.43006458650129903
CD4 T cells memory_stromal_cellfrequency,1002.0,-496.7735137411178,1.6903101271957048e-05,1.9284819598110507e-05,0.00035496512671109805
CD4 T cells memory_tumorfront_cellfrequency,1017.0,-202.61951095770976,1.3758609649960554e-05,8.776057002567897e-06,0.00035496512671109805
CD4 T cells regulatory_intratumor_cellfrequency,647.5,-1.376841525540411,0.32766825638194186,0.33814269473405,0.43006458650129903
CD4 T cells regulatory_stromal_cellfrequency,966.0,-121.4936023896294,0.00015409972510489756,0.00011318793242513022,0.0014108423880631695
CD4 T cells regulatory_tumorfront_cellfrequency,1029.0,-84.74437803692592,0.00016795742715037732,4.281325467810146e-06,0.0014108423880631695
B cells_intratumor_cellfrequency,630.0,0.0,1.0,1.0,1.0
B cells_stromal_cellfrequency,814.5,-98.41746759225475,0.6434598765246134,0.0338971170935531,0.772151851829536
B cells_tumorfront_cellfrequency,838.5,-19.68045101459917,0.7644624057623091,0.015159050320300231,0.8796675403808846
CD8 T cells_intratumor_cellfrequency,823.0,-133.36615447713763,0.08742892285604507,0.024289939128905716,0.1902094496576488
CD8 T cells_stromal_cellfrequency,826.5,-385.4700648377858,0.04857329221662045,0.02417081609118187,0.13600521820653724
CD8 T cells_tumorfront_cellfrequency,854.0,-338.2174817125587,0.017304815968645672,0.010133250063620262,0.05590786697562448
Myeloid M1 macrophages_intratumor_cellfrequency,675.0,-31.363280825981562,0.31995735640668277,0.6053227855644909,0.43006458650129903
Myeloid M1 macrophages_stromal_cellfrequency,828.0,-124.08040525272273,0.054550980761133926,0.02311418890949323,0.1393532528834538
Myeloid M1 macrophages_tumorfront_cellfrequency,913.0,-194.66536075718582,0.010139300297264052,0.001157875919795667,0.04134290894090906
Myeloid M2 macrophages_intratumor_cellfrequency,755.0,12.263056999428194,0.5129329346317851,0.13646073366244502,0.6336230368980875
Myeloid M2 macrophages_stromal_cellfrequency,821.0,-109.80420641566144,0.048354243874391495,0.028454821001272775,0.13600521820653724
Myeloid M2 macrophages_tumorfront_cellfrequency,899.5,-142.6215650690679,0.012383007893268096,0.00197597423022155,0.04334052762643834
Myeloid Granulocytes_intratumor_cellfrequency,765.0,-42.70906299051392,0.28974023025738843,0.09035676245584032,0.43006458650129903
Myeloid Granulocytes_stromal_cellfrequency,645.5,-25.81615435061974,0.8471509868396893,0.8629917668244371,0.9123164473658192
Myeloid Granulocytes_tumorfront_cellfrequency,791.0,-89.14388209400545,0.1829934081093655,0.0648580967897175,0.365986816218731
Myeloid DCs_intratumor_cellfrequency,649.5,4.779919940359829,0.774945214145065,0.809453981600794,0.8796675403808846
Myeloid DCs_stromal_cellfrequency,591.0,3.430872182304192,0.833316769202868,0.6573238375526353,0.9123164473658192
Myeloid DCs_tumorfront_cellfrequency,739.0,-26.998456039934723,0.30669517634998367,0.2120753666951687,0.43006458650129903
Myeloid Monocytes_intratumor_cellfrequency,642.0,-2.664576906993581,0.9134435863346262,0.8921135337085205,0.9591157656513576
Myeloid Monocytes_stromal_cellfrequency,693.0,-23.358905340917815,0.31202099160208024,0.4722157466553474,0.43006458650129903
Myeloid Monocytes_tumorfront_cellfrequency,833.5,-102.55390910383029,0.007928156815031206,0.019556935018859595,0.04134290894090906
