,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu
Tumor non-proliferating_intratumor_pp38,791.0,-0.021775446845750307,0.2354791603255834,0.06490304220705204
Tumor non-proliferating_intratumor_pSTAT1,743.0,-0.013334847884992923,0.22506574705664661,0.19570931842465422
Tumor non-proliferating_intratumor_pSTAT3,835.0,-0.025314757396214554,0.03648575357489854,0.01867410788062806
Tumor non-proliferating_intratumor_CD36,584.0,-0.02588838463486337,0.6277492072725013,0.6007656987123908
Tumor non-proliferating_intratumor_E-Cadherin,763.0,-0.10800818089161845,0.15880929620774184,0.12753499843738503
Tumor non-proliferating_intratumor_VEGF,887.0,-0.12832674835301683,0.003701294707255846,0.0031774280123466592
Tumor non-proliferating_intratumor_pCREB,873.0,-0.3188964529074442,0.01517367531378006,0.005286862137417803
Tumor non-proliferating_intratumor_pNFkB,762.0,-0.10919373306056557,0.3856157224972885,0.13043374067122096
Tumor non-proliferating_intratumor_GranzymeB,835.0,-0.07104737048071597,0.21222951039789284,0.01867410788062806
Tumor non-proliferating_intratumor_Ki67,724.0,-0.01217038939480454,0.3375639452961352,0.28221709023687536
Tumor non-proliferating_intratumor_CD44,432.0,0.30137947692372746,0.007128804358488195,0.02311879507307273
Tumor non-proliferating_intratumor_pERK,708.0,-0.011074067460907847,0.5301126577227177,0.3727496484923206
Tumor non-proliferating_intratumor_pMAPKAPK2,740.0,0.03960990693648536,0.6351590429759397,0.20789684799610975
Tumor non-proliferating_intratumor_pS6,765.0,-0.26703859818189546,0.1581341539782852,0.12188809371164336
Tumor non-proliferating_stromal_pp38,656.5,-0.014713301377708127,0.5779933019086664,0.7614538161086974
Tumor non-proliferating_stromal_pSTAT1,619.5,0.0015794718089678916,0.9521355615897245,0.9070521928451906
Tumor non-proliferating_stromal_pSTAT3,596.0,0.004405115068824628,0.875525263526528,0.6950614766003325
Tumor non-proliferating_stromal_CD36,669.0,-0.04703900692231808,0.30518301070729603,0.653704348933119
Tumor non-proliferating_stromal_E-Cadherin,512.0,0.09253278299618128,0.09494377923843564,0.17009423470979546
Tumor non-proliferating_stromal_VEGF,601.0,-0.009882441596299557,0.8456034363030166,0.7398161533338261
Tumor non-proliferating_stromal_pCREB,686.5,-0.12318872872753761,0.38250500862135883,0.5132134651380186
Tumor non-proliferating_stromal_pNFkB,675.0,-0.08607622005616367,0.342028669959236,0.6040835571104823
Tumor non-proliferating_stromal_GranzymeB,690.0,-0.048735015290982286,0.28878148339777077,0.4872387181096203
Tumor non-proliferating_stromal_Ki67,532.0,-0.0014237085303184516,0.9559832260147767,0.2501812510639453
Tumor non-proliferating_stromal_CD44,553.0,0.12637299438386002,0.24649524134031936,0.3727050865777203
Tumor non-proliferating_stromal_pERK,533.0,0.028262674965725862,0.15848260058420022,0.258821356591731
Tumor non-proliferating_stromal_pMAPKAPK2,676.0,-0.05749927202425148,0.38533555112791573,0.5959804424201425
Tumor non-proliferating_stromal_pS6,619.5,-0.01829037608988915,0.9391034446311226,0.9070521928451906
Tumor non-proliferating_tumorfront_pp38,804.0,-0.020822218496086037,0.1898522667230389,0.04599495819627521
Tumor non-proliferating_tumorfront_pSTAT1,723.0,-0.01695341885447324,0.09568609451136029,0.28739617148915886
Tumor non-proliferating_tumorfront_pSTAT3,815.0,-0.022650612228659744,0.0253857123582013,0.03384180307511734
Tumor non-proliferating_tumorfront_CD36,646.0,-0.015625841352939568,0.540175229199278,0.8585133439902641
Tumor non-proliferating_tumorfront_E-Cadherin,829.0,-0.15691751981023316,0.020848674931708396,0.022432318638975265
Tumor non-proliferating_tumorfront_VEGF,872.0,-0.11471677706993183,0.0017475931444881861,0.0054776501119253316
