,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu
Tumor non-proliferating_intratumor_aggregatedNeighbors.Tumor.non.proliferating,594.0,0.049377740486902244,0.1811820444256377,0.6830591560774604
Tumor non-proliferating_intratumor_aggregatedNeighbors.Tumor.proliferating,647.5,-0.015649391915889543,0.49867721031843704,0.8449741648596654
Tumor non-proliferating_intratumor_aggregatedNeighbors.CD8.T.cells,795.0,-0.0257244814087635,0.05769450439269418,0.05645727452232435
Tumor non-proliferating_stromal_aggregatedNeighbors.Tumor.non.proliferating,376.0,0.07711349539634108,0.0040561979846505765,0.0007322159279470838
Tumor non-proliferating_stromal_aggregatedNeighbors.Vessel,453.0,0.11685636950536932,0.03370951248475085,0.03397395278199315
Tumor non-proliferating_stromal_aggregatedNeighbors.Fibroblasts,601.0,-0.02305872331262812,0.6358522486363576,0.7320404001451579
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.naive,639.5,-0.026606072058453015,0.08674460048862975,0.864119422520297
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.memory,594.5,-0.02570311862118584,0.19401954405826677,0.6232025138015718
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,645.0,-0.024395279323850754,0.037990618446104574,0.7983409276863522
Tumor non-proliferating_stromal_aggregatedNeighbors.B.cells,590.0,0.009438492063492055,0.18124430420000237,0.34634879601956237
Tumor non-proliferating_stromal_aggregatedNeighbors.CD8.T.cells,732.0,-0.06833871326308297,0.014738343421051077,0.14113889200018664
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,614.5,-0.022303596185949123,0.18056838112587084,0.8448276709292073
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,582.5,-0.010173473717654771,0.44078329904776803,0.5263459806245867
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Granulocytes,581.0,0.0070586709348418875,0.6220194523316777,0.4344725705800926
