,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
Tumor non-proliferating_intratumor_cellfrequency,320.0,1949.7117446569655,7.321591422396352e-05,0.0004526391677555564,0.0030750683974064682
Tumor non-proliferating_stromal_cellfrequency,678.0,-45.56331270329423,0.3525147854506875,0.535650855212958,0.5145973629986574
Tumor non-proliferating_tumorfront_cellfrequency,461.0,500.9952185228376,0.06652136923269991,0.06039603825697721,0.2539906825248542
Tumor proliferating_intratumor_cellfrequency,465.0,189.87426315569718,0.41360850010521366,0.06692103756822436,0.5603728065941604
Tumor proliferating_stromal_cellfrequency,568.0,1.1649499539185575,0.18327452362144392,0.28898288097046476,0.34988772691366565
Tumor proliferating_tumorfront_cellfrequency,564.0,-28.192396778695525,0.8388577013100397,0.491633885516779,0.9271585119742544
Vessel_intratumor_cellfrequency,535.0,6.246084328288831,0.09075103737381783,0.2362050795742735,0.2849204716305504
Vessel_stromal_cellfrequency,481.0,660.5518067875648,0.04266974803945625,0.09960610968963711,0.17921294176571625
Vessel_tumorfront_cellfrequency,394.0,472.8742645436206,0.001786408754600438,0.007997855814175751,0.018757291923304602
Fibroblasts_intratumor_cellfrequency,572.0,1.3427983241887587,0.6384591920347954,0.4043532765489578,0.7845023162401021
Fibroblasts_stromal_cellfrequency,670.0,-41.46478678234075,0.8678562587384047,0.5990205308644496,0.9304113396857572
Fibroblasts_tumorfront_cellfrequency,586.0,98.25643162577921,0.4832318365575248,0.6647535978275833,0.6342417854817513
CD4 T cells naive_intratumor_cellfrequency,604.0,1.3275488220046756,0.23819035366009217,0.6814663634136858,0.41683311890516134
CD4 T cells naive_stromal_cellfrequency,593.0,16.165351159694296,0.9082586887408581,0.724489000259932,0.9304113396857572
CD4 T cells naive_tumorfront_cellfrequency,537.5,72.5131550394504,0.3611734635259217,0.32029775790669324,0.5145973629986574
CD4 T cells memory_intratumor_cellfrequency,760.5,-2.796518785673947,0.1523947605149822,0.012567454609796124,0.3256892389167974
CD4 T cells memory_stromal_cellfrequency,636.5,-19.285176217977664,0.8994360606178281,0.8897060167769131,0.9304113396857572
CD4 T cells memory_tumorfront_cellfrequency,632.5,-103.40937972633463,0.27928780412359483,0.9263343307077856,0.4545177711554099
CD4 T cells regulatory_intratumor_cellfrequency,585.0,0.6966201372758356,0.12276775184870029,0.12061359820423907,0.30330856339090656
CD4 T cells regulatory_stromal_cellfrequency,522.0,14.259929982014405,0.2813681440485871,0.2399430299046571,0.4545177711554099
CD4 T cells regulatory_tumorfront_cellfrequency,585.0,-12.000247247351329,0.36756954499904104,0.6521526633581707,0.5145973629986574
B cells_intratumor_cellfrequency,653.0,-6.322556261756816,0.359692561518968,0.4098383731744746,0.5145973629986574
B cells_stromal_cellfrequency,610.0,252.74571004469624,0.17561474911647876,0.8759894889690188,0.34988772691366565
B cells_tumorfront_cellfrequency,626.0,10.84239904849521,0.7798127768352273,0.9857736560707004,0.8851928818129607
CD8 T cells_intratumor_cellfrequency,669.0,-115.37151789138971,0.22572080885406043,0.606410175285317,0.4121858248639364
CD8 T cells_stromal_cellfrequency,678.0,2.4712006097298627,0.9898932301574794,0.5364042324574247,0.9898932301574794
CD8 T cells_tumorfront_cellfrequency,711.0,-345.23927298323224,0.07871124174711885,0.3174923301908522,0.275489346114916
Myeloid M1 macrophages_intratumor_cellfrequency,412.5,17.47185517056766,0.0007367817197607201,0.0011216619156882884,0.015472416114975124
Myeloid M1 macrophages_stromal_cellfrequency,413.0,290.5769787870545,0.0015856037406232102,0.014991203846725944,0.018757291923304602
Myeloid M1 macrophages_tumorfront_cellfrequency,360.0,161.48612437343402,0.003981763011435823,0.002326238766026714,0.03344680929606091
Myeloid M2 macrophages_intratumor_cellfrequency,575.0,1.8360245893475606,0.11360219617228312,0.2453150479445999,0.30330856339090656
Myeloid M2 macrophages_stromal_cellfrequency,601.5,32.46281092106216,0.5114367848942644,0.7993103652701372,0.650919544410882
Myeloid M2 macrophages_tumorfront_cellfrequency,605.0,-7.685494844113322,0.6863368577190335,0.8306319475930619,0.8007263340055392
Myeloid Granulocytes_intratumor_cellfrequency,541.0,2.828639543564532,0.033995037501228134,0.04812480456775883,0.17921294176571625
Myeloid Granulocytes_stromal_cellfrequency,479.0,379.3471320381611,0.03938380759693693,0.09484639504198873,0.17921294176571625
Myeloid Granulocytes_tumorfront_cellfrequency,592.0,124.52211466299909,0.0949734905435168,0.714556738898098,0.2849204716305504
Myeloid DCs_intratumor_cellfrequency,581.0,1.7723433522362453,0.14729427771609996,0.21905774421873203,0.3256892389167974
Myeloid DCs_stromal_cellfrequency,511.0,8.064840754232627,0.6537519302000852,0.19221168900053542,0.7845023162401021
Myeloid DCs_tumorfront_cellfrequency,607.0,26.289050807785642,0.15509011376990353,0.8458119557618466,0.3256892389167974
Myeloid Monocytes_intratumor_cellfrequency,541.0,5.991359023009984,0.04102955191105137,0.1925092191637815,0.17921294176571625
Myeloid Monocytes_stromal_cellfrequency,526.0,161.80991076543648,0.03730384753830901,0.259854635493349,0.17921294176571625
Myeloid Monocytes_tumorfront_cellfrequency,436.5,68.63251919163753,0.12022162524057227,0.030692432596372807,0.30330856339090656
