,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu
Tumor non-proliferating_intratumor_pp38,690.0,-0.0032409371562098777,0.8098784393883124,0.4490890193715916
Tumor non-proliferating_intratumor_pSTAT1,759.0,-0.01776568331831304,0.10429354182827327,0.1201090171529209
Tumor non-proliferating_intratumor_pSTAT3,597.0,0.001978684535235753,0.7660565940570075,0.7594213605382848
Tumor non-proliferating_intratumor_CD36,822.0,-0.029191977697425403,0.15686639533351876,0.022468084106810886
Tumor non-proliferating_intratumor_E-Cadherin,725.0,-0.05935474369538174,0.4132513614010338,0.24547783173687754
Tumor non-proliferating_intratumor_VEGF,665.0,-0.012927824680118938,0.6502494989166099,0.6397643586602231
Tumor non-proliferating_intratumor_pCREB,588.0,0.044899458238178314,0.6868640755868827,0.6816247518180969
Tumor non-proliferating_intratumor_pNFkB,753.0,-0.05929890106845026,0.550984876704696,0.1375494797234248
Tumor non-proliferating_intratumor_GranzymeB,594.0,-0.0008244902284571531,0.9794075758584679,0.7331717161280784
Tumor non-proliferating_intratumor_Ki67,495.0,0.019786829746919893,0.052759235786112385,0.1375494797234248
Tumor non-proliferating_intratumor_CD44,636.0,-0.03447427755837906,0.6525971593543649,0.8942749011907618
Tumor non-proliferating_intratumor_pERK,553.0,0.038768584183594496,0.23071005328188945,0.4152349423635795
Tumor non-proliferating_intratumor_pMAPKAPK2,528.0,0.0425125337295687,0.29652515273370117,0.2697570285886076
Tumor non-proliferating_intratumor_pS6,676.0,-0.08757443178707458,0.5817471461321941,0.5517451569625414
Tumor non-proliferating_stromal_pp38,536.0,0.006305694584902211,0.6037400821573871,0.3091598213011657
Tumor non-proliferating_stromal_pSTAT1,603.0,0.0024587199601141044,0.7838895510782771,0.8114617544283913
Tumor non-proliferating_stromal_pSTAT3,591.0,0.0025193043980044835,0.8199955225684911,0.705910508715914
Tumor non-proliferating_stromal_CD36,540.5,0.0187949247413024,0.53521654091796,0.3363122777571501
Tumor non-proliferating_stromal_E-Cadherin,495.0,0.03957860075158352,0.23092792928443906,0.13634756359669215
Tumor non-proliferating_stromal_VEGF,452.0,0.04389830531893607,0.11882131961528868,0.046814626772093505
Tumor non-proliferating_stromal_pCREB,484.0,0.153806870252284,0.22281937608068214,0.10629357742999328
Tumor non-proliferating_stromal_pNFkB,519.0,0.032189335224173915,0.432845039124371,0.22576866467688217
Tumor non-proliferating_stromal_GranzymeB,528.0,0.1198462512363857,0.088803542727509,0.26860621207399016
Tumor non-proliferating_stromal_Ki67,535.0,0.0026818411747148996,0.8238702580643225,0.303663321390245
Tumor non-proliferating_stromal_CD44,688.5,-0.10121666614212241,0.11832194253605975,0.45846305586920044
Tumor non-proliferating_stromal_pERK,462.5,0.021477209506982342,0.3532705796283685,0.062176623029669
Tumor non-proliferating_stromal_pMAPKAPK2,503.0,0.020664686552750583,0.6567858564766003,0.16247442332323703
Tumor non-proliferating_stromal_pS6,465.0,0.24989380745405299,0.12095330179882868,0.06649769273958961
Tumor non-proliferating_tumorfront_pp38,567.0,0.004311606666029921,0.7301901559946975,0.5138024673158623
Tumor non-proliferating_tumorfront_pSTAT1,741.0,-0.009302340243051849,0.17364140009730145,0.17820462490868583
Tumor non-proliferating_tumorfront_pSTAT3,496.0,0.009977939094997744,0.13452337662608937,0.14063717495834543
Tumor non-proliferating_tumorfront_CD36,670.0,-0.007485987217746126,0.624744594944145,0.5990205308644496
Tumor non-proliferating_tumorfront_E-Cadherin,669.0,-0.015054590624397901,0.8041448910924275,0.6070749025573434
Tumor non-proliferating_tumorfront_VEGF,541.0,0.019541200941725845,0.3818452280500304,0.3403920188510102
Tumor non-proliferating_tumorfront_pCREB,513.0,0.11729699161837526,0.3123657492910985,0.20161422400942708
Tumor non-proliferating_tumorfront_pNFkB,611.0,0.004682528521061158,0.907979995631195,0.8851426286281112
