,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
Tumor non-proliferating_intratumor_area,1018.0,-20.542707997975796,6.845607072361813e-06,5.4316328506748576e-06,0.0005065749233547741
Tumor non-proliferating_stromal_area,777.5,-7.908776938985419,0.15762118158496902,0.07649555012876773,0.5054866539816913
Tumor non-proliferating_tumorfront_area,858.0,-9.464050239371602,0.008677609699238564,0.006967673805496232,0.09331971394131437
Tumor proliferating_intratumor_area,739.0,-8.426005360717525,0.3969206500816612,0.18564272910879898,0.7585784554538334
Tumor proliferating_tumorfront_area,635.0,0.6185027331128907,0.9370564548833048,0.9034050912899483,0.9777604852115533
Vessel_stromal_area,837.0,-6.785146629947668,0.012987070967714908,0.01406089233224218,0.10678258351232257
Vessel_tumorfront_area,886.0,-9.6590168131234,0.0009514807516419032,0.00251143364117672,0.02346985854050028
Fibroblasts_stromal_area,884.0,-8.96146579700465,0.005050796283578735,0.002710025275292059,0.07475178499696528
Fibroblasts_tumorfront_area,836.0,-5.741087615116811,0.09109905339006145,0.014519479392371117,0.35141565836581196
CD4 T cells naive_stromal_area,873.0,-7.093988267017366,0.019706768691402657,0.004082327018406239,0.13257280756034515
CD4 T cells naive_tumorfront_area,810.5,-7.508840406073986,0.06007740246765981,0.03159626839128384,0.2790257075343312
CD4 T cells memory_stromal_area,964.5,-11.023243899970574,0.00036043637924536884,8.523167133527713e-05,0.013336146032078645
CD4 T cells memory_tumorfront_area,735.0,-1.9908369309962808,0.6020561718055558,0.20157264420823828,0.8274839642358388
CD4 T cells regulatory_stromal_area,708.0,-3.329519657771826,0.5578347266928715,0.33366993841040804,0.8274839642358388
CD4 T cells regulatory_tumorfront_area,624.0,2.4100842830009626,0.7338523103532689,1.0,0.9091654004161777
B cells_stromal_area,838.0,-5.154612803662694,0.21291462592725124,0.013587619246711294,0.536351722787693
B cells_tumorfront_area,734.5,-8.572280927813594,0.24860858053721002,0.19099831410955992,0.593452740637211
CD8 T cells_intratumor_area,839.5,-14.325179819739901,0.0535162344992437,0.012802700248248278,0.2790257075343312
CD8 T cells_stromal_area,889.0,-6.596931932344916,0.019216618168809794,0.002238409851465158,0.13257280756034515
CD8 T cells_tumorfront_area,817.0,-8.051565185623673,0.03682287413817088,0.02610826644325032,0.22707439051872044
Myeloid M1 macrophages_stromal_area,857.5,-8.82950316488855,0.005022141873305243,0.007089093999197945,0.07475178499696528
Myeloid M1 macrophages_tumorfront_area,706.0,-4.368809743647915,0.26824283760679873,0.34627727230020333,0.620311561965722
Myeloid M2 macrophages_stromal_area,818.5,-6.335589813769715,0.14063281590927423,0.024965761761594235,0.4730376535130133
Myeloid M2 macrophages_tumorfront_area,739.0,-5.067494712119192,0.35375643708693705,0.18555417044517053,0.7271660095675928
Myeloid Granulocytes_stromal_area,714.0,-2.7797254629504806,0.5789595720599598,0.3008611914371343,0.8274839642358388
Myeloid Granulocytes_tumorfront_area,740.0,-8.498491053932199,0.18053837342316703,0.17989417352796755,0.5138399858967061
Myeloid DCs_stromal_area,642.0,-0.4470946364235502,0.9461233380281375,0.8392461356783981,0.9777604852115533
Myeloid DCs_tumorfront_area,691.5,-6.2319565566474395,0.42117917384955283,0.42973113148777553,0.7791814716216727
Myeloid Monocytes_stromal_area,763.0,-4.924906078106197,0.17077251823705789,0.1094785766123914,0.5054866539816913
Myeloid Monocytes_tumorfront_area,768.0,-4.8830056676781695,0.21743988761663233,0.09722154613509382,0.536351722787693
Tumor non-proliferating_intratumor_eccentricity,455.0,0.01214115595227927,0.06032988271012567,0.05150730870779126,0.2790257075343312
Tumor non-proliferating_stromal_eccentricity,579.0,0.029651478591674274,0.603839649577504,0.606410175285317,0.8274839642358388
Tumor non-proliferating_tumorfront_eccentricity,572.0,0.002020338566551927,0.5958455047162976,0.5517451569625414,0.8274839642358388
Tumor proliferating_intratumor_eccentricity,701.0,0.0072862039538394985,0.8773847645105353,0.37652729555764974,0.9690518294593972
Tumor proliferating_tumorfront_eccentricity,518.0,0.03077963856392474,0.47597120634668555,0.22269647609104604,0.8274839642358388
Vessel_stromal_eccentricity,719.0,-0.001412308144767005,0.8185585588956028,0.274804087517604,0.9345272655880705
Vessel_tumorfront_eccentricity,817.0,-0.012200292925860445,0.011232812197645187,0.026109519610396568,0.10390351282821797
Fibroblasts_stromal_eccentricity,672.0,-0.00455106768220459,0.5478923372553242,0.5830589321407744,0.8274839642358388
Fibroblasts_tumorfront_eccentricity,657.0,0.004569745880004694,0.8296193163497493,0.7072304570410443,0.9345272655880705
CD4 T cells naive_stromal_eccentricity,790.0,-0.0005363226169077251,0.9777604852115533,0.05580439795722975,0.9777604852115533
CD4 T cells naive_tumorfront_eccentricity,684.5,-0.0014589795345916201,0.9597008340786455,0.4880704460655304,0.9777604852115533
CD4 T cells memory_stromal_eccentricity,911.5,-0.025655475697436536,0.32372692471428566,0.0009109625720958451,0.7045821302605041
CD4 T cells memory_tumorfront_eccentricity,741.5,0.001336658556936876,0.9704648787947835,0.176312912037069,0.9777604852115533
CD4 T cells regulatory_stromal_eccentricity,606.0,0.03312965148136249,0.5580639228311872,0.83944105918353,0.8274839642358388
CD4 T cells regulatory_tumorfront_eccentricity,694.0,-0.016316843558373262,0.8244367946545392,0.41579716348932716,0.9345272655880705
B cells_stromal_eccentricity,615.0,0.01917497977736038,0.6545320638826548,0.9217282256946915,0.8806431404966629
B cells_tumorfront_eccentricity,651.0,-0.031142393968649484,0.6750309544660738,0.7527504651778316,0.8920051898301689
CD8 T cells_intratumor_eccentricity,638.0,-0.01695397001574528,0.7714258832881172,0.8757981544369731,0.9207341187632367
CD8 T cells_stromal_eccentricity,711.0,0.006491812942390096,0.748763125039948,0.31749638741282116,0.9091654004161777
CD8 T cells_tumorfront_eccentricity,710.0,-0.03323469730984685,0.19923862622515065,0.3231193424230765,0.536351722787693
Myeloid M1 macrophages_stromal_eccentricity,672.0,-0.018725159769870214,0.3370400827152201,0.5830589321407744,0.7125990320264655
Myeloid M1 macrophages_tumorfront_eccentricity,681.0,-0.01779847331558937,0.39979134814458783,0.5138024673158623,0.7585784554538334
Myeloid M2 macrophages_stromal_eccentricity,546.5,0.009247427202221936,0.7437002375745009,0.3735523286219502,0.9091654004161777
