,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
Tumor non-proliferating_intratumor_aggregatedNeighbors.Tumor.non.proliferating,618.0,-0.0035854386247843317,0.9163046284481545,0.9493210624518644,0.9830202530737064
Tumor non-proliferating_intratumor_aggregatedNeighbors.Tumor.proliferating,523.0,0.03356326351669779,0.268221089039836,0.24546200006576846,0.7164172555039537
Tumor non-proliferating_intratumor_aggregatedNeighbors.CD8.T.cells,712.0,-0.027506091330225295,0.06295201752901956,0.3117067234340437,0.3912728869353226
Tumor non-proliferating_stromal_aggregatedNeighbors.Tumor.non.proliferating,672.0,-0.0026266264002571676,0.9275570971889069,0.5664139043942347,0.9830202530737064
Tumor non-proliferating_stromal_aggregatedNeighbors.Vessel,582.0,0.02184874400627737,0.5971659412414508,0.6276304128823882,0.8848481651638274
Tumor non-proliferating_stromal_aggregatedNeighbors.Fibroblasts,547.0,0.007405137934885397,0.8858216449666974,0.3683603541623365,0.9830202530737064
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.naive,671.0,-0.013918196192646476,0.4814175281876589,0.570898304982397,0.8533182727117745
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.memory,563.5,0.0015385364396264742,0.9474501033471565,0.4646600142412268,0.9830202530737064
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,568.5,0.0069770015358139245,0.26627928782394084,0.3302676654372587,0.7164172555039537
Tumor non-proliferating_stromal_aggregatedNeighbors.B.cells,622.0,0.011774935523588416,0.5280864939279293,0.9831213467799778,0.8570434321511224
Tumor non-proliferating_stromal_aggregatedNeighbors.CD8.T.cells,757.0,-0.02201328019368382,0.08317300446545153,0.09840646171797524,0.42611922835724486
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,470.0,0.0453259215166273,0.020552985772639858,0.06267121838818698,0.30747266715869226
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,679.5,-0.003923976744999053,0.40109526371782556,0.44451272560414745,0.8282673714758595
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Granulocytes,555.5,0.04030671443931835,0.0367073079350241,0.2937111368720101,0.3676111213448991
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.DCs,627.0,-0.0035476576216490843,0.31188583829729355,0.9658328874936212,0.7477263046358191
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Monocytes,474.5,0.040582560103630025,0.04029961490679375,0.048556187349145505,0.3676111213448991
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,455.0,0.0496910346752405,0.14405638635198326,0.05150730870779126,0.5497662091392014
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Tumor.proliferating,572.5,-0.002298159655296214,0.919224696074896,0.5555806529864111,0.9830202530737064
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Vessel,536.0,0.008639061600560452,0.23509307329162565,0.3119340032445942,0.6815876698532403
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Fibroblasts,694.0,-0.005426481868363815,0.42245091318856665,0.4218435415149929,0.840407667726191
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,575.5,-0.0004746583364570456,0.9132053297066213,0.5790679245141077,0.9830202530737064
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,686.0,-0.006114387212006429,0.11071718989990992,0.47713489005201437,0.48089382297839744
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,719.0,-0.0011206247602522782,0.04518469620377583,0.25190700485125006,0.3840699177320946
Tumor non-proliferating_tumorfront_aggregatedNeighbors.B.cells,705.0,-0.0006871946841466158,0.592234974028869,0.3084620549932924,0.8848481651638274
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD8.T.cells,723.0,-0.031118745091562552,0.06200310719713504,0.25499499573645923,0.3912728869353226
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,406.0,0.0060480574479551685,0.02497599654540685,0.011947336560887315,0.34596380399933935
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,619.0,-0.00038191414473298657,0.7321706024780721,0.9583991582621098,0.9277160670967923
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,612.0,0.006194934971210831,0.0890111032964214,0.8900766647170458,0.43044094947730743
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.DCs,660.5,0.00048417210081471004,0.6338980737926404,0.6652700569080491,0.8941579201324403
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,483.0,0.004674828249683939,0.13731512852023822,0.10397000029029956,0.5405086639936356
Tumor proliferating_intratumor_aggregatedNeighbors.Tumor.non.proliferating,581.5,0.04422284740817939,0.524611914894907,0.6268956571412205,0.8570434321511224
Tumor proliferating_intratumor_aggregatedNeighbors.Tumor.proliferating,550.0,0.024876317504079953,0.5890856867833838,0.3923452351818576,0.8848481651638274
Tumor proliferating_intratumor_aggregatedNeighbors.CD8.T.cells,679.0,-0.03034224907431761,0.060563405670682455,0.5020390442344622,0.3912728869353226
Tumor proliferating_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,539.5,0.04249357548329624,0.46636303584636896,0.3315674819722263,0.8484776167884218
Tumor proliferating_tumorfront_aggregatedNeighbors.Tumor.proliferating,530.0,0.033268299897541265,0.4008775683946977,0.2771471186267003,0.8282673714758595
Tumor proliferating_tumorfront_aggregatedNeighbors.Vessel,557.5,-0.011767737759625162,0.5386389360169637,0.4429765761953095,0.8609015473091642
Tumor proliferating_tumorfront_aggregatedNeighbors.Fibroblasts,630.0,-0.00454919968445611,0.6455150760314409,0.9478692685348982,0.8941579201324403
Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,616.5,-0.0018745899860159038,0.6424331661370891,0.9316765976313232,0.8941579201324403
Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,702.5,-0.006519522283149174,0.0885594736055992,0.33941053664656684,0.43044094947730743
Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,661.5,-0.0008076800286815265,0.28303685928538647,0.4594931590504078,0.7219260042051687
Tumor proliferating_tumorfront_aggregatedNeighbors.B.cells,618.5,0.001283534338945895,0.38669221550275845,0.9268909199739774,0.8189717204363388
Tumor proliferating_tumorfront_aggregatedNeighbors.CD8.T.cells,702.0,-0.035418654572393564,0.12668371157904024,0.3597748960143883,0.5190021243804648
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages,506.5,0.005526453424985207,0.0668573967580958,0.12141758113199314,0.39689946646869567
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages,598.5,0.0010611361934714744,0.4355931976290822,0.7281896047470531,0.8484776167884218
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes,572.0,0.0047201269031271935,0.20033215283442174,0.4043532765489578,0.6392543063938666
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.DCs,592.5,0.0007004959194537872,0.5811356913557062,0.5354333814620301,0.8835152380773745
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.Monocytes,653.5,-0.0012687173478307355,0.7195571163680538,0.7091862554117723,0.9214613110017585
Vessel_stromal_aggregatedNeighbors.Tumor.non.proliferating,693.5,-0.008073289320773776,0.05737573441045677,0.4199944003528252,0.3912728869353226
