,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
Tumor non-proliferating_intratumor_pp38,771.0,-0.018501019332964247,0.31093843485504186,0.10611517487071975,0.4854800841602884
Tumor non-proliferating_intratumor_pSTAT1,704.0,-0.007829995671717993,0.42494917170834023,0.39792644246181264,0.5776008159142488
Tumor non-proliferating_intratumor_pSTAT3,839.0,-0.023518552905445494,0.043651716395121255,0.016485863525968578,0.15669846911069168
Tumor non-proliferating_intratumor_CD36,568.0,-0.0262265792660821,0.6180206365792975,0.47936938015165176,0.7353220038620537
Tumor non-proliferating_intratumor_E-Cadherin,766.0,-0.11580607577962976,0.14675975162825944,0.11913891745460196,0.3142888297391731
Tumor non-proliferating_intratumor_VEGF,879.0,-0.12840092936590802,0.004950817518597658,0.004262914731125052,0.04751469595157617
Tumor non-proliferating_intratumor_pCREB,864.0,-0.33406252576185247,0.017339835357498116,0.007242026190087123,0.09160339590097402
Tumor non-proliferating_intratumor_pNFkB,773.0,-0.07523915634987,0.5550166689978702,0.10123289972993921,0.6835982433404852
Tumor non-proliferating_intratumor_GranzymeB,820.0,-0.051791216554203656,0.3142668128379031,0.02929773137948038,0.4870555770919531
Tumor non-proliferating_intratumor_Ki67,653.0,-0.00262565314820562,0.8223911007531062,0.7958091685190174,0.8829725483497494
Tumor non-proliferating_intratumor_CD44,432.0,0.32534798571896945,0.006873261908925382,0.02311879507307273,0.056432217897118817
Tumor non-proliferating_intratumor_pERK,706.0,-0.01085621397665322,0.5033394413106773,0.38521233774215335,0.6468147659781615
Tumor non-proliferating_intratumor_pMAPKAPK2,734.0,0.05590524625320126,0.5168965193792995,0.23390371367256635,0.6511200541309918
Tumor non-proliferating_intratumor_pS6,768.0,-0.29521420331561754,0.16481776751234106,0.11378655259923712,0.3276954213398784
Tumor non-proliferating_stromal_pp38,671.5,-0.017442916994500735,0.5050019633312008,0.6321449192170405,0.6468147659781615
Tumor non-proliferating_stromal_pSTAT1,633.5,-0.0076395399603032405,0.7531167483102392,0.9720580026165294,0.828140571909996
Tumor non-proliferating_stromal_pSTAT3,604.0,-0.0040900320772983695,0.8708064118880258,0.765409566398242,0.9183569715566927
Tumor non-proliferating_stromal_CD36,692.0,-0.057199873311316485,0.1996735920685397,0.4736024444255401,0.3689097734183209
Tumor non-proliferating_stromal_E-Cadherin,485.0,0.10969375363936398,0.04798603130660164,0.09157519866586046,0.16171780006126238
Tumor non-proliferating_stromal_VEGF,610.0,-0.011638940499558076,0.8198347054335957,0.8202494590273932,0.8828989135438723
Tumor non-proliferating_stromal_pCREB,687.5,-0.13965802196342486,0.33042973674641274,0.505719253820025,0.5011848128676522
Tumor non-proliferating_stromal_pNFkB,684.0,-0.10049184683279899,0.26912908618568765,0.5330152498452603,0.44153990702339374
Tumor non-proliferating_stromal_GranzymeB,685.0,-0.047546649774431404,0.27904174926196934,0.5245622772434961,0.45250013393832866
Tumor non-proliferating_stromal_Ki67,542.0,-0.008063735763038815,0.7532135677848059,0.30208624702857456,0.828140571909996
Tumor non-proliferating_stromal_CD44,553.0,0.12099834750291971,0.25455928048905135,0.3727050865777203,0.4276595912216063
Tumor non-proliferating_stromal_pERK,527.0,0.027940487987391516,0.18874804935768763,0.22925793863605126,0.3570909041902198
Tumor non-proliferating_stromal_pMAPKAPK2,691.0,-0.07848650565660831,0.22367483122693582,0.48082426693091807,0.3938775753689986
Tumor non-proliferating_stromal_pS6,618.5,-0.0124394901455942,0.9597613554945383,0.8978060857687952,0.9760284971130899
Tumor non-proliferating_tumorfront_pp38,797.0,-0.02037517736979083,0.20794001384700353,0.05550118550207106,0.37482749277142263
Tumor non-proliferating_tumorfront_pSTAT1,717.5,-0.01365900530307318,0.1403951009878483,0.31701856161800845,0.3083020677758752
Tumor non-proliferating_tumorfront_pSTAT3,786.0,-0.019127075166654656,0.05251710666090507,0.07370828679593007,0.16971267162048503
Tumor non-proliferating_tumorfront_CD36,682.0,-0.014169435301038924,0.4488855404692159,0.5536455168697356,0.6004201496721996
Tumor non-proliferating_tumorfront_E-Cadherin,831.0,-0.16687037491058404,0.01762991873944503,0.02111236024354921,0.09160339590097402
Tumor non-proliferating_tumorfront_VEGF,872.0,-0.11452320219138512,0.0018558639602854106,0.0054776501119253316,0.042181639411072405
Tumor non-proliferating_tumorfront_pCREB,876.0,-0.3624353542601808,0.014596488580962786,0.004749972205398151,0.08066480531584698
Tumor non-proliferating_tumorfront_pNFkB,832.0,-0.1542873216524615,0.014111681840253727,0.02047813377093384,0.08062656602523838
Tumor non-proliferating_tumorfront_GranzymeB,901.0,-0.09390274280672303,0.001390659689982692,0.0018642617167094055,0.038938471319515375
Tumor non-proliferating_tumorfront_Ki67,923.0,-0.03494634921001956,0.00043934422287328676,0.0007680217170479877,0.020502730400753382
Tumor non-proliferating_tumorfront_CD44,517.0,0.15095936386707542,0.1708407976952676,0.19570931842465422,0.3321904399630204
Tumor non-proliferating_tumorfront_pERK,707.0,-0.012395775948538149,0.4317325929364877,0.378949466097278,0.5830472316184078
Tumor non-proliferating_tumorfront_pMAPKAPK2,722.0,0.054379590222403906,0.5512832615998686,0.2926390096790019,0.6809969702116024
Tumor non-proliferating_tumorfront_pS6,802.0,-0.3522894247187589,0.06977931461878945,0.04855969700372041,0.19802237932359165
Tumor proliferating_intratumor_pp38,901.0,-0.05054569100003378,0.026234681644593263,0.0018550550301316077,0.10802515971303109
Tumor proliferating_intratumor_pSTAT1,760.0,-0.0310025648477895,0.023543802407013023,0.1362002481092514,0.10129171997896497
Tumor proliferating_intratumor_pSTAT3,810.0,-0.03185832621329254,0.06481061270987225,0.03888365234086004,0.19439534630108035
Tumor proliferating_intratumor_CD36,753.0,-0.03760810578200502,0.14545428334135282,0.1586738512174367,0.3142888297391731
Tumor proliferating_intratumor_E-Cadherin,906.0,-0.23339270837938647,0.003895009453907705,0.0015241813349092857,0.0452918154073265
Tumor proliferating_intratumor_VEGF,988.0,-0.16150574799595013,5.297117996768445e-05,3.8958289301561476e-05,0.011123947793213733
Tumor proliferating_intratumor_pCREB,911.0,-0.4774657289337909,0.00434800180417336,0.0012484555755342764,0.04682463481417464
Tumor proliferating_intratumor_pNFkB,857.0,-0.1961242187876625,0.004286426052044612,0.009154727821876396,0.04682463481417464
Tumor proliferating_intratumor_GranzymeB,816.0,0.1030615885830421,0.45044860295535327,0.03280555232160658,0.6005981372738044
Tumor proliferating_intratumor_Ki67,865.0,-0.2227826225719456,0.0030360127036432754,0.0069700188395911584,0.04350189600769352
Tumor proliferating_intratumor_CD44,658.0,0.002716657382032639,0.9834561897164985,0.7516771805715415,0.9881617217247114
Tumor proliferating_intratumor_pERK,784.0,-0.020854961073133213,0.13824620919478336,0.07735439533577193,0.3072137982106297
Tumor proliferating_intratumor_pMAPKAPK2,785.0,0.01858748082372841,0.8593225862745686,0.07544432606040602,0.9160291528815199
Tumor proliferating_intratumor_pS6,825.0,-0.4515223267443167,0.045138621328249647,0.025220176158299492,0.15931278115852818
Tumor proliferating_tumorfront_pp38,792.0,-0.015734234997143742,0.36290487386583203,0.06325050431028928,0.5292362743876717
Tumor proliferating_tumorfront_pSTAT1,739.0,-0.01729771492983015,0.092467773554247,0.21207919853583468,0.22973685085616433
Tumor proliferating_tumorfront_pSTAT3,814.0,-0.023059898426586956,0.030217613000190623,0.034819570369993676,0.11861119121570152
Tumor proliferating_tumorfront_CD36,711.0,-0.02013802532474973,0.1556585406663785,0.3545301972151451,0.3236464706924701
Tumor proliferating_tumorfront_E-Cadherin,856.0,-0.14711181934322187,0.018437203774336712,0.009500553550603408,0.09218601887168355
Tumor proliferating_tumorfront_VEGF,894.0,-0.10115515704155326,0.0007394634299659093,0.002441185350615624,0.030678451367456637
Tumor proliferating_tumorfront_pCREB,888.0,-0.4148640646974765,0.009721474906475807,0.003061133193985056,0.06480983270983871
Tumor proliferating_tumorfront_pNFkB,804.0,-0.12473791289887215,0.01981016965965162,0.04599495819627521,0.09476347756820942
Tumor proliferating_tumorfront_GranzymeB,907.0,-0.07225778385921997,0.0017594134879279453,0.0014724856591227687,0.042181639411072405
Tumor proliferating_tumorfront_Ki67,865.0,-0.1715717363055278,0.0025631940764805935,0.006996596182255602,0.042181639411072405
Tumor proliferating_tumorfront_CD44,519.0,0.1752988036310701,0.12933126363611447,0.20377463789748596,0.2936169228495572
Tumor proliferating_tumorfront_pERK,636.0,-0.012435760764635512,0.5051315315258023,0.9495626448206614,0.6468147659781615
Tumor proliferating_tumorfront_pMAPKAPK2,739.0,0.059083618121176906,0.5906157338942566,0.21207919853583468,0.7128120926309993
Tumor proliferating_tumorfront_pS6,778.0,-0.3489945131275698,0.0929887253465427,0.08980804042845009,0.22973685085616433
Vessel_stromal_pp38,755.5,-0.017218698398859728,0.1703785309067229,0.1505337740771485,0.3321904399630204
Vessel_stromal_pSTAT1,644.0,-0.006675267319214001,0.45451543177714193,0.8766126033208463,0.6041027890708849
Vessel_stromal_pSTAT3,803.0,-0.030387495554945104,0.021946173325464564,0.04726269818947012,0.09911175050209804
Vessel_stromal_CD36,649.0,0.046221963457332454,0.2918895276639837,0.8315061974476461,0.4645098272867204
Vessel_stromal_E-Cadherin,723.0,-0.014162094088885357,0.30909556211114564,0.28739617148915886,0.4844034928607507
Vessel_stromal_VEGF,816.0,-0.04729379091102873,0.02387590542361317,0.032887608880505195,0.10129171997896497
Vessel_stromal_pCREB,794.0,-0.1586487326610888,0.06720690922943896,0.060049682085530416,0.1958218706934802
Vessel_stromal_pNFkB,738.0,-0.07158241006676863,0.06266867886204962,0.21632200567889392,0.19073076175406406
Vessel_stromal_GranzymeB,802.0,-0.08283748197642427,0.027310250129180088,0.04855969700372041,0.11136218499277319
