,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
Tumor non-proliferating_intratumor_area,661.5,0.8869047619047592,0.8988852856721843,0.7214072131673721,0.9454210208143498
Tumor non-proliferating_stromal_area,518.5,9.259126984126986,0.22192788398970728,0.19582784947913334,0.42109393372406
Tumor non-proliferating_tumorfront_area,442.5,9.495238095238093,0.01981368270070958,0.03144544390038767,0.1466212519852509
Tumor proliferating_intratumor_area,664.0,-11.867857142857147,0.23320579565404523,0.6998406635216249,0.43143072195998367
Tumor proliferating_tumorfront_area,521.0,8.611507936507948,0.14404855051296803,0.21201788352283002,0.33311227306123853
Vessel_stromal_area,616.0,1.4980158730158735,0.6175734398580175,0.8765201460803619,0.7745836364320898
Vessel_tumorfront_area,653.5,1.2670634920634924,0.6653473510932448,0.7912727098081322,0.7941242577564536
Fibroblasts_stromal_area,628.5,0.9095238095238045,0.7742027585314993,0.9908206563855199,0.8425147666372198
Fibroblasts_tumorfront_area,607.5,3.131746031746026,0.3522664744360666,0.8001167297056295,0.5924481615515665
CD4 T cells naive_stromal_area,899.0,-12.45476190476191,0.0017635651135780273,0.0020009541776163865,0.043501272801591336
CD4 T cells naive_tumorfront_area,816.5,-11.70079365079365,0.032968743575338987,0.03220310245752987,0.17008708932327407
CD4 T cells memory_stromal_area,830.0,-8.183333333333337,0.019404017556015535,0.021688626513661068,0.1466212519852509
CD4 T cells memory_tumorfront_area,736.5,-4.3781746031746,0.26569860604173945,0.22264116847914928,0.47955358163631023
CD4 T cells regulatory_stromal_area,755.5,-6.679761904761904,0.16811782598615957,0.15023942022034825,0.3554491177993088
CD4 T cells regulatory_tumorfront_area,836.5,-19.7484126984127,0.0025086591818775134,0.017460271431439467,0.046410194864733995
B cells_stromal_area,783.0,-10.991666666666667,0.027865507872787916,0.07866873800006954,0.1586190448143312
B cells_tumorfront_area,781.5,-12.904365079365078,0.07781289553258255,0.07781430227508786,0.23032617077644438
CD8 T cells_intratumor_area,745.0,-17.237301587301587,0.051676937988702105,0.1802820204291572,0.20126807427178717
CD8 T cells_stromal_area,702.5,-3.456349206349209,0.40669048227703086,0.4074332193349506,0.6417284845603384
CD8 T cells_tumorfront_area,654.5,-1.7670634920634924,0.7415377616021444,0.7824051822941326,0.8314211266448285
Myeloid M1 macrophages_stromal_area,730.0,-4.795238095238091,0.19042964468448018,0.2522918937637172,0.39143871407365366
Myeloid M1 macrophages_tumorfront_area,608.5,-1.323412698412703,0.7233598244035748,0.8090807546374501,0.8235173385517621
Myeloid M2 macrophages_stromal_area,712.0,-0.3440476190476218,0.9343062957063701,0.3484386608624177,0.9602592483648804
Myeloid M2 macrophages_tumorfront_area,607.5,1.330158730158729,0.7612369992312988,0.8001955218786585,0.8407692230315839
Myeloid Granulocytes_stromal_area,571.0,2.9738095238095212,0.521448666990497,0.5007962922984399,0.7145778029129033
Myeloid Granulocytes_tumorfront_area,596.5,3.278571428571432,0.5036404087529952,0.7041834700461804,0.7073135242554116
Myeloid DCs_stromal_area,588.5,-0.3126984126984169,0.9573813341066126,0.6365582801115877,0.965776554528706
Myeloid DCs_tumorfront_area,606.5,0.836904761904762,0.8747946872523504,0.7913240250429809,0.9381856066184627
Myeloid Monocytes_stromal_area,639.0,-1.9567460317460288,0.6511065209539073,0.922090875301368,0.7898669270588383
Myeloid Monocytes_tumorfront_area,632.5,-1.62777777777778,0.7085617160948601,0.9816437593537044,0.819274484234682
Tumor non-proliferating_intratumor_eccentricity,623.0,0.012758615428173914,0.5461125114970433,0.9404079736986405,0.7309261598708335
Tumor non-proliferating_stromal_eccentricity,522.0,0.0659143252265173,0.40758430776129595,0.21033460637533763,0.6417284845603384
Tumor non-proliferating_tumorfront_eccentricity,750.0,-0.008492684869142342,0.15540647618939732,0.1693235642586397,0.34692706664632905
Tumor proliferating_intratumor_eccentricity,752.0,-0.09486318659499016,0.05117231745566614,0.16210127548283382,0.20126807427178717
Tumor proliferating_tumorfront_eccentricity,790.0,-0.023229789770412457,0.02324178377615613,0.06659103841582442,0.15635381813050486
