,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
Tumor non-proliferating_intratumor_aggregatedNeighbors.Tumor.non.proliferating,674.5,0.024702380952381087,0.5912212181107444,0.57268433313998,0.9251746258302025
Tumor non-proliferating_intratumor_aggregatedNeighbors.Tumor.proliferating,568.5,0.003968253968253968,0.8678464948483442,0.28171590985726447,1.0
Tumor non-proliferating_intratumor_aggregatedNeighbors.CD8.T.cells,682.5,-0.022222222222222223,0.10357371183544124,0.08618027865041475,0.472397173493354
Tumor non-proliferating_stromal_aggregatedNeighbors.Tumor.non.proliferating,437.0,0.0813293650793651,0.004698568560245763,0.0037067831256647255,0.08252187892066919
Tumor non-proliferating_stromal_aggregatedNeighbors.Vessel,495.0,0.10055555555555554,0.07528112795774561,0.09350655132034498,0.40804553414778055
Tumor non-proliferating_stromal_aggregatedNeighbors.Fibroblasts,658.5,-0.04041666666666667,0.40812846186238105,0.72114866815341,0.6969865056462581
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.naive,700.0,-0.03194444444444444,0.05063677581649508,0.04547389563889185,0.33606603323463474
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.memory,700.0,-0.029543650793650796,0.1332959767217861,0.14535070621373233,0.5418861177582686
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,717.5,-0.027777777777777776,0.02205950614305655,0.023967679822589273,0.20122573896349147
Tumor non-proliferating_stromal_aggregatedNeighbors.B.cells,612.0,0.005714285714285714,0.3139381343932999,0.32412658775761916,0.5891727302252228
Tumor non-proliferating_stromal_aggregatedNeighbors.CD8.T.cells,791.0,-0.0788888888888889,0.005429509669187232,0.006179417586841072,0.08252187892066919
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,704.5,-0.02892857142857143,0.07306817331795024,0.15906563136909124,0.40594384283904256
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,717.5,-0.02267857142857143,0.08623071555259258,0.08327484510083202,0.45422940305168485
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Granulocytes,626.0,0.004682539682539684,0.7239460427616466,0.9334767120332061,1.0
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.DCs,630.0,0.0,1.0,1.0,1.0
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Monocytes,630.0,-0.0026984126984126986,0.669760579146208,1.0,0.9929158148625085
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,493.0,0.07841269841269838,0.07380797142528046,0.10554557569204338,0.40594384283904256
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Tumor.proliferating,807.5,-0.06956349206349208,0.011367256699619556,0.015612570796930021,0.13714045179541012
