,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
Tumor non-proliferating_intratumor_pp38,703.0,-0.004956436458109573,0.7126080104014536,0.3643190490798992,0.9383795498973699
Tumor non-proliferating_intratumor_pSTAT1,775.0,-0.013508834276604514,0.08716268966480345,0.08199673387975082,0.684545263302947
Tumor non-proliferating_intratumor_pSTAT3,635.0,0.0008899603063983325,0.8911139416217528,0.9034212096308757,0.9792021464089297
Tumor non-proliferating_intratumor_CD36,789.0,-0.010053200102597276,0.4658263223514435,0.05730151521391568,0.8668239156911446
Tumor non-proliferating_intratumor_E-Cadherin,727.0,-0.059817665305712475,0.4128230191037098,0.23620884907680095,0.8668239156911446
Tumor non-proliferating_intratumor_VEGF,653.0,-0.009220429393264784,0.7431111012868268,0.7418887058302331,0.948652469727864
Tumor non-proliferating_intratumor_pCREB,577.0,0.05767333187408763,0.6123883914298831,0.5910149517317935,0.9116965091113983
Tumor non-proliferating_intratumor_pNFkB,717.0,-0.028487262747258157,0.7679365929690118,0.28509062148336317,0.9627861762596566
Tumor non-proliferating_intratumor_GranzymeB,674.0,-0.021956989682640315,0.4082190052442436,0.567298549606626,0.8668239156911446
Tumor non-proliferating_intratumor_Ki67,532.0,0.013660605689872228,0.1268485156888385,0.290330326500696,0.684545263302947
Tumor non-proliferating_intratumor_CD44,604.0,-0.02445066561899012,0.7613277785632335,0.821709374303958,0.9611406265458582
Tumor non-proliferating_intratumor_pERK,542.0,0.04325797956611316,0.16001200340325278,0.34627727230020333,0.685848572277046
Tumor non-proliferating_intratumor_pMAPKAPK2,533.0,0.038343469095185656,0.33823233987505197,0.2956344504288059,0.8259161787646618
Tumor non-proliferating_intratumor_pS6,671.0,-0.07883467658349774,0.6583194474506011,0.5910149517317935,0.9157643707198478
Tumor non-proliferating_stromal_pp38,538.0,0.008177648970687568,0.4866356537014118,0.32034890032085206,0.8668239156911446
Tumor non-proliferating_stromal_pSTAT1,596.0,0.0033542312958292873,0.6877702579956515,0.748298287379562,0.9288215702835164
Tumor non-proliferating_stromal_pSTAT3,623.0,-0.001458215834917266,0.8960234637900983,0.9953373864550404,0.9792021464089297
Tumor non-proliferating_stromal_CD36,590.5,0.0016976396833766338,0.9525367135739949,0.7022580841307713,0.9870399866289434
Tumor non-proliferating_stromal_E-Cadherin,489.0,0.04229850213641602,0.14999767184641555,0.11897715886314587,0.684545263302947
Tumor non-proliferating_stromal_VEGF,443.0,0.040942157149142955,0.13086839381797896,0.036411814329998245,0.684545263302947
Tumor non-proliferating_stromal_pCREB,471.0,0.17552370880828605,0.1667150715471405,0.07746495986432293,0.685848572277046
Tumor non-proliferating_stromal_pNFkB,513.0,0.02760826488382276,0.49623872852741824,0.20023551995228006,0.8668239156911446
