,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
Tumor non-proliferating_intratumor_area,1022.5,-20.801282051282058,5.268439495934389e-06,4.220873317364338e-06,0.0003898645226991448
Tumor non-proliferating_stromal_area,762.0,-7.627804487179489,0.1722211205533853,0.11133861102181182,0.527300201212551
Tumor non-proliferating_tumorfront_area,864.0,-8.573317307692307,0.010994185021726376,0.005608839099743887,0.11622424165825025
Tumor proliferating_intratumor_area,724.0,-7.095753205128204,0.46995502422956104,0.2500359679728096,0.7780190147444572
Tumor proliferating_tumorfront_area,623.0,1.149038461538467,0.8811872213373377,0.9953877361667786,0.9757178758770506
Vessel_stromal_area,836.0,-6.979967948717949,0.01348068750902108,0.014479917755439345,0.12415276414888969
Vessel_tumorfront_area,877.0,-9.595753205128204,0.0018881598997325154,0.0035092809530067252,0.04657461086006871
Fibroblasts_stromal_area,886.5,-9.450320512820511,0.0034005837707542256,0.0024500699960975634,0.052497048814041825
Fibroblasts_tumorfront_area,825.5,-6.470753205128204,0.06499816761272514,0.020156038464083308,0.34356174309583287
CD4 T cells naive_stromal_area,866.0,-6.8870192307692335,0.025425550926759174,0.005241652904313693,0.18814907685801788
CD4 T cells naive_tumorfront_area,817.0,-8.675881410256409,0.04097089588308808,0.026034365852190967,0.2756223904862289
CD4 T cells memory_stromal_area,955.5,-11.459134615384613,0.0004149196543203393,0.00013002909693731306,0.015352027209852554
CD4 T cells memory_tumorfront_area,739.5,-2.0633012820512846,0.5857882759725632,0.18370737859873443,0.8057859217740423
CD4 T cells regulatory_stromal_area,687.5,-2.7748397435897445,0.6283724180782826,0.4656952319666915,0.8454465261416894
CD4 T cells regulatory_tumorfront_area,592.0,4.606570512820511,0.5245882806180062,0.7122468133264461,0.8057859217740423
B cells_stromal_area,795.5,-4.857371794871796,0.24093548769351453,0.04794998015202765,0.6148008996317267
B cells_tumorfront_area,707.5,-7.220753205128204,0.3351367959270377,0.32377994424205914,0.7085749399600226
CD8 T cells_intratumor_area,803.0,-12.794871794871796,0.07752680025751457,0.03874336896745138,0.3824655479370719
CD8 T cells_stromal_area,877.0,-7.2151442307692335,0.015099660504594693,0.003495783931988892,0.12415276414888969
CD8 T cells_tumorfront_area,787.0,-7.197516025641029,0.062277115044107406,0.06026680567901745,0.34356174309583287
Myeloid M1 macrophages_stromal_area,852.5,-8.756009615384613,0.010456247317454053,0.00839942935872432,0.11622424165825025
Myeloid M1 macrophages_tumorfront_area,750.0,-6.82692307692308,0.11638107874344791,0.14690094591931135,0.4217151487386613
Myeloid M2 macrophages_stromal_area,819.0,-6.917467948717949,0.11899872967338339,0.024559810223438564,0.4217151487386613
Myeloid M2 macrophages_tumorfront_area,735.5,-5.684294871794869,0.31624537765145705,0.19926119908576778,0.6882987631237594
Myeloid Granulocytes_stromal_area,685.0,-1.2363782051282044,0.8012528646264319,0.4841996094737936,0.9301146743327291
Myeloid Granulocytes_tumorfront_area,718.0,-8.288862179487182,0.20164059757526706,0.2776071081320901,0.5411587920383212
Myeloid DCs_stromal_area,658.0,-0.7576121794871824,0.9093760092467756,0.697741882107556,0.9757178758770506
Myeloid DCs_tumorfront_area,687.0,-6.268429487179489,0.40659934234273554,0.4613444773593387,0.7714961880349341
Myeloid Monocytes_stromal_area,714.5,-3.3457532051282044,0.40217648713965315,0.29816482375021747,0.7714961880349341
Myeloid Monocytes_tumorfront_area,772.5,-5.32932692307692,0.18021285700122305,0.08709702728685374,0.527300201212551
Tumor non-proliferating_intratumor_eccentricity,487.0,0.01236035259780599,0.11967592058799847,0.11469691988915096,0.4217151487386613
Tumor non-proliferating_stromal_eccentricity,539.0,0.04283723337356238,0.45783154937768034,0.3279212572429081,0.7780190147444572
Tumor non-proliferating_tumorfront_eccentricity,620.0,-0.00024213684477780717,0.9613991989298184,0.9677368485500212,0.9757178758770506
Tumor proliferating_intratumor_eccentricity,651.0,0.01571752414646943,0.7439814569395347,0.7593529183555967,0.9301146743327291
Tumor proliferating_tumorfront_eccentricity,547.0,0.02786419726754663,0.5301179608614159,0.3765873372379871,0.8057859217740423
Vessel_stromal_eccentricity,711.5,-0.0013682579076041979,0.8487919084834225,0.3147030598869136,0.9663169419657425
Vessel_tumorfront_eccentricity,740.0,-0.0090614181862122,0.11959871103040724,0.1819590515392101,0.4217151487386613
Fibroblasts_stromal_eccentricity,704.0,-0.008705657946489365,0.26511569243941124,0.3582408949647007,0.6328568142102075
Fibroblasts_tumorfront_eccentricity,660.0,0.006186920338858037,0.7886285464282944,0.6816247518180969,0.9301146743327291
CD4 T cells naive_stromal_eccentricity,804.0,-0.0076104345856239375,0.7169859403624284,0.03804703925013529,0.9301146743327291
CD4 T cells naive_tumorfront_eccentricity,736.5,-0.0013066617151238358,0.9643154402052325,0.19555791175999548,0.9757178758770506
CD4 T cells memory_stromal_eccentricity,857.5,-0.024873718401035583,0.3521920720277506,0.007088614071599163,0.7239503702792651
CD4 T cells memory_tumorfront_eccentricity,715.5,0.0025682305302117125,0.9454460756869352,0.29293386210858174,0.9757178758770506
