,Statistic,meandifference higher-lower,p-value ttest,p-value mannwhitneyu,FDR-adjusted p-value
Tumor non-proliferating_intratumor_aggregatedNeighbors.Tumor.non.proliferating,615.5,-0.009575320512820507,0.7981565653919167,0.9083255338954993,
Tumor non-proliferating_intratumor_aggregatedNeighbors.Tumor.proliferating,553.5,0.043549679487179485,0.14801958652586808,0.16147269177411516,
Tumor non-proliferating_intratumor_aggregatedNeighbors.CD8.T.cells,736.0,-0.035897435897435895,0.011148303169780447,0.012588162504936225,
Tumor non-proliferating_stromal_aggregatedNeighbors.Tumor.non.proliferating,648.0,0.005368589743589711,0.8671173945365276,0.7560122793868214,
Tumor non-proliferating_stromal_aggregatedNeighbors.Vessel,496.0,0.05625000000000002,0.2146193662079777,0.1123661540981369,
Tumor non-proliferating_stromal_aggregatedNeighbors.Fibroblasts,572.0,0.0026642628205128666,0.9600678379108419,0.4943158778816835,
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.naive,644.0,-0.011618589743589744,0.5566988099620397,0.7295370085617656,
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.memory,620.0,0.0005742521367521347,0.9807394527574922,0.954717189092268,
Tumor non-proliferating_stromal_aggregatedNeighbors.CD4.T.cells.regulatory,604.5,0.00625,0.27268637868955536,0.28207791905653623,
Tumor non-proliferating_stromal_aggregatedNeighbors.B.cells,620.0,0.013621794871794872,0.448739598014515,0.8877835284523669,
Tumor non-proliferating_stromal_aggregatedNeighbors.CD8.T.cells,650.0,-0.007291666666666665,0.5178188767612943,0.5412727571724376,
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.M1.macrophages,557.5,0.02568108974358975,0.13355127784806217,0.14025137869830212,
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.M2.macrophages,640.0,-0.002564102564102564,0.36880093530570335,0.3802071371873732,
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Granulocytes,546.0,0.04375,0.04164047421085625,0.02500640886199408,
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.DCs,640.0,-0.002564102564102564,0.36880093530570335,0.3802071371873732,
Tumor non-proliferating_stromal_aggregatedNeighbors.Myeloid.Monocytes,581.5,0.022996794871794873,0.22271084564140006,0.22450265876920816,
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Tumor.non.proliferating,520.5,0.042461271367521314,0.28768798988990024,0.2026357185096419,
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Tumor.proliferating,685.5,-0.014463141025641023,0.47613911190455893,0.2617395105916591,
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Vessel,624.0,0.0,,1.0,
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Fibroblasts,624.0,0.0,,1.0,
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.naive,624.0,0.0,,1.0,
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.memory,624.0,0.0,,1.0,
Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory,624.0,0.0,,1.0,
