,Fold selected features,Fold nb of features
Fold 0,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages', 'Tumor.non.proliferating_intratumor_area']",3
Fold 1,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 2,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area', 'CD4.T.cells.memory_stromal_area']",3
Fold 3,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.M1.macrophages_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",3
Fold 4,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.Granulocytes_tumorfront_CD44', 'Myeloid.Granulocytes_stromal_aggregatedNeighbors.Myeloid.Granulocytes', 'Tumor.non.proliferating_intratumor_area']",4
Fold 5,"['Tumor.non.proliferating_intratumor_cellfrequency', 'CD4.T.cells.regulatory_stromal_pS6', 'Tumor.non.proliferating_intratumor_area', 'CD8.T.cells._intratumor_area']",4
Fold 6,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 7,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.M1.macrophages_stromal_cellfrequency', 'Myeloid.Granulocytes_stromal_aggregatedNeighbors.Myeloid.Granulocytes', 'Tumor.non.proliferating_intratumor_area']",4
Fold 8,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.Granulocytes_tumorfront_CD44', 'Myeloid.DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages', 'Tumor.non.proliferating_intratumor_area', 'CD4.T.cells.memory_stromal_area']",5
Fold 9,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.M1.macrophages_tumorfront_cellfrequency', 'CD4.T.cells.regulatory_stromal_pS6', 'CD8.T.cells._intratumor_CD36', 'CD8.T.cells._intratumor_area', 'Myeloid.Monocytes_tumorfront_celldistance']",6
Fold 10,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages']",2
Fold 11,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
Fold 12,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.M1.macrophages_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area', 'CD8.T.cells._intratumor_area']",4
Fold 13,"['Tumor.non.proliferating_intratumor_cellfrequency', 'CD4.T.cells.regulatory_stromal_pS6', 'Tumor.non.proliferating_intratumor_area']",3
Fold 14,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.Monocytes_tumorfront_aggregatedNeighbors.Tumor.non.proliferating', 'Tumor.non.proliferating_intratumor_area']",3
Fold 15,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages']",2
Fold 16,['Tumor.non.proliferating_intratumor_cellfrequency'],1
Fold 17,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Myeloid.M1.macrophages_stromal_cellfrequency', 'Myeloid.DCs_stromal_aggregatedNeighbors.Myeloid.M1.macrophages', 'Tumor.non.proliferating_intratumor_area']",4
Fold 18,"['Tumor.non.proliferating_intratumor_cellfrequency', 'CD4.T.cells.regulatory_stromal_pS6', 'Tumor.non.proliferating_intratumor_area']",3
Fold 19,"['Tumor.non.proliferating_intratumor_cellfrequency', 'Tumor.non.proliferating_intratumor_area']",2
