,Tumor.non.proliferating_intratumor_cellfrequency,Tumor.non.proliferating_stromal_cellfrequency,Tumor.non.proliferating_tumorfront_cellfrequency,Tumor.proliferating_intratumor_cellfrequency,Tumor.proliferating_stromal_cellfrequency,Tumor.proliferating_tumorfront_cellfrequency,Vessel._intratumor_cellfrequency,Vessel._stromal_cellfrequency,Vessel._tumorfront_cellfrequency,Fibroblasts._intratumor_cellfrequency,Fibroblasts._stromal_cellfrequency,Fibroblasts._tumorfront_cellfrequency,CD4.T.cells.naive_intratumor_cellfrequency,CD4.T.cells.naive_stromal_cellfrequency,CD4.T.cells.naive_tumorfront_cellfrequency,CD4.T.cells.memory_intratumor_cellfrequency,CD4.T.cells.memory_stromal_cellfrequency,CD4.T.cells.memory_tumorfront_cellfrequency,CD4.T.cells.regulatory_intratumor_cellfrequency,CD4.T.cells.regulatory_stromal_cellfrequency,CD4.T.cells.regulatory_tumorfront_cellfrequency,B.cells._intratumor_cellfrequency,B.cells._stromal_cellfrequency,B.cells._tumorfront_cellfrequency,CD8.T.cells._intratumor_cellfrequency,CD8.T.cells._stromal_cellfrequency,CD8.T.cells._tumorfront_cellfrequency,Myeloid.M1.macrophages_intratumor_cellfrequency,Myeloid.M1.macrophages_stromal_cellfrequency,Myeloid.M1.macrophages_tumorfront_cellfrequency,Myeloid.M2.macrophages_intratumor_cellfrequency,Myeloid.M2.macrophages_stromal_cellfrequency,Myeloid.M2.macrophages_tumorfront_cellfrequency,Myeloid.Granulocytes_intratumor_cellfrequency,Myeloid.Granulocytes_stromal_cellfrequency,Myeloid.Granulocytes_tumorfront_cellfrequency,Myeloid.DCs_intratumor_cellfrequency,Myeloid.DCs_stromal_cellfrequency,Myeloid.DCs_tumorfront_cellfrequency,Myeloid.Monocytes_intratumor_cellfrequency,Myeloid.Monocytes_stromal_cellfrequency,Myeloid.Monocytes_tumorfront_cellfrequency
OC01_001,2994.208806,867.1968344,3824.79393,125.5057583,32.11840127,192.0871398,0,1316.854452,711.8523415,0,1567.377982,717.5019632,0,44.96576178,5.649621758,0,44.96576178,16.94886527,0,0,0,0,64.23680255,16.94886527,0,89.93152357,16.94886527,0,102.7788841,16.94886527,0,64.23680255,39.5473523,0,199.1340879,84.74432637,0,6.423680255,0,0,77.08416306,11.29924352
OC01_002,2641.586113,362.3601031,3490.587247,79.82815176,5.176572902,118.3249914,0,2753.936784,1200.998663,0,2168.984046,999.8461775,0,113.8846038,11.83249914,0,134.5908954,41.413747,0,0,0,0,388.2429676,17.74874871,0,300.2412283,88.74374357,0,82.82516643,65.07874528,0,51.76572902,41.413747,0,98.35488513,23.66499828,0,5.176572902,11.83249914,0,72.47202062,5.916249571
OC01_003,4096.695558,28.01838006,2841.120107,78.99963886,0,185.6941246,11.28566269,1500.984646,1479.363193,0,1448.950512,544.7027656,0,144.094526,24.75921662,0,40.02625722,6.189804155,0,0,0,0,388.2546951,43.32862908,0,328.2153092,185.6941246,0,240.1575433,80.46745401,0,64.04201156,99.03686647,0,428.2809523,99.03686647,0,16.01050289,24.75921662,0,96.06301734,24.75921662
OC02_001,7612.804314,11.66327654,3584.978938,1400.967461,0,119.4992979,0,734.7864221,926.119559,0,438.5391979,238.9985959,0,601.8250695,627.3713142,0,184.2797693,567.6216652,0,9.330621233,29.87482449,0,158.620561,29.87482449,502.2336179,419.8779555,776.7454366,0,67.64700394,89.62447346,0,39.65514024,59.74964897,0,18.66124247,0,26.43334831,16.32858716,59.74964897,0,130.6286973,268.8734204
OC02_002,9417.036509,3.516854525,4548.021459,858.4354156,0,131.0959622,0,538.0787424,857.165907,0,615.4495419,524.383849,0,527.5281788,635.3112016,0,17.58427263,60.50582873,0,0,0,0,7.033709051,0,94.42789572,291.8989256,423.5408011,0,45.71910883,50.42152394,0,24.61798168,90.75874309,0,10.55056358,30.25291436,0,7.033709051,30.25291436,0,70.33709051,161.3488766
OC03_001,7758.986482,2.366813488,4279.109421,242.4683276,0,409.8763813,0,1827.180013,1541.135194,0,2747.87046,1082.073647,0,106.506607,229.5307735,0,452.0613762,1295.209365,0,11.83406744,81.97527626,0,47.33626976,131.160442,1515.427047,231.9477218,1213.234089,0,146.7424363,557.4318785,0,87.57209906,98.37033151,0,11.83406744,49.18516575,0,21.30132139,65.58022101,0,99.4061665,409.8763813
OC03_002,5231.970993,0,5356.017643,48.66949761,0,214.2407057,0,1778.628683,1751.732829,0,2768.397136,844.3604285,0,147.7266348,327.6622558,0,434.3163064,1361.058601,0,35.45439236,63.01197227,0,23.63626157,75.61436673,888.2183314,206.8172887,1928.166352,0,177.2719618,819.1556396,0,47.27252314,151.2287335,0,5.909065393,0,0,2.954532696,126.0239445,0,47.27252314,239.4454946
OC03_003,7838.497375,66.31579582,2404.172402,1331.065592,0,226.1990164,73.94808844,3041.483545,2391.246744,0,2312.009791,1467.062192,0,45.21531533,0,0,322.535916,19.38848712,0,15.07177178,0,0,195.9330331,0,0,126.6028829,6.462829039,0,530.5263666,122.7937517,0,111.5311112,12.92565808,0,144.6890091,6.462829039,0,24.11483484,12.92565808,0,138.6603004,64.62829039
OC04_001,4932.824901,3.690363722,3479.526266,421.2299916,0,669.9708959,11.08499978,1933.75059,1239.085958,33.25499933,1804.58786,900.498516,0,638.4329239,108.0598219,0,2011.248229,583.5230384,0,92.25909306,36.01994064,0,169.7567312,7.203988128,188.4449962,656.8847426,432.2392877,44.33999911,1346.982759,828.4586347,0,121.7820028,43.22392877,0,284.1580066,57.63190502,0,29.52290978,50.42791689,0,476.0569202,122.4677982
OC04_002,5725.74178,71.14652627,2962.504863,363.5391607,0,473.8012828,21.38465651,3530.646366,1566.037924,0,2410.088577,1331.630974,0,0,29.92429154,0,97.82647362,84.7854927,0,17.78663157,9.974763847,0,26.67994735,0,16.03849238,17.78663157,29.92429154,16.03849238,115.6131052,249.3690962,0,8.893315784,4.987381924,21.38465651,35.57326314,164.5836035,0,0,0,5.346164127,44.46657892,9.974763847
