"","Tumor non-proliferating_intratumor_area","Tumor non-proliferating_stromal_area","Tumor non-proliferating_tumorfront_area","Tumor proliferating_intratumor_area","Tumor proliferating_tumorfront_area","Vessel_stromal_area","Vessel_tumorfront_area","Fibroblasts_stromal_area","Fibroblasts_tumorfront_area","CD4 T cells naive_stromal_area","CD4 T cells naive_tumorfront_area","CD4 T cells memory_stromal_area","CD4 T cells memory_tumorfront_area","CD4 T cells regulatory_stromal_area","CD4 T cells regulatory_tumorfront_area","B cells_stromal_area","B cells_tumorfront_area","CD8 T cells_intratumor_area","CD8 T cells_stromal_area","CD8 T cells_tumorfront_area","Myeloid M1 macrophages_stromal_area","Myeloid M1 macrophages_tumorfront_area","Myeloid M2 macrophages_stromal_area","Myeloid M2 macrophages_tumorfront_area","Myeloid Granulocytes_stromal_area","Myeloid Granulocytes_tumorfront_area","Myeloid DCs_stromal_area","Myeloid DCs_tumorfront_area","Myeloid Monocytes_stromal_area","Myeloid Monocytes_tumorfront_area","Tumor non-proliferating_intratumor_eccentricity","Tumor non-proliferating_stromal_eccentricity","Tumor non-proliferating_tumorfront_eccentricity","Tumor proliferating_intratumor_eccentricity","Tumor proliferating_tumorfront_eccentricity","Vessel_stromal_eccentricity","Vessel_tumorfront_eccentricity","Fibroblasts_stromal_eccentricity","Fibroblasts_tumorfront_eccentricity","CD4 T cells naive_stromal_eccentricity","CD4 T cells naive_tumorfront_eccentricity","CD4 T cells memory_stromal_eccentricity","CD4 T cells memory_tumorfront_eccentricity","CD4 T cells regulatory_stromal_eccentricity","CD4 T cells regulatory_tumorfront_eccentricity","B cells_stromal_eccentricity","B cells_tumorfront_eccentricity","CD8 T cells_intratumor_eccentricity","CD8 T cells_stromal_eccentricity","CD8 T cells_tumorfront_eccentricity","Myeloid M1 macrophages_stromal_eccentricity","Myeloid M1 macrophages_tumorfront_eccentricity","Myeloid M2 macrophages_stromal_eccentricity","Myeloid M2 macrophages_tumorfront_eccentricity","Myeloid Granulocytes_stromal_eccentricity","Myeloid Granulocytes_tumorfront_eccentricity","Myeloid DCs_stromal_eccentricity","Myeloid DCs_tumorfront_eccentricity","Myeloid Monocytes_stromal_eccentricity","Myeloid Monocytes_tumorfront_eccentricity","Tumor non-proliferating_tumorfront_celldistance","Tumor proliferating_tumorfront_celldistance","Vessel_tumorfront_celldistance","Fibroblasts_tumorfront_celldistance","CD4 T cells naive_tumorfront_celldistance","CD4 T cells memory_tumorfront_celldistance","CD4 T cells regulatory_tumorfront_celldistance","B cells_tumorfront_celldistance","CD8 T cells_tumorfront_celldistance","Myeloid M1 macrophages_tumorfront_celldistance","Myeloid M2 macrophages_tumorfront_celldistance","Myeloid Granulocytes_tumorfront_celldistance","Myeloid DCs_tumorfront_celldistance","Myeloid Monocytes_tumorfront_celldistance"
"S01_1",128.320987654321,43.5714285714286,110,111.095238095238,123.676470588235,56.6824324324324,58.6144578313253,49.6942675159236,63.037037037037,59.551724137931,0,57.5820895522388,0,47.6666666666667,0,57.0909090909091,0,0,55.0350877192982,95,56.1497584541063,51.5833333333333,57.7910447761194,46.2222222222222,52.4011976047904,54.9,53.9571428571429,57.5,57.0505050505051,74.8571428571429,0.67211032202585,0.542944147638481,0.668419446669999,0.666381991535809,0.674235931349095,0.608636482572533,0.621905690914352,0.638609308054332,0.639420712722667,0.616403400409163,0,0.569927658615441,0,0.638435828087036,0,0.550719313336441,0,0,0.600620273566428,0.473093763090449,0.60612133042022,0.548664695073709,0.598256588300767,0.640821563961843,0.61149644276616,0.5891499759411,0.58075345007714,0.656202468688532,0.64814801245373,0.669774495911659,10.5629693619054,9.72228265072823,-10.0823668749843,-11.1813139435746,0,0,0,0,11.0248724535892,-6.45765051951641,-10.7832861256065,-5.02952383464615,-0.978785213756155,-8.66381416312168
"S01_2",132.315942028986,84.75,92.3325991189427,117.411764705882,107.765625,54.891495601173,59.6,48.1495726495726,64.1052631578947,59.3076923076923,29,53.046875,55.4,48.1153846153846,51,45.3461538461538,67.5,75.5,43.8,66.4285714285714,57.5248868778281,61.1315789473684,52.375,42.8260869565217,53.4096774193548,54.969696969697,48.7272727272727,23,55.8536585365854,58.5,0.631762392908132,0.553165143388861,0.647147531367469,0.62877986845315,0.647101341803219,0.625884885425159,0.643321148457128,0.616046316937316,0.612173859247038,0.55887970145384,0.541774576510122,0.608442534093291,0.491597085218776,0.552731121641809,0.622775676722151,0.572261201085223,0.651180359341062,0.544683391881422,0.539019765656196,0.589443404918823,0.60975427117059,0.617658249528378,0.59688188139151,0.573807771853666,0.61273651026949,0.634623380266882,0.642462161307032,0.599489974806722,0.651465543182535,0.555599984474297,9.6203933401614,9.61423248409195,-10.3282672892892,-8.49761791400903,-8.82302203671686,-11.1806606316264,-13.8922300593633,-1.48279148828439,1.00409013073289,-8.78488716785494,-8.92417774951654,-5.77883965912218,-13.1530598039213,-4.2890051208656
"S01_3",148.675417661098,80.5,100.69578313253,107,124.711111111111,66.9689119170985,74.2039473684211,67.3840579710145,67.7142857142857,62.1333333333333,68,57.2558139534884,58.3333333333333,47.1666666666667,57,58.7333333333333,58.5,128,57,62.6,70.4690721649485,73.6380952380952,70.1111111111111,67.4814814814815,51.2727272727273,68.0909090909091,69.5333333333333,74.3333333333333,63.7058823529412,51.8,0.638902671812982,0.665782214057255,0.651690713468446,0.64126204169424,0.664614769280755,0.629522511521453,0.644086421991581,0.620144130225231,0.617047559151905,0.642615822020497,0.609712017506415,0.640935368041826,0.624807414222855,0.513150129267026,0.701487783012589,0.630107277200009,0.623520869185,0.596063010435385,0.567339300790768,0.523475989473287,0.614308516963362,0.645840339078184,0.609389344601311,0.646305277614793,0.606915343687729,0.613037784764309,0.719033016335196,0.728854719290681,0.604073359737635,0.586497944783815,8.35186090859615,7.4710445626831,-11.1382788881149,-10.3465135356407,-18.2183974209954,-15.0874505617836,-15.4345023678671,-13.2684497875817,-6.64106018688697,-10.2542579446072,-10.1711264413328,-4.37613722031907,-7.01401455398606,-13.6409150336311
"S02_1",123.751351351351,41.6666666666667,97.5597920277296,129.69387755102,121.27,84.4266666666667,76.9178743961353,64.8536585365854,61,35,0,56.5,75,55,0,0,0,47,98,0,62,84.5,69.9523809523809,40.75,62.1666666666667,50,65.8333333333333,60,44,109.5,0.640170022708485,0.777333297885854,0.644893059063706,0.625874318892433,0.671762053721702,0.738960872532988,0.736522955565796,0.680213202764041,0.652150295703822,0.51810938641489,0,0.684093557220191,0.689455893923792,0.639238244573536,0,0,0,0.706611252322078,0.703241366470794,0,0.590916662107338,0.666315494365231,0.604918713808214,0.574776638100644,0.594560804461727,0.550616658611236,0.629639136628009,0.666174827636951,0.494204693578522,0.626815001940579,10.7500322204912,10.8202169504735,-9.73745316049728,-8.43506361908438,0,-14.3032386906942,0,0,0,-8.2396885369047,-10.686787516803,-10.48146844747,-7.60464100313993,-6.4693299703541
"S02_2",136.448529411765,36,85.8681318681319,184.5,117.095744680851,38.4336917562724,51.2957746478873,38.5710144927536,47.4931506849315,44.4883720930233,46.7692307692308,41.0409836065574,52.5217391304348,42.8461538461538,50.4,41.3589743589744,51,81.1111111111111,41.0743801652893,58.6949152542373,39.6172839506173,55.0227272727273,39.3559322033898,46.1449275362319,37.1313131313131,39.5555555555556,44.6,53.9285714285714,40.7058823529412,47.875,0.612129897891882,0.859650991755426,0.667948342134251,0.77731970335436,0.667813300704738,0.665189692026414,0.647574313213322,0.665734818145651,0.63948541383538,0.611381680989892,0.570038096617874,0.585396198194756,0.593768553553378,0.582530575879459,0.670196069603026,0.609922658803328,0.572731108647282,0.591581960199259,0.616582238393655,0.612094684124519,0.606229554907697,0.626910665642722,0.632075618427164,0.611934781492199,0.616717394983295,0.579136914007183,0.570903244635172,0.564954124809881,0.615742824439179,0.538335044714296,8.31001693919393,10.2505310123654,-9.82564939771632,-8.90094188079723,-10.8867435429221,-14.2960036050009,-11.5892496021522,-12.8225259463975,-0.360111633348324,-8.96973364262097,-7.99187335970915,-9.02706476279115,-6.09727454016963,-2.42883048581065
"S02_3",147.778125,18,100.309734513274,87.7142857142857,113.578703703704,56.5714285714286,61.0243902439024,59.2384615384615,58.289156626506,53.375,55.25,47.3783783783784,57.5,65,46.6666666666667,44.4285714285714,52.1666666666667,86.6666666666667,47.2666666666667,59.7735849056604,46,62.0666666666667,41.1875,55.6315789473684,48.4444444444444,52.25,55.2857142857143,57.2,29,70.75,0.645932405612986,0.47692249040608,0.657433980673561,0.641887225759406,0.669403544130823,0.64636341007761,0.681887475484323,0.665584106333496,0.665900612313572,0.616341752631089,0.661437547690944,0.570620528309474,0.702003492065972,0.736652194607717,0.753013045105742,0.674644764456634,0.625797978836816,0.592900941277209,0.585567137487088,0.606176271631975,0.685560527261972,0.627369291850962,0.563122121931265,0.588801412100494,0.524341993486659,0.543309034939134,0.581220481875408,0.637554587998494,0.704936859634319,0.653965740964412,10.3831978208759,9.48297218320607,-8.71074093559428,-9.93886025875513,-10.7815880567116,-12.6325620636345,-17.937235660264,-7.32288405710988,-0.278419855845133,-4.06569469482769,-10.2107916012403,-7.6653993216248,-6.20685161083381,3.15469932517963
"S03_1",142.071913161465,0,104.199346405229,143.744,129.072289156627,61.8359621451104,78.6793893129771,50.5926680244399,71.6132075471698,41.4,52.1666666666667,51.1333333333333,65.9375,54.5,72,40.3333333333333,0,87.5714285714286,52.5882352941176,65.4444444444444,50.5769230769231,71.125,52.0384615384615,61.6521739130435,73.5,22,45.5,50,53.8,72.7692307692308,0.597267489520866,0,0.620499895226442,0.590924029211137,0.597792619758659,0.650388810204273,0.614054561900282,0.654311646063757,0.593813597208551,0.596425370098683,0.602341430198948,0.577226901282808,0.608679506461431,0.504334834745779,0.774916437947076,0.493125298078952,0,0.612428813126647,0.558897469770358,0.566629315047473,0.622675668633231,0.560176083291374,0.540087042123546,0.618874720862355,0.636588447587934,0.428259399823422,0.588323032345848,0.397716591488271,0.61127365036102,0.634401888632021,10.3552727372986,12.6464821659407,-8.87610937244138,-7.71972968553626,-5.47595841427482,-7.45826448693923,-17.4403042131,0,-4.83424987053596,-1.39561040808905,-0.84832402797119,-2.6855166554451,16.6541382598877,4.15997878462992
"S03_2",142.428571428571,0,126.6,0,168.4,55.1761467889908,58.32,48.2137254901961,52.9411764705882,47.8446601941748,64.75,48.9459459459459,51.6666666666667,49.75,22,50.1584821428571,50.4,0,50.8984326018809,50.3181818181818,47.0625,58.5714285714286,49.7028199566161,52.6805555555556,40.2790697674419,0,49.5918367346939,40,56.9259259259259,41,0.68396850049142,0,0.590593309426526,0,0.581535311322947,0.619567288728354,0.608093616419789,0.657047922959107,0.632052245632776,0.587351113804771,0.633624361440184,0.578002424805621,0.499126562437157,0.602642554814908,0.689860562364244,0.585756545940291,0.609381499719881,0,0.600947067209196,0.595339713734893,0.631622910966034,0.583848254807438,0.600869479652044,0.608882936344055,0.637166715376677,0,0.616587591907091,0.560953714950457,0.602803433105772,0.708005982710046,8.72481641852812,8.33216275357943,-8.36816317450052,-10.5461484366381,-12.9278007667263,-11.8917019377755,-7.11821322007613,-11.4262188653448,-10.7279010571716,-11.5346043053116,-9.20365776247225,0,-9.37945198389635,0.643167840909676
"S03_3",103.022727272727,90.1428571428571,99.2988115449915,83.7142857142857,105.801587301587,59.2936046511628,68.3300248138958,53.9245585874799,59.61,52.7058823529412,37.4,56.8076923076923,52.6666666666667,57.7826086956522,74.1666666666667,49.3793103448276,0,53.6666666666667,51.608040201005,58.7142857142857,54.4838709677419,68.3720930232558,47.9161676646707,58.4464285714286,57.4857142857143,58.0833333333333,63.4210526315789,70.5263157894737,55.7027027027027,76.125,0.630938362786795,0.694616485697703,0.639009306384828,0.692122677802335,0.651908982471448,0.616245939604763,0.630805731206751,0.647731237809939,0.635899754671911,0.590045546340998,0.612088947002328,0.608910209727852,0.584184646084721,0.615268644432088,0.689825368827474,0.599159607997271,0,0.594123291906361,0.604069978067117,0.588256811417204,0.599200039541884,0.619808633782592,0.605323670218587,0.608258674781642,0.613653865981897,0.616168641321453,0.598389240027577,0.644259387527543,0.601649175905215,0.633051779511442,7.78619697031232,9.16290475837151,-9.05744035520223,-9.20325341116796,-9.04158188563195,-9.56701301190444,-5.21321011214095,0,-4.24763091840386,-4.1390558668545,-7.73838285683495,-3.72654265529241,-5.91544048258538,-6.02635920828522
"S04_1",138.514285714286,0,104.575757575758,198.333333333333,114,62.3274074074074,71.7926829268293,54.0139211136891,56.6909090909091,46.5,93,53.9230769230769,56,0,0,52.3333333333333,0,77.6666666666667,55.1158536585366,65.55,50.8421052631579,79,56.801724137931,68.7380952380952,57.45,52,65.6666666666667,76.3333333333333,63.4166666666667,70,0.666244466098456,0,0.652086912527143,0.602891197471836,0.705956990503739,0.605917541490924,0.657086055813252,0.622658900956924,0.643551089609884,0.633190019493559,0.653822104964669,0.53705662102739,0.530956989709604,0,0,0.5097195034741,0,0.678052073165172,0.565010032744961,0.606030502370847,0.639529087615342,0.627688476301221,0.587450769893088,0.632835962233937,0.600711819219413,0.496692481210381,0.592468409175938,0.678026921387154,0.524846506761078,0.658787375335676,8.89838922787879,12.20951,-10.8336979268293,-9.84136569090909,-7.218729,-2.145998,0,0,-4.7598729,-5.83085456363636,-4.0691304952381,-18.32749,4.44429155555556,-5.45417148571429
